소유구분,편성번호,배치 위치1,배치 위치2,제조업체,관할보건소
임대,201,T5,T7,씨유메디칼,강남구 보건소
임대,202,T5,T7,씨유메디칼,강남구 보건소
임대,203,T5,T7,씨유메디칼,강남구 보건소
임대,204,T5,T7,씨유메디칼,강남구 보건소
임대,205,T5,T7,씨유메디칼,강남구 보건소
임대,206,T5,T7,씨유메디칼,강남구 보건소
임대,207,T5,T7,씨유메디칼,강남구 보건소
임대,208,T5,T7,씨유메디칼,강남구 보건소
임대,209,T5,T7,씨유메디칼,강남구 보건소
임대,210,T5,T7,씨유메디칼,강남구 보건소
임대,211,T5,T7,씨유메디칼,강남구 보건소
임대,212,T5,T7,씨유메디칼,강남구 보건소
임대,213,T5,T7,씨유메디칼,강남구 보건소
임대,214,T5,T7,씨유메디칼,강남구 보건소
임대,215,T5,T7,씨유메디칼,강남구 보건소
임대,216,T5,T7,씨유메디칼,강남구 보건소
임대,217,T5,T7,씨유메디칼,강남구 보건소
임대,218,T5,T7,씨유메디칼,강남구 보건소
임대,219,T5,T7,씨유메디칼,강남구 보건소
임대,220,T5,T7,씨유메디칼,강남구 보건소
임대,221,T5,T7,씨유메디칼,강남구 보건소
임대,222,T5,T7,씨유메디칼,강남구 보건소
SR,301,T5,T7,씨유메디칼,강남구 보건소
SR,302,T5,T7,씨유메디칼,강남구 보건소
SR,303,T5,T7,씨유메디칼,강남구 보건소
SR,304,T5,T7,씨유메디칼,강남구 보건소
SR,305,T5,T7,씨유메디칼,강남구 보건소
SR,306,T5,T7,씨유메디칼,강남구 보건소
SR,307,T5,T7,씨유메디칼,강남구 보건소
SR,308,T5,T7,씨유메디칼,강남구 보건소
SR,309,T5,T7,씨유메디칼,강남구 보건소
SR,310,T5,T7,씨유메디칼,강남구 보건소
