설치장소,주소,전화번호,출처,데이터기준일자
e편한세상남양산2차아파트 (정문 경비실),경상남도 양산시 동면 금오13길 71,055-362-4069,중앙응급의료센터(E-Gen),2022-08-05
e편한세상남양산2차아파트 (후문 경비실),경상남도 양산시 동면 금오13길 71,055-362-4069,중앙응급의료센터(E-Gen),2022-08-05
국민연금공단양산지사 (회관 1층 로비 엘리베이터 맞은편),"경상남도 양산시 물금읍 청운로 358, 국민연금공단 양산회관",055-371-1562,중앙응급의료센터(E-Gen),2022-08-05
국민체육센터 (수양장동 1층 로비),"경상남도 양산시 물금읍 청룡로 33, 국민체육센터",055-379-8639,중앙응급의료센터(E-Gen),2022-08-05
국민체육센터 (더 힘찬 체육관 2층 로비),"경상남도 양산시 물금읍 청룡로 33, 국민체육센터",055-379-8639,중앙응급의료센터(E-Gen),2022-08-05
국민체육센터 (체육관동 1층 로비),"경상남도 양산시 물금읍 청룡로 33, 국민체육센터",055-379-8639,중앙응급의료센터(E-Gen),2022-08-05
남양산역반도유보라아이비파크6.0 (관리사무소),경상남도 양산시 동면 금오13길 38 (남양산역반도유보라아이비파크6),055-365-2920,중앙응급의료센터(E-Gen),2022-08-05
대방노블랜드8차아파트 (아파트관리사무소),경상남도 양산시 물금읍 야리로 50 (양산 대방노블랜드8차 로얄카운티),055-372-1062,중앙응급의료센터(E-Gen),2022-08-05
더샵데시앙4단지 (관리실 앞),경상남도 양산시 동면 내송큰들로 73,055-367-9203,중앙응급의료센터(E-Gen),2022-08-05
동양산우성스마트시티뷰아파트 (경비실),"경상남도 양산시 덕계회야길 16 (덕계동, 동양산 우성스마트시티 뷰)",055-362-6104,중앙응급의료센터(E-Gen),2022-08-05
동원로얄듀크비스타4차아파트 (아파트 관리실 내),경상남도 양산시 물금읍 백호로 155 (양산신도시4차동원로얄듀크비스타),055-367-9056,중앙응급의료센터(E-Gen),2022-08-05
로즈힐아파트 (관리사무소내),경상남도 양산시 주진1길 43 관리사무소,055-389-0383,중앙응급의료센터(E-Gen),2022-08-05
롯데마트웅상점 (1층 고객만족센터),경상남도 양산시 삼호1길 34 롯데마트 웅상점 (삼호동),055-379-2500,중앙응급의료센터(E-Gen),2022-08-05
명동삼한사랑채아파트 (명동삼한채사랑채아파트 202동 주민공동시설 2층),경상남도 양산시 대운로 145 명동 삼한 사랑채 아파트 202동 주민공동시설 2층,055-362-3666,중앙응급의료센터(E-Gen),2022-08-05
부산대학교대학생활원양산캠퍼스분원 (대학생활원 양산캠퍼스분원 지행관 C동 1층 경비실 앞),경상남도 양산시 물금읍 부산대학로 49,051-510-8397,중앙응급의료센터(E-Gen),2022-08-05
삼성동행정복지센터 (삼성동행정복지센터 민원실),경상남도 양산시 신북정길 13-14 삼성동행정복지센터 (북정동),055-392-7353,중앙응급의료센터(E-Gen),2022-08-05
삼성파크빌아파트 (관리사무소복도),경상남도 양산시 두전길 42 삼성파크빌아파트,055-367-0335,중앙응급의료센터(E-Gen),2022-08-05
삼성파크빌아파트 (정문 경비실 내),"경상남도 양산시 두전길 42 (어곡동, 삼성파크빌아파트)",055-367-0335,중앙응급의료센터(E-Gen),2022-08-05
상북면보건지소 (대기실),"경상남도 양산시 상북면 상북중앙로 398-1, 상북보건지소",055-392-4866,중앙응급의료센터(E-Gen),2022-08-05
상북면행정복지센터 (1층 민원실),"경상남도 양산시 상북면 상북중앙로 398, 상북면행정복지센터",055-392-7211,중앙응급의료센터(E-Gen),2022-08-05
서창도서관 (1층 로비),"경상남도 양산시 삼호로 105, 양산시립 서창도서관 (삼호동)",055-392-5894,중앙응급의료센터(E-Gen),2022-08-05
서창동행정복지센터 (서창동행정복지센터 사무실(민원대)),경상남도 양산시 서창로 194 서창동 행정복지센터,055-392-6712,중앙응급의료센터(E-Gen),2022-08-05
소주동행정복지센터 (소주동행정복지센터내),"경상남도 양산시 소주회야1길 5-26, 소주동행정복지센터 (소주동)",055-392-6752,중앙응급의료센터(E-Gen),2022-08-05
소주휴먼시아아파트 (정문경비실),"경상남도 양산시 번영로 435 (소주동, 소주휴먼시아)",055-372-5959,중앙응급의료센터(E-Gen),2022-08-05
신기한마음아파트 (관리동 1층 경로당입구),경상남도 양산시 신기서길 14,055-387-5048,중앙응급의료센터(E-Gen),2022-08-05
신도시주공3단지아파트 (제1경비실 내),"경상남도 양산시 양주로 153 (중부동, 양산신도시주공3단지아파트)",055-363-6628,중앙응급의료센터(E-Gen),2022-08-05
신도시주공3단지아파트 (제3경비실 내),"경상남도 양산시 양주로 153 (중부동, 양산신도시주공3단지아파트)",055-363-6628,중앙응급의료센터(E-Gen),2022-08-05
양산(서울방향)휴게소 (편의점 내),"경상남도 양산시 동면 목장길 15-50, 양산휴게소",055-384-0144,중앙응급의료센터(E-Gen),2022-08-05
양산가촌휴먼시아 (53대형주차장),경상남도 양산시 물금읍 가촌로 155 (양산가촌휴먼시아),055-366-0989,중앙응급의료센터(E-Gen),2022-08-05
양산금산휴먼시아아파트 (112동 현관 입구),경상남도 양산시 동면 금산2길 12 (양산금산휴먼시아),055-367-9703,중앙응급의료센터(E-Gen),2022-08-05
양산금산휴먼시아아파트 (노인정),경상남도 양산시 동면 금산2길 12 (양산금산휴먼시아),055-367-9703,중앙응급의료센터(E-Gen),2022-08-05
양산대방노블랜드6차아파트 (관리사무소 입구 옆),경상남도 양산시 물금읍 새실로 116 양산대방노블랜드6차아파트,055-367-9207,중앙응급의료센터(E-Gen),2022-08-05
양산두산위브1차아파트 (관리사무소),"경상남도 양산시 신덕계3길 36 (덕계동, 양산두산위브)",055-363-9072,중앙응급의료센터(E-Gen),2022-08-05
양산두산위브2차1단지아파트 (관리사무소 입구),"경상남도 양산시 신덕계8길 37 (덕계동, 양산 두산위브 2차(1단지))",055-364-7010,중앙응급의료센터(E-Gen),2022-08-05
양산문화예술회관 (양산문화예술회관 대공연장 로비),경상남도 양산시 중앙로 39-1,055-379-8550,중앙응급의료센터(E-Gen),2022-08-05
양산물금부영1단지아파트 (관리사무소내),경상남도 양산시 물금읍 물금로 134 양산물금 부양1단지,055-367-8763,중앙응급의료센터(E-Gen),2022-08-05
양산물금사랑으로부영2단지아파트 (관리사무소 내 출입구),경상남도 양산시 물금읍 청운로 131 양산물금부영2단지,055-383-9702,중앙응급의료센터(E-Gen),2022-08-05
양산봉우아파트 (봉우아파트 관리사무소),"경상남도 양산시 신명로 87(평산동, 봉우아파트)",055-362-4070,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (편의시설동 1층),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
