연번,관할소방서,관리번호,설치년월,설치장소,관리부서,비고,데이터기준일자
1,119특수대응단,01-01,2018-04-01,무등산 군왕봉 정상,산악구조대,목재,2024-10-01
2,119특수대응단,01-02,2016-10-01,무등산 장불재,산악구조대,목재,2024-10-01
3,119특수대응단,01-03,2016-10-01,무등산 중머리재,산악구조대,목재,2024-10-01
4,119특수대응단,01-04,2017-05-01,무등산 새인봉 삼거리,산악구조대,목재,2024-10-01
5,119특수대응단,01-05,2017-05-01,무등산 토끼등,산악구조대,목재,2024-10-01
6,119특수대응단,01-06,2016-10-01,무등산 옛길 물통거리,산악구조대,목재,2024-10-01
7,119특수대응단,01-07,2020-09-30,무등산 중봉 ,산악구조대,목재,2024-10-01
8,119특수대응단,01-08,2016-10-01,무등산 증심사 당산나무,산악구조대,목재,2024-10-01
9,119특수대응단,01-09,2017-05-01,무등산 늦재삼거리,산악구조대,목재,2024-10-01
10,119특수대응단,01-10,2019-10-01,무등산 목교,산악구조대,목재,2024-10-01
11,119특수대응단,01-11,2017-10-01,무등산 백운암터,산악구조대,목재,2024-10-01
12,119특수대응단,01-12,2023-06-01,인왕봉,산악구조대,목재,2024-10-01
12,서부소방서,03-01,2013-09-17,금당산 옥녀봉,119구조대,목재,2024-10-01
13,서부소방서,03-02,2013-04-10,금당산 정상,119구조대,목재,2024-10-01
14,서부소방서,03-03,2011-03-01,금당산 황새봉,119구조대,목재,2024-10-01
15,서부소방서,03-04,2017-10-01,금당산 삼흥정 정자,119구조대,목재,2024-10-01
16,남부소방서,03-05,2011-03-16,제석산 문성고 뒤쪽,119구조대,목재,2024-10-01
17,남부소방서,04-01,2013-09-23,제석산 운교정,119구조대,목재,2024-10-01
18,남부소방서,04-02,2011-03-16,제석산 제석정,119구조대,목재,2024-10-01
19,남부소방서,04-03,2013-09-23,제석산 치마봉,119구조대,목재,2024-10-01
20,남부소방서,04-04,2013-09-23,제석산 남부경찰서 옆 산책로 진입구,119구조대,목재,2024-10-01
21,남부소방서,04-05,2015-07-19,분적산 정상 육각정 앞,119구조대,목재,2024-10-01
22,북부소방서,05-01,2008-03-01,삼각산 쉼터,119재난대응과,목재,2024-10-01
23,북부소방서,05-02,2008-03-01,일곡 한새봉 쉼터,119재난대응과,목재,2024-10-01
24,북부소방서,05-03,2014-06-01,매곡산 산불감시초소,119재난대응과,목재,2024-10-01
25,북부소방서,05-04,2015-06-01,운암산 정상 쉼터,119재난대응과,목재,2024-10-01
26,광산소방서,06-01,2010-03-01,어등산 약수터 삼거리,119재난대응과,목재,2024-10-01
27,광산소방서,06-02,2011-03-01,어등산 석봉 등용정,119재난대응과,목재,2024-10-01
28,광산소방서,06-03,2015-06-01,용진산 석봉-토봉 사이,119재난대응과,목재,2024-10-01
29,광산소방서,06-04,2007-03-01,어등산 동자봉 쉼터,119재난대응과,목재,2024-10-01
