철도운영기관명,선명,역명,지상지하구분,역층,출입구번호,상세위치,제세동기출력에너지,제세동기출력방식,수량
부산교통공사,1호선,동매,지하,1,1,(B1) 대합실 발매기 옆 ,성인 150 / 소아 50,수동,1
부산교통공사,1호선,신평,지하,1,3/ 5,(B1) 역무안전실 인근,성인 150 / 소아 50,수동,1
부산교통공사,1호선,하단(부산본병원),지하,1,3/ 4/ 5/ 6,(B1) 역무안전실 인근,성인 150 / 소아 50,수동,1
부산교통공사,1호선,당리(사하구청),지하,1,3,(B1) 대합실 발매기 옆 ,성인 150 / 소아 50,수동,1
부산교통공사,1호선,사하,지하,1,3/ 4,(B1) 대합실 발매기 옆 ,성인 150 / 소아 50,수동,1
부산교통공사,1호선,괴정,지하,1,3,(B1) 역무안전실 인근,성인 150 / 소아 50,수동,1
부산교통공사,1호선,대티(동주대학),지하,2,1~4,(B2) 역무안전실 인근,성인 150 / 소아 50,수동,1
부산교통공사,1호선,서대신,지하,1,1/ 3,(B1) 대합실,성인 150 / 소아 50,수동,1
부산교통공사,1호선,동대신,지하,1,1~4,(B1) 역무안전실 인근,성인 150 / 소아 50,수동,1
부산교통공사,1호선,토성,지하,1,5,(B1) 역무안전실 인근,성인 150 / 소아 50,수동,1
부산교통공사,1호선,자갈치,지하,1,3/ 4/ 6,(B1) 대합실 게이트 인근,성인 150 / 소아 50,수동,1
부산교통공사,1호선,남포,지하,1,2,(B1) 역무안전실 인근,성인 150 / 소아 50,수동,1
부산교통공사,1호선,중앙,지하,1,17,(B1) 역무안전실 인근,200,수동,1
부산교통공사,1호선,부산,지하,1,5/ 7,(B1) 역무안전실 인근,200,수동,1
부산교통공사,1호선,초량,지하,1,8,(B1) 대합실 발매기 옆 ,200,수동,1
부산교통공사,1호선,부산진,지하,1,2/ 4,(B1) 대합실 발매기 옆 ,성인 150 / 소아 50,수동,1
부산교통공사,1호선,좌천,지하,1,3,(B1) 대합실 발매기 옆 ,성인 150 / 소아 50,수동,1
부산교통공사,1호선,범일,지하,1,3,(B1) 역무안전실 인근,200,수동,1
부산교통공사,1호선,범내골,지하,1,7,(B1) 7번 출입구 인근 역무안전실 앞,성인 150 / 소아 50,수동,1
부산교통공사,1호선,서면,지하,1,3/ 4,(B1) 역무안전실 인근,성인 150 / 소아 50,수동,2
부산교통공사,1호선,부전(부산시민공원·송상현광장),지하,1,1~8,(B1) 역무안전실 인근,성인 150 / 소아 50,수동,1
부산교통공사,1호선,양정,지하,1,2/ 4,(B1) 역무안전실 인근,성인 150 / 소아 50,수동,1
부산교통공사,1호선,시청(연제),지하,1,1~8,(B1) 역무안전실 인근,성인 150 / 소아 50,수동,1
부산교통공사,1호선,연산,지하,1,5/ 7,(B1) 역무안전실 인근,성인 150 / 소아 50,수동,1
부산교통공사,1호선,교대,지하,1,5,(B1) 역무안전실 인근,200,수동,1
부산교통공사,1호선,동래,지상,1,1/ 2,(1F) 대합실 발매기 옆 ,성인 150 / 소아 50,수동,1
