순번,설치기관명칭,전화번호,주소,주소(도로명),장비사용여부,제조사,제조국가명,모델명
1,도마e편한세상포레나아파트,042-586-9500,"대전광역시 서구 도산로 8, 관리사무소동 (도마동, 도마 e편한세상 포레나)","대전광역시 서구 도산로 8 (도마동, 도마 e편한세상 포레나)",사용중,(주)메디아나,한국,HeartOn A15-G4
2,도마e편한세상포레나아파트,042-586-9500,"대전광역시 서구 도산로 8, 관리사무소동 (도마동, 도마 e편한세상 포레나)","대전광역시 서구 도산로 8 (도마동, 도마 e편한세상 포레나)",사용중,(주)메디아나,한국,HeartOn A15-G4
3,이김병원,042-721-0777,대전광역시 서구 관저동 1733 대전 관저 클리닉 센터,"대전광역시 서구 계백로 993, 대전 관저 클리닉 센터 6~8층 (관저동)",사용중,니온코덴,일본,AED-3100
4,더젠병원,042-544-0025,대전광역시 서구 관저동 1761,"대전광역시 서구 계백로 1013, 3~7층 (관저동)",사용중,(주)나눔테크,한국,NT-3000
5,도마요양원,042-523-3356,대전광역시 서구 도마동 64-2,대전광역시 서구 용화4길 25 (도마동),사용중,메디아나,한국,자동심장충격기
6,도마실어울림플랫폼,042-535-0906,대전광역시 서구 도마동 144-37 도마실 어울림 플랫폼,"대전광역시 서구 도마3길 27, 도마실 어울림 플랫폼 (도마동)",사용중,메디아나,한국,HeartOn A16-DS
7,피피쿠스유치원,042-532-6770,대전광역시 서구 도마동 19-1,대전광역시 서구 도솔로 173 (도마동),사용중,메디아나,한국,HeartOn A16-DS
8,도화청소년문화의집,042-528-1318,대전광역시 서구 도마동 84-11,대전광역시 서구 도마로 130 (도마동),사용중,메디아나,한국,HeartOn A16-DS
9,대전광역시 상수도사업본부,042-715-6173,대전광역시 서구 갈마동 413,대전광역시 서구 신갈마로141번길 80 (갈마동),사용중,나눔테크,한국,NT-381.B
10,(주)인터비즈시스템,042-488-3100,"대전광역시 서구 둔산중로 38, 둔산메트로존 202호 (둔산동)","대전광역시 서구 둔산중로 38, 둔산메트로존 202호 (둔산동)",사용중,(주)메디아나,대한민국,HeartOn A16-GS
11,현대건설힐스테이트가장더퍼스트,042-538-9611,대전광역시 서구 도산로 251 (내동),대전광역시 서구 도산로 251 (내동),사용중,CU메디컬,대한민국,i-PAD NF1200
12,현대건설힐스테이트가장더퍼스트,042-538-9611,대전광역시 서구 도산로 251 (내동),대전광역시 서구 도산로 251 (내동),사용중,CU메디컬,대한민국,i-PAD CU-SP1 Plus
13,대전청사다솜어린이집,042-719-8082,대전광역시 서구 청사로 189 (둔산동),대전광역시 서구 청사로 189 (둔산동),사용중,(주)나눔테크,한국,저출력심장충격기
14,대우건설관저푸르지오센트럴파크현장,042-541-1724,"대전광역시 서구 계백로 1106, 관저푸르지오센트럴파크 (관저동)","대전광역시 서구 계백로 1106, 대우건설관저푸르지오센트럴파크현장 (관저동)",사용중,나눔테크,대한민국,HeartSaver NT-285
15,대전광역시도시철도공사(용문역),042-539-3213,,"대전광역시 서구 월드컵대로 480, 대전교통공사 (월평동)",사용중,(주)씨유메디칼시스템,한국,CU-SP1
16,서구보건소,042-288-4500,대전광역시 서구 만년동 340 대전서구보건소,"대전광역시 서구 만년로 74, 대전서구보건소 (만년동)",사용중,메디아나,대한민국,HeartOnA15-G8
