순번,설치장소,도로명주소,전화번호,데이터기준일
1,세종문화회관,서울특별시 종로구 세종로 81-3 세종이야기,02-2399-1545,2024-07-18
2,무악현대아파트,서울특별시 종로구 무악동 82 무악현대아파트,02-722-0422,2024-07-18
3,종로구보건소,"서울특별시 종로구 창신동 222-8 종로구구민회관, 보건소통합청",02-2148-3693,2024-07-18
4,외교부,서울특별시 종로구 도렴동 95번지 1호 정부서울청사별관,02-2100-7057,2024-07-18
5,통일부,"서울특별시 종로구 세종로 77-6 정부서울청사(행정자치부, 여성가족부 등) 정부서울청사 6, 7층",02-2100-5656,2024-07-18
6,여성가족부,"서울특별시 종로구 세종로 77-6 정부서울청사(행정자치부, 여성가족부 등) 17층",02-2100-6258,2024-07-18
7,서울대학교병원,서울특별시 종로구 연건동 28-21 서울대학교병원,02-2072-2746,2024-07-18
8,서울청사관리소,서울특별시 종로구 세종로 77-6 정부서울청사,02-2100-4514,2024-07-18
9,서울적십자병원,서울특별시 종로구 평동 164번지 서울적십자병원,02-2002-8000,2024-07-18
10,경희궁자이2단지아파트관리사무소,서울특별시 종로구 홍파동 42-13 경희궁자이 2단지,02-723-2107,2024-07-18
11,경희궁자이3단지아파트,서울특별시 종로구 평동 43 경희궁자이 3단지,02-737-2101,2024-07-18
12,종로구보건소,"서울특별시 종로구 자하문로19길 36, 종로구보건소, 청운효자동자치회관 (옥인동)",02-2148-3693,2024-07-18
13,외교부,"서울특별시 종로구 사직로8길 60, 정부서울청사별관 (도렴동)",02-2100-7057,2024-07-18
14,종로구보건소,"서울특별시 종로구 옥인동 45번지 30호 종로구보건소, 청운효자동자치회관",02-2148-3693,2024-07-18
15,서울대학교치과병원,서울특별시 종로구 연건동 28-21 서울대학교 치과병원,02-6256-3291,2024-07-18
16,종로소방서,서울특별시 종로구 운니동 114-2 종로소방서 임시청사,02-732-3119,2024-07-18
17,신교119안전센터,서울특별시 종로구 신교동 70-2 신교119안전센터,02-737-8119,2024-07-18
18,종로구보건소,"서울특별시 종로구 옥인동 45-30 종로구보건소, 청운효자동자치회관",02-2148-3693,2024-07-18
19,CJ대한통운(주)본사,서울특별시 종로구 청진동 128 Tower 8,02-700-0297,2024-07-18
20,(주)비케이알,서울특별시 종로구 수송동 156 광화문G타워,02-6331-8270,2024-07-18
21,법무법인(유)세종,서울특별시 종로구 청진동 246 D타워,02-316-4114,2024-07-18
22,한국생산성본부,서울특별시 종로구 적선동 122-1 한국생산성본부,02-724-1275,2024-07-18
23,주식회사보령,서울특별시 종로구 원남동 66-21 보령빌딩,,2024-07-18
24,동아일보사,서울특별시 종로구 서린동 159-1 동아일보사,02-2020-0741,2024-07-18
25,미래에셋자산운용,서울특별시 종로구 청진동 70 그랑서울,02-6355-8653,2024-07-18
26,삼덕회계법인,서울특별시 종로구 견지동 68-5 S&S빌딩,02-397-6700,2024-07-18
27,광화문미래에셋호텔(포시즌스호텔서울),서울특별시 종로구 당주동 30,02-6388-5000,2024-07-18
28,한국마이크로소프트,서울특별시 종로구 중학동 19 더케이트윈타워,1577-9700,2024-07-18
29,채널에이,서울특별시 종로구 서린동 159-1 동아일보사,02-2020-2973,2024-07-18
30,서울적십자병원,서울특별시 종로구 평동 164 서울적십자병원,02-2002-8000,2024-07-18
31,(주)공차코리아,서울특별시 종로구 공평동 100 한국스탠다드차타드은행 빌딩,02-779-7758,2024-07-18
32,한국토지주택공사서울지역본부,서울특별시 종로구 인의동 28-9 인의빌딩,02-2015-1067,2024-07-18
33,대상주식회사,서울특별시 종로구 인의동 28-2 종로플레이스,02-2220-9500,2024-07-18
34,KT광화문빌딩EAST,서울특별시 종로구 청진동 244 KT 광화문빌딩 East,,2024-07-18
35,(주)그린피플,서울특별시 종로구 신문로1가 163 광화문오피시아빌딩,02-572-3042,2024-07-18
36,재단법인한국의학연구소광화문분사무소,"서울특별시 종로구 당주동 100 세종빌딩, 세종아파트",02-3702-9000,2024-07-18
37,세종문화회관,서울특별시 종로구 세종로 81-3 세종이야기,02-399-1545,2024-07-18
38,LX판토스,서울특별시 종로구 신문로2가 92 LG광화문빌딩,02-3771-2189,2024-07-18
39,LX판토스,서울특별시 종로구 신문로1가 116 에스타워,02-3771-2189,2024-07-18
40,휴세코,서울특별시 종로구 인의동 28-2 종로플레이스,02-6900-7641,2024-07-18
41,현대엔지니어링,서울특별시 종로구 계동 140-2 현대빌딩,02-2134-1066,2024-07-18
42,서울지구병원,서울특별시 종로구 삼청동 25-1,02-397-0119,2024-07-18
43,종로구보건소,서울특별시 종로구 명륜3가 147-1 명륜건강증진센터,02-2148-3693,2024-07-18
44,쌍용1단지아파트,서울특별시 종로구 창신동 702 창신쌍용아파트 1지구,02-747-1554,2024-07-18
45,연건119안전센터,서울특별시 종로구 연건동 34-2 연건119안전센터,02-747-8119,2024-07-18
46,종로119안전센터,서울특별시 종로구 묘동 59-5 종로119안전센터,02-747-7119,2024-07-18
47,신영119안전센터,서울특별시 종로구 신영동 1-4 신영119안전센터,02-736-3117,2024-07-18
48,숭인119안전센터,서울특별시 종로구 숭인동 688 숭인119안전센터,02-929-0921,2024-07-18
49,하나로의료재단의료법인,서울특별시 종로구 청진동 70 그랑서울,02-6322-1145,2024-07-18
50,하나로의료재단의료법인,서울특별시 종로구 수송동 80-6 석탄회관빌딩,02-6322-1145,2024-07-18
51,SK주식회사,서울특별시 종로구 서린동 99 SK서린동빌딩,02-2121-5852,2024-07-18
52,SK이노베이션,서울특별시 종로구 서린동 99 SK서린동빌딩,02-2121-5852,2024-07-18
53,무악현대임대아파트,서울특별시 종로구 무악동 83 무악현대아파트,02-734-0448,2024-07-18
54,광화문스페이스본,서울특별시 종로구 사직동 9 광화문 스페이스본,02-737-3388,2024-07-18
55,쌍용2단지아파트,서울특별시 종로구 창신동 703 창신쌍용아파트 2지구,02-766-6141,2024-07-18
56,인왕산아이파크아파트,서울특별시 종로구 무악동 60 인왕산아이파크,02-720-3328,2024-07-18
57,씨비알이코리아(주),서울특별시 종로구 공평동 100 한국스탠다드차타드은행 빌딩,02-2170-5800,2024-07-18
58,창신두산아파트,서울특별시 종로구 창신동 232 두산아파트,02-763-7006,2024-07-18
59,디엔이앤씨(주),서울특별시 종로구 평동 222 디타워(돈의문),02-2240-7933,2024-07-18
60,현대엔지니어링초월힐스테이트공사현장,"서울특별시 종로구 계동 140-2 현대빌딩,초월역힐스테이트 아파트 공사현장",,2024-07-18
61,씨넷쉬핑(주),서울특별시 종로구 신문로1가 238 신문로빌딩,02-725-8100,2024-07-18
