관리주체명,설치장소명,설치장소 주소,설치연도,설치대수,연락처
원주시시설관리공단,원주시시설관리공단 본청,강원 원주시 남원로 487,2022,1,033-749-1748
원주시시설관리공단,종합운동장,강원 원주시 서원대로 311,2022,1,033-749-4719
원주시시설관리공단,종합체육관,강원 원주시 서원대로 281,2016,1,033-749-4719
원주시시설관리공단,종합체육관,강원 원주시 서원대로 281,2023,1,033-749-4719
원주시시설관리공단,보물섬물놀이장,강원 원주시 서원대로 291,2023,1,033-749-4719
원주시시설관리공단,치악체육관,강원 원주시 서원대로 279,2019,1,033-749-4719
원주시시설관리공단,국민체육센터,강원 원주시 남원로 551,2019,1,033-749-4735
원주시시설관리공단,국민체육센터,강원 원주시 남원로 551,2022,1,033-749-4735
원주시시설관리공단,엘리트체육관,강원 원주시 남원로 565,2015,1,033-749-4735
원주시시설관리공단,근로자종합복지관,원주시 우산공단길 24,2022,3,033-749-4765
원주시시설관리공단,추모공원,강원 원주시 흥업면 복술길 33,2022,2,033-749-4874
원주시시설관리공단,간현관광지,강원 원주시 지정면 소금산길 12,2022,4,033-749-4856
