시도,군구,설치기관명,설치기관 주소,설치위치,기관 연락처
인천,미추홀구,미추홀구보건소보건행정과,"인천광역시 미추홀구 주안서로 25, 미추홀구 보건소 (도화동)",보건행정과 사무실 내부,032-880-5434
인천,미추홀구,미추홀구보건소보건행정과,"인천광역시 미추홀구 주안서로 25, 미추홀구 보건소 (도화동)",보건행정과 사무실 내부,032-880-5434
인천,미추홀구,주안더샵아르테아파트,인천광역시 미추홀구 구월로8번길 18-62 (주안동),관리사무실 내부,032-238-0051
인천,미추홀구,디엘건설주식회사e편한세상도원역퍼스트하임현장,인천광역시 미추홀구 새천년로5번길 58 (숭의동),건설현장 내부,070-4660-3556
인천,미추홀구,주안4동행정복지센터,"인천광역시 미추홀구 구월남로 5, 주안4동 행정복지센터 (주안동)",1층 출입구 옆,032-728-6383
인천,미추홀구,시티오씨엘1단지아파트,"인천광역시 미추홀구 학익로 116 (학익동, 시티오씨엘 1단지)",정문경비실,032-868-9509
인천,미추홀구,관교동행정복지센터,"인천광역시 미추홀구 인하로 452, 관교동 행정복지센터 (관교동)",1층 출입구 옆,032-728-6485
인천,미추홀구,시티오씨엘1단지아파트,"인천광역시 미추홀구 학익로 116 (학익동, 시티오씨엘 1단지)",관리사무소,032-868-9509
인천,미추홀구,주안3동주민센터,인천광역시 미추홀구 주승로31번길 28-10 주안3동 주민센터,주안3동행정복지센터 민원실,032-880-4680
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",119안전센터 펌프차(숭의),032-870-3255
인천,미추홀구,미추홀구보건소보건행정과,"인천광역시 미추홀구 주안서로 25, 미추홀구 보건소 (도화동)",보건행정과 사무실 내부,032-880-5434
인천,미추홀구,인천도화물류센터신축공사,인천광역시 미추홀구 염전로143번길 17 (도화동),4번게이트 입구,070-4660-2351
인천,미추홀구,수인분당선인하대역,"인천광역시 미추홀구 독배로 지하313, 인하대역 (용현동)",역무실 출입문 좌측,032-8077-5641
인천,미추홀구,제물포여자중학교,"인천광역시 미추홀구 인주대로470번길 20, 제물포여자중학교 (주안동)",2층 강당 앞,032-629-2518
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",119안전센터 펌프차(관교),032-870-3255
인천,미추홀구,힐스테이트푸르지오주안아파트,"인천광역시 미추홀구 남주길 150 (주안동, 힐스테이트 푸르지오 주안)",관리사무실 앞,032-873-0995
인천,미추홀구,인천병무지청,"인천광역시 미추홀구 노적산로 76, 인천병무지청 (학익동)",본관 1층 로비,032-454-2293
인천,미추홀구,문학정보고등학교,"인천광역시 미추홀구 소성로350번길 29, 문학정보고등학교 (문학동)",본관1층 보건실 좌측 입구,032-627-0773
인천,미추홀구,수도권지하철1호선 도화역,"인천광역시 미추홀구 숙골로24번길 9, 도화역사 (도화동)",맞이방 환급기 옆,032-863-1464
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",119안전센터 펌프차(신기),032-870-3255
인천,미추홀구,제물포여자중학교,"인천광역시 미추홀구 인주대로470번길 20, 제물포여자중학교 (주안동)",1층 중앙현관 앞,032-629-2518
인천,미추홀구,원병원,"인천광역시 미추홀구 인하로 372, 남영빌딩 (주안동)",구급차(702무5327),032-547-7114
인천,미추홀구,수인분당선숭의역,"인천광역시 미추홀구 인주대로 지하6, 숭의역 (용현동)",역무실 앞,031-8077-5651
인천,미추홀구,숭의2동행정복지센터,"인천광역시 미추홀구 경인로34번길 20, 숭의2동 행정복지센터 (숭의동)",1층 로비,032-728-6123
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",119안전센터 펌프차(용현),032-870-3255
인천,미추홀구,한국철도공사1호선주안역,"인천광역시 미추홀구 주안로 95-19, 주안역사 (주안동)",1호선 주안역 선상 역무실,032-865-7787
인천,미추홀구,수도권지하철1호선 제물포역,"인천광역시 미추홀구 경인로 129, 제물포 역사 (숭의동)",역무실 출입구 옆,032-883-7788
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",119안전센터 펌프차(도화),032-870-3255
