연번,사업장명,사업장 주소,설치장소,설치대수
1,가좌청소년센터,인천광역시 서구 원적로7번길 12(가좌동),1층 홀,1
2,연희청소년센터,인천광역시 서구 승학로 264 (심곡동),2층 복도,1
3,서구청소년센터,인천광역시 서구 원창로 92 (원창동),1층 로비,1
4,서구청소년센터,인천광역시 서구 원창로 92 (원창동),지하1층 수영장 입구,1
5,검단청소년센터,인천광역시 서구 완정로188번길 3 (마전동),1층 세미나실 앞,1
6,검암도서관,인천광역시 서구 검암로20번길 20,1층 로비,1
7,석남도서관,인천광역시 서구 서달로137번길 6-12,1층 로비,1
8,검단도서관,인천광역시 서구 완정로92번길 18,1층 로비,1
9,심곡도서관,인천광역시 서구 심곡로 31,2층 로비,1
10,신석도서관,인천광역시 서구 염곡로 299,2층 로비,1
11,국민체육센터,인천광역시 서구 승학로 525 (검암동),1층 로비,1
12,국민체육센터,인천광역시 서구 승학로 525 (검암동),3층 로비,1
13,검단복지회관,인천광역시 서구 완정로92번길 18 (마전동),헬스장,1
14,검단복지회관,인천광역시 서구 완정로92번길 18 (마전동),2층 세미나실,1
15,검단복지회관,인천광역시 서구 완정로92번길 18 (마전동),수영장 강사 사무실,1
16,검단복지회관,인천광역시 서구 완정로92번길 18 (마전동),다목적체육관,1
17,청라복합문화센터,인천광역시 서구 청라대로 26(청라동),1층 로비,1
18,실내게이트볼장,인천광역시 서구 원창로 124 (신현동),경기장 출입문 옆,1
19,석곶체육관,인천광역시 서구 석남동 산 6-9,경기장 입구,1
20,원당문화체육센터,인천광역시 서구 고산후로 121번길 31(원당동),2층 로비,1
21,불로문화체육센터,인천광역시 서구 검단로768번1길 3(불로동 789),2층 엘리베이터 앞,1
22,공원관리,인천광역시 서구 서곶로 314번길 18 (연희동),서곶근린공원 1층 관리실,1
23,공원관리,인천 서구 검단로540번길 41 (마전동),능내근린공원 1층 관리실,1
24,공원관리,인천 서구 북항로206번길 17 (원창동),율도근린공원 관리실,1
25,사계절썰매장,인천광역시 서구 심곡로 166(공촌동),1층 의무실,1
26,서구청주차타워,인천광역시 서구 탁옥로51번길 26(심곡동),서구1 주차타워 1층(무인정산기 앞),1
27,장애인직업재활시설,인천광역시 서구 마중1로 12(오류동),1층 로비,1
28,장애인직업재활시설,인천광역시 서구 마중1로 12(오류동),1층 가공1반,1
29,서구노인복지관,인천광역시 서구 신석로길 121번길 10 (석남동),본관 1층 로비,1
30,검단노인복지관,인천광역시 서구 검단로 502번길 15-1,2층 엘리베이터 옆,1
31,가좌노인문화센터,인천광역시 서구 장고개로 387 (가좌동),2층 사무실 입구 옆,1
32,연희노인문화센터,인천광역시 서구 승학로 263,2층 엘리베이터 옆,1
