연번,설치장소,전화번호,도로명주소,지번주소
1,월출산국립공원관리사무소 (도갑분소 내),061-473-5213,"전라남도 영암군 군서면 도갑사로 286, 월출산국립공원사무소",전라남도 영암군 군서면 도갑리 산 49-8 월출산국립공원사무소
2,군서보건지소 (대기실),061-470-6965,"전라남도 영암군 군서면 도갑사로 25, 군서면 보건지소",전라남도 영암군 군서면 동구림리 34번지 19호 군서면 보건지소
3,모정보건진료소 (모정보건진료소),061-472-0423,"전라남도 영암군 군서면 영산로 2293, 군서 모정보건진료소",전라남도 영암군 군서면 모정리 787번지 군서 모정보건진료소
4,해창보건진료소 (대기실),061-472-1271,"전라남도 영암군 군서면 오산로 252, 군서 해창 보건진료소",전라남도 영암군 군서면 해창리 460번지 3호 군서 해창 보건진료소
5,금정보건지소 (금정보건지소),061-470-6921,전라남도 영암군 금정면 용두로 11-23,전라남도 영암군 금정면 용흥리 1148번지 11호
6,남송보건진료소 (대기실),061-472-1406,전라남도 영암군 금정면 남송길 24-2,전라남도 영암군 금정면 남송리 718번지 21호
7,용산보건진료소 (사무실 내),061-473-2683,전라남도 영암군 덕진면 용산용동길 91-24,전라남도 영암군 덕진면 용산리 450번지 1호
8,덕진보건지소 (덕진보건지소),061-470-2691,"전라남도 영암군 덕진면 예향로 1731, 덕진면사무소",전라남도 영암군 덕진면 덕진리 204번지 3호 덕진면사무소
9,도포보건지소 (대기실),061-470-2676,"전라남도 영암군 도포면 호산로 39, 도포보건지소",전라남도 영암군 도포면 구학리 489번지 19호 도포보건지소
10,미암보건지소 (보건지소 내 대기실),061-470-6891,"전라남도 영암군 미암면 미중로 39, 미암면사무소",전라남도 영암군 미암면 춘동리 20번지 4호 미암면사무소
11,미암보건진료소 (미암보건진료소),061-472-4882,"전라남도 영암군 미암면 미촌길 41, 미촌마을회관",전라남도 영암군 미암면 미암리 723 미촌마을회관
12,신포보건진료소 (신포보건진료소),061-472-4318,"전라남도 영암군 미암면 곤미현로 367, 신포보건진료소",전라남도 영암군 미암면 신포리 404번지 신포보건진료소
13,삼호보건지소 (대기실),061-470-6902,"전라남도 영암군 삼호읍 세가래1길 10-6, 삼호 보건지소",전라남도 영암군 삼호읍 용앙리 249번지 10호 삼호 보건지소
14,용앙1지구휴먼시아 (경로당),061-462-8822,전라남도 영암군 삼호읍 삼호중앙로 214 (용앙휴먼시아),전라남도 영암군 삼호읍 용앙리 1736번지 용앙휴먼시아
15,용앙1지구휴먼시아 (사무실 내),061-462-8822,전라남도 영암군 삼호읍 삼호중앙로 214 (용앙휴먼시아),전라남도 영암군 삼호읍 용앙리 1736번지 용앙휴먼시아
16,현대삼호3차아파트 (사무실 내),061-461-1023,전라남도 영암군 삼호읍 신항로 123-7 (삼호3차사원아파트),전라남도 영암군 삼호읍 용당리 2177번지 1호 삼호3차사원아파트
17,현대삼호4차아파트 (관리사무소 내),061-461-2712,전라남도 영암군 삼호읍 신항로 135-28,전라남도 영암군 삼호읍 용당리 1847번지 5호
18,용앙2지구휴먼시아 (관리사무소내),061-462-6231,전라남도 영암군 삼호읍 삼호중앙로 222 (영암용앙2휴먼시아),전라남도 영암군 삼호읍 용앙리 1739번지 영암용앙2휴먼시아
19,대불1단지 금호아파트 (관리사무소 내),061-462-0655,전라남도 영암군 삼호읍 대불주거로 160 (금호타운),전라남도 영암군 삼호읍 용앙리 1679번지 1호 금호타운
20,서호보건지소 (대기실),061-470-6938,"전라남도 영암군 서호면 서호로 288, 서호보건지소",전라남도 영암군 서호면 장천리 367번지 9호 서호보건지소
21,금강보건진료소 (대기실),061-472-6819,"전라남도 영암군 서호면 금강길 16, 서호금강보건진료소",전라남도 영암군 서호면 금강리 558번지 3호 서호금강보건진료소
22,신학보건진료소 (신학보건진료소),061-472-5884,"전라남도 영암군 시종면 신학1로 9, 신학보건진료소",전라남도 영암군 시종면 신학리 316번지 3호 신학보건진료소
23,시종보건지소 (대기실),061-470-2675,"전라남도 영암군 시종면 내동중앙로 41, 시종면사무소",전라남도 영암군 시종면 내동리 4번지 시종면사무소
24,월악보건진료소 (대기실),061-472-7714,전라남도 영암군 시종면 금지로 65,전라남도 영암군 시종면 월악리 344번지 3호
25,갈곡보건진료소 (대기실),061-472-8915,전라남도 영암군 신북면 치릿길 1-8,전라남도 영암군 신북면 갈곡리 470번지
26,신북보건지소 (신북보긴지소),061-470-2674,전라남도 영암군 신북면 아리랑로 20 신북보건지소,전라남도 영암군 신북면 모산리 696 신북보건지소
27,영암군노인복지회관 (복지관 입구),061-473-4193,"전라남도 영암군 영암읍 오리정길 38, 영암군 노인복지회관",전라남도 영암군 영암읍 춘양리 517 영암군 노인복지회관
28,영암군종합사회복지관 (사무실 입구),061-470-6572,"전라남도 영암군 영암읍 오리정길 37, 영암군종합사회복지관",전라남도 영암군 영암읍 춘양리 525 영암군종합사회복지관
29,장암보건진료소 (사무실 내),061-473-2348,"전라남도 영암군 영암읍 마당바우로 105, 영암장암보건진료소",전라남도 영암군 영암읍 장암리 515번지 6호 영암장암보건진료소
30,월출산국립공원관리사무소 (관리사무소),061-473-5213,전라남도 영암군 영암읍 천황사로 280-20,전라남도 영암군 영암읍 개신리 484-41
31,월출산국립공원관리사무소 (탐방안내소),061-473-5213,"전라남도 영암군 영암읍 천황사로 280-43, 국립공원관리공단 월출산사무소",전라남도 영암군 영암읍 개신리 484-50 국립공원관리공단 월출산사무소
32,영암군청청소년수련관 (영암군청 청소년 수련관),061-470-6792,"전라남도 영암군 영암읍 영암로 1511, 청소년수련관",전라남도 영암군 영암읍 교동리 69번지 청소년수련관
33,월출산국립공원관리사무소 (사무실 내),061-473-5213,전라남도 영암군 영암읍 천황사로 280-20,전라남도 영암군 영암읍 개신리 484-41
34,월출산국립공원관리사무소 (관리사무소 1층 행정과 입구),061-473-5213,전라남도 영암군 영암읍 천황사로 280-20,전라남도 영암군 영암읍 개신리 484-41
35,영암문화원 (문화원내),061-473-2632,"전라남도 영암군 영암읍 교동로 55, 영암문화원",전라남도 영암군 영암읍 교동리 371번지 10호 영암문화원
36,영암군종합사회복지관 (사무실 내),061-473-4193,"전라남도 영암군 영암읍 오리정길 37, 영암군종합사회복지관",전라남도 영암군 영암읍 춘양리 525번지 영암군종합사회복지관
37,영암문화재단 (매표소),061-470-2797,전라남도 영암군 영암읍 기찬랜드로 41,전라남도 영암군 영암읍 회문리 23번지 1호
38,학산보건지소 (대기실),061-470-6972,"전라남도 영암군 학산면 독천로 193-1, 학산면사무소",전라남도 영암군 학산면 독천리 61번지 13호 학산면사무소
39,은곡보건진료소 (은곡보건진료소),061-472-5297,"전라남도 영암군 학산면 은곡길 48-7, 학산은곡보건진료소",전라남도 영암군 학산면 은곡리 175번지 4호 학산은곡보건진료소
40,용소보건진료소 (대기실),061-472-4276,"전라남도 영암군 학산면 천해길 41, 용소보건진료소",전라남도 영암군 학산면 용소리 398번지 1호 용소보건진료소
