순서,설치기관명,설치기관 주소,관할보건소,설치장소 주소,설치위치
1,고수치안센터,전라북도 고창군 고수면 고인돌대로 1406 고수치안센터,고창군보건소,전라북도 고창군 고수면 고인돌대로 1406 고수치안센터,고수치안센터
2,고수면보건지소,"전라북도 고창군 고수면 고인돌대로 1408-5, 고수면보건지소",고창군보건소,"전라북도 고창군 고수면 고인돌대로 1408-5, 고수면보건지소",현관
3,고수면사무소,전라북도 고창군 고수면 고인돌대로 1412 고수면사무소,고창군보건소,전라북도 고창군 고수면 고인돌대로 1412 고수면사무소,면사무소 민원실
4,고수면내창보건진료소,"전라북도 고창군 고수면 내창수곡길 95-2, 내창보건진료소",고창군보건소,"전라북도 고창군 고수면 내창수곡길 95-2, 내창보건진료소",현관
5,고창원광참살이,전라북도 고창군 고수면 봉산2길 40 원광참살이,고창군보건소,전라북도 고창군 고수면 봉산2길 40 원광참살이,원광참살이 현관
6,고수경로당,"전라북도 고창군 고수면 부곡길 131, 고수경로당",고창군보건소,"전라북도 고창군 고수면 부곡길 131, 고수경로당",고수경로당
7,생물권보전지역관리센터,전라북도 고창군 고창읍 고인돌공원길 10,고창군보건소,전라북도 고창군 고창읍 고인돌공원길 10,생물권보전지역 관리센터
8,고인돌박물관,전라북도 고창군 고창읍 고인돌공원길 74 고인돌박물관,고창군보건소,전라북도 고창군 고창읍 고인돌공원길 74 고인돌박물관,고인돌박물관
9,죽림선사체험마을,전라북도 고창군 고창읍 고인돌공원길 74 죽림선사체험마을,고창군보건소,전라북도 고창군 고창읍 고인돌공원길 74 죽림선사체험마을,죽림선사체험마을
10,한국농어촌공사고창지사,"전라북도 고창군 고창읍 고인돌대로 1636-8, 한국농촌공사",고창군보건소,전라북도 고창군 고창읍 고인돌대로 1636-8 한국농어촌공사 고창지사,1층 로비
11,고창노인요양병원,"전라북도 고창군 고창읍 고인돌대로 1765, 고창노인요양병원",고창군보건소,"전라북도 고창군 고창읍 고인돌대로 1765, 고창노인요양병원",구급차
12,고창노인요양병원,"전라북도 고창군 고창읍 고인돌대로 1765, 고창노인요양병원",고창군보건소,"전라북도 고창군 고창읍 고인돌대로 1765, 고창노인요양병원",5병동 간호사실
13,고창노인요양병원,"전라북도 고창군 고창읍 고인돌대로 1765, 고창노인요양병원",고창군보건소,전라북도 고창군 고창읍 고인돌대로 1765,1층 로비
14,모양지구대,전라북도 고창군 고창읍 남구1길 14 모양지구대,고창군보건소,전라북도 고창군 고창읍 남구1길 14 모양지구대,모양지구대
15,기로사경로당,"전라북도 고창군 고창읍 동리로 151, 기노사",고창군보건소,"전라북도 고창군 고창읍 동리로 151, 기노사",기로사 경로당
16,고창읍사무소,전라북도 고창군 고창읍 모양성로 26 고창읍사무소,고창군보건소,전라북도 고창군 고창읍 모양성로 26 읍사무소,읍사무소 민원실
17,고창읍백양보건진료소,"전라북도 고창군 고창읍 백양길 20, 백양보건진료소",고창군보건소,"전라북도 고창군 고창읍 백양길 20, 백양보건진료소",현관
18,고창경찰서,전라북도 고창군 고창읍 보릿골로 175 고창경찰서,고창군보건소,전라북도 고창군 고창읍 보릿골로 175 고창경찰서,고창경찰서
19,성산현대아파트,전라북도 고창군 고창읍 보릿골로 195 현댜아파트 101동 경비실,고창군보건소,전라북도 고창군 고창읍 보릿골로 195 현댜아파트 101동 경비실,고창성산현대아파트 101동 경비실
20,고인돌(서울)휴게소,"전라북도 고창군 고창읍 서해안고속도로 80, 고창고인돌휴게소",고창군보건소,"전라북도 고창군 고창읍 서해안고속도로 80, 고창고인돌휴계소",본 건물 내부 편의점 앞
21,석정웰파크병원,"전라북도 고창군 고창읍 석정2로 147, 석정웰파크병원",고창군보건소,"전라북도 고창군 고창읍 석정2로 147, 석정웰파크병원",구급차
22,고창읍휴먼시아,전라북도 고창군 고창읍 성산로 19 (고창읍내휴먼시아),고창군보건소,전라북도 고창군 고창읍 성산로 19 (고창읍내휴먼시아),3층 경비실
23,고창읍휴먼시아,전라북도 고창군 고창읍 성산로 19 (고창읍내휴먼시아),고창군보건소,전라북도 고창군 고창읍 성산로 19 휴먼시아아파트 (고창읍내휴먼시아),휴먼시아 관리사무실
24,실내수영장,전라북도 고창군 고창읍 운동장길 36,고창군보건소,전라북도 고창군 고창읍 운동장길 36,실내수영장
25,공설운동장,전라북도 고창군 고창읍 운동장길 36,고창군보건소,전라북도 고창군 고창읍 운동장길 36,공설운동장
26,고창군립체육관,전라북도 고창군 고창읍 운동장길 36 고창군립체육관,고창군보건소,전라북도 고창군 고창읍 운동장길 36 고창군립체육관,군립체육관
27,온천마을제일아파트,전라북도 고창군 고창읍 월곡로 83 (온천마을제일아파트),고창군보건소,전라북도 고창군 고창읍 월곡로 83 (온천마을제일아파트),제일아파트 경비실
28,고창소방서,전라북도 고창군 고창읍 읍내리 1055,고창군보건소,전라북도 고창군 해리면 하련리 212-7,구급차 내
29,고창소방서,전라북도 고창군 고창읍 읍내리 1055,고창군보건소,전라북도 고창군 고창읍 읍내리 1055,구급차
30,고창소방서,전라북도 고창군 고창읍 읍내리 1055,고창군보건소,전라북도 고창군 흥덕면 동사리 437-86,구급차
31,고창소방서,전라북도 고창군 고창읍 읍내리 1055,고창군보건소,전라북도 고창군 고창읍 읍내리 1055,구급차내
32,고창소방서,전라북도 고창군 고창읍 읍내리 1055,고창군보건소,전라북도 고창군 대산면 매산리 199-25,구급차
33,고창소방서,전라북도 고창군 고창읍 읍내리 1055,고창군보건소,전라북도 고창군 무장면 무장리 116-6,구급차
34,고창노인요양병원,전라북도 고창군 고창읍 읍내리 995,고창군보건소,"전라북도 고창군 고창읍 고인돌대로 1765, 고창노인요양병원",2병동
35,고창읍덕정보건진료소,"전라북도 고창군 고창읍 전봉준로 204-2, 덕정보건진료소",고창군보건소,"전라북도 고창군 고창읍 전봉준로 204-2, 덕정보건진료소",현관
36,고창군장애인복지관,"전라북도 고창군 고창읍 전봉준로 88-9, 고창군장애인복지관",고창군보건소,"전라북도 고창군 고창읍 전봉준로 88-9, 고창군장애인복지관",고창군장애인복지관(지역사회재활시설)
37,고창군보건소,"전라북도 고창군 고창읍 전봉준로 90, 고창군보건소",고창군보건소,"전라북도 고창군 고창읍 전봉준로 90, 고창군보건소",보건소 1층 중앙현관
38,고창군보건소,"전라북도 고창군 고창읍 전봉준로 90, 고창군보건소",고창군보건소,"전라북도 고창군 고창읍 전봉준로 90, 고창군보건소",치매안심센터
39,고창군보건소,"전라북도 고창군 고창읍 전봉준로 90, 고창군보건소",고창군보건소,"전라북도 고창군 고창읍 전봉준로 90, 고창군보건소",구급차
40,고창군보건소,"전라북도 고창군 고창읍 전봉준로 90, 고창군보건소",고창군보건소,"전라북도 고창군 고창읍 전봉준로 90, 고창군보건소",건강증진실
41,고창군청,전라북도 고창군 고창읍 중앙로 245 고창군청,고창군보건소,전라북도 고창군 고창읍 중앙로 245 고창군청,중앙현관
42,의료법인석천재단고창병원,전라북도 고창군 고창읍 화신1길 9,고창군보건소,전라북도 고창군 고창읍 화신1길 9,구급차(73저 5652) 내부
43,공음면송산보건진료소,"전라북도 고창군 공음면 건동길 71-20, 송산보건진료소",고창군보건소,"전라북도 고창군 공음면 건동길 71-20, 송산보건진료소",보건진료소내 현관
44,노노제경로당,"전라북도 고창군 공음면 공음길 25, 노인정",고창군보건소,"전라북도 고창군 공음면 공음길 25, 노인정",노노제경로당
45,공음면사무소,전라북도 고창군 공음면 공음길 35 공음면사무소,고창군보건소,전라북도 고창군 공음면 공음길 35 공음면사무소,공음면사무소 사무소
46,공음파출소,전라북도 고창군 공음면 공음길 39-1 공음파출소,고창군보건소,전라북도 고창군 공음면 공음길 39-1 공음파출소,공음파출소
47,선운산농협공음지점,전라북도 고창군 공음면 공음길 55 공음농협,고창군보건소,전라북도 고창군 공음면 공음길 55 공음농협,공음농협
48,공음보건지소,"전라북도 고창군 공음면 공음길 89, 공음면보건지소",고창군보건소,"전라북도 고창군 공음면 공음길 89, 공음면보건지소",보건지소 내
49,공음면평촌보건진료소,"전라북도 고창군 공음면 덕암로 257, 평촌보건진료소",고창군보건소,"전라북도 고창군 공음면 덕암로 257, 평촌보건진료소",보건진료소내 현관
