연번,시설명,전화번호,소재지,설치위치,위도,경도
1,정선종합경기장 실내체육관,033-560-3443,정선읍 애산로 60,체육관 로비,37.377055,128.674682
2,정선종합경기장 주경기장,033-560-3433,정선읍 애산로 60,로비 입구,37.575941,128.676762
3,정선골프연습장,033-560-3495,정선읍 애산로 60,1층 로비,37.374524,128.676093
4,정선국민체육센터,033-560-3440,정선읍 녹송4길 51,로비,37.384372,128.67295
5,화암약수,033-560-3412,화암면 화암약수길1330,화암약수 야영장,37.328051,128.785322
6,가리왕산케이블카,033-560-3486,북평면 중봉길 41-35,알파인플라자 1층,37.474113,128.609818
7,가리왕산케이블카,033-560-3486,북평면 중봉길 41-35,숙암역,37.473677,128.610233
8,가리왕산케이블카,033-560-3486,북평면 중봉길 41-35,가리왕산역,37.444691,128.597875
9,회동솔향캠핑장,033-560-3453,정선읍 가리왕산로 670-6,관리사무실,37.412048,128.585583
10,화암동굴,033-560-3430,화암면 화암동굴길 50,화암동굴 출구,37.350752,128.791367
11,화암동굴,033-560-3427,화암면 화암동굴길50,화암공원,37.352449,128.790535
12,화암동굴,033-560-3431,화암면 화암동굴길 12-8,모노레일 탑승장,37.350859,128.790422
13,동강전망자연휴양림,033-560-3463,신동읍 동강로916-212,관리사무실,37.260769,128.607796
14,정선하늘터,033-560-3460,사북읍 소금강로3500-34,관리사무실,37.230267,128.839303
15,정선군농민문화체육센터,033-560-3480,임계면 서동로 4581,로비,37.494676,128.852779
16,벅스랜드,033-560-3478,여량면 노추산로 745,매표소,37.516859,128.728366
17,생태체험학습장,033-560-3470,정선읍 동강로2908,관리사무실,37.360373,128.623577
18,하늘공원,033-560-3436,여량면 서동로 3867-26,관리동 사무실,37.503638,128.794324
19,고한생활체육공원,033-560-3461,고한읍 고토일길38,관리사무실,37.219125,128.841995
20,민둥산문화체육센터,033-560-3444,남면 무릉1로36,1층 카운터,37.250952,128.777052
21,민둥산문화체육센터,033-560-3444,남면 무릉1로36,2층 복도,37.250952,128.777052
