연번,설치기관명,설치기관 주소,기관 연락처
1,진천군립치매전담요양원,"충청북도 진천군 문백면 문진로 664, 진천군립치매전담요양원",043-753-8863
2,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
3,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
4,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
5,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
6,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
7,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
8,(주)면사랑,"충청북도 진천군 이월면 궁동길 51-24, (주)면사랑",043-531-8251
9,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
10,동일하이빌파크테라스,충청북도 진천군 덕산읍 대하로 194 (충북혁신도시동일하이빌 파크테라스아파트),043-537-9983
11,힐데스하임아파트,충청북도 진천군 덕산읍 신척산단5로 14-14 (진천 힐데스하임),043-537-9335
12,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
13,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
14,백곡보건지소(민원실),"충청북도 진천군 백곡면 장터길 15-2, 백곡보건지소",043-539-7460
15,(주)현대에버다임,"충청북도 진천군 진천읍 부영길 49, 에버다임",043-530-3372
16,진천군립치매전담요양원,"충청북도 진천군 문백면 문진로 664, 진천군립치매전담요양원",043-753-8863
17,한솔테크닉스,"충청북도 진천군 덕산읍 한삼로 55, 한솔테크닉스",043-530-8890
18,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
19,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
20,(주)선일다이파스,"충청북도 진천군 광혜원면 광혜원산단2길 14, 선일다이파스 2공장",043-530-1700
21,진천군청소년수련원,"충청북도 진천군 초평면 평화로 403-132, 청소년수련원",043-539-3813
22,한국교육개발원,충청북도 진천군 덕산면 교학로 7,043-530-9114
23,사석보건진료소,"충청북도 진천군 진천읍 금사로 395-1, 사석보건진료소",043-539-7491
24,광혜원보건지소(민원실),"충청북도 진천군 광혜원면 화랑길 86, 광혜원면사무소",043-539-7484
25,초평보건지소(민원실),"충청북도 진천군 초평면 초동로 45-6, 초평면행정복지센터",043-539-7440
26,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
27,(주)현대에버다임,"충청북도 진천군 진천읍 부영길 49, 에버다임",043-530-3372
28,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
29,(주)풍림푸드,충청북도 진천군 이월면 궁동길 51-21,043-530-4312
30,의료법인가은의료재단혁신성모병원,"충청북도 진천군 덕산읍 자안로 9, 삼영프라자 2층",043-533-1000
31,생거진천노인복지센터,"충청북도 진천군 문백면 문진로 664, 생거진천노인복지센터 1층",043-532-9969
32,이월보건지소(민원실),충청북도 진천군 이월면 송림2길 36-9,043-539-7471
33,(주)현대에버다임,"충청북도 진천군 진천읍 부영길 49, 에버다임",043-530-3372
34,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
35,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
36,(주)선일다이파스,"충청북도 진천군 광혜원면 광혜원산단2길 14, 선일다이파스 2공장",043-530-1700
37,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
38,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
39,덕산보건지소(민원실),"충청북도 진천군 덕산읍 덕금로 829, 덕산면행정복지센터",043-539-7431
40,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
41,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
42,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
43,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
44,롯데글로벌로지스,충청북도 진천군 초평면 은암산단로 246,070-7176-7408
45,토우건설,"충청북도 진천군 문백면 농다리로 310, 진천 메가폴리스 일반산업단지 조성사업장",043-854-4147
46,용덕보건진료소,"충청북도 진천군 백곡면 용진길 93, 용덕보건진료소",043-539-7496
47,(주)풍림푸드,충청북도 진천군 이월면 궁동길 51-21,043-530-4312
48,혁신도시센텀클래스아파트,충청북도 진천군 덕산읍 연미로 63 (충북혁신도시센텀클래스),043-537-1326
49,진천군보건소,"충청북도 진천군 진천읍 중앙북1길 11-8, 진천군보건소",043-539-7771
50,진천군보건소,"충청북도 진천군 진천읍 중앙북1길 11-8, 진천군보건소",043-539-7771
51,씨제이 제일제당(진천점),"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",043-531-0599
52,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
53,생거진천종합사회복지관,"충청북도 진천군 진천읍 중앙북1길 11-10, 생거진천종합사회복지관",043-539-3387
54,신월보건진료소,충청북도 진천군 이월면 신정길 55,043-539-7497
55,(주)면사랑,"충청북도 진천군 이월면 궁동길 51-24, (주)면사랑",043-531-8251
56,선옥보건진료소,"충청북도 진천군 덕산읍 기전2길 7, 선옥보건진료소",043-539-7492
57,사양보건진료소,"충청북도 진천군 문백면 농다리로 1215, 사양보건진료소",043-539-7495
58,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
