대피소명,소재지,전화번호,수용가능인원
황장리경로당,경상북도 영덕군 지품면 원전리,054-732-9834,42
신안출포경로당,경상북도 영덕군 지품면 신안리,054-733-5967,21
눌곡리마을회관,경상북도 영덕군 지품면 눌곡리,054-734-2214,26
지품중학교,경상북도 영덕군 지품면 신안리,054-732-3013,723
송천1리마을회관,경상북도 영덕군 지품면 송천리,054-732-0787,32
복곡리경로회관,경상북도 영덕군 지품면 복곡리,054-732-7013,30
원전학구노인복지회관,경상북도 영덕군 지품면 원전리,054-733-9854,44
덕곡초등학교,경상북도 고령군 덕곡면 예리,054-955-5707,
덕곡면사무소,경상북도 고령군 덕곡면 예리,054-950-7555,98
덕곡초등학교,경상북도 고령군 덕곡면 예리,054-955-5707,345
덕곡면 보건진료소,경상북도 고령군 덕곡면 예리,054-955-2270,
운수초등학교,경상북도 고령군 운수면 봉평리,054-955-5070,368
운수초등학교,경상북도 고령군 운수면 봉평리,054-955-5070,368
고령고등학교,경상북도 고령군 대가야읍 연조리,054-956-3042,1274
고령중학교,경상북도 고령군 대가야읍 쾌빈리,054-956-5715,1729
금성리경로당,경상북도 고령군 운수면 봉평리,054-955-9989,12
덕곡보건소,경상북도 고령군 덕곡면,054-955-2270,20
대가야고등학교,경상북도 고령군 대가야읍 쾌빈리,054-954-3516,920
온정리 852-1,경상북도 울진군 온정면 온정리,,282
온정2리 마을회관,경상북도 울진군 온정면 온정리,,23
백암온천마을,경상북도 울진군 온정면 온정리,054-787-7620,276
광품리 573,경상북도 울진군 온정면 광품리,,25
온정초등학교,경상북도 울진군 온정면 온정리,054-787-3011,647
항암미술관,경상북도 울진군 온정면 온정리,054-787-0001,107
어업기술센터 영덕지소,경상북도 영덕군 영덕읍 우곡리,054-734-5450,
대구기상대,대구광역시 동구 효목동,053-952-0365,
창수초등학교 인천분교장,경상북도 영덕군 창수면 인천리,054-732-6079,550
북면장로교회,경상북도 울진군 북면 덕구리,054-782-0829,100
성조사,경상북도 울진군 북면 덕구리,054-782-5598,200
궁전식당,경상북도 울진군 북면 덕구리,054-783-2220,20
덕구1리마을회관,경상북도 울진군 북면 덕구리,054-782-6713,50
부구초등학교,경상북도 울진군 북면 덕구리,054-782-0255,1599
휴모텔,경상북도 울진군 북면 덕구리,054-781-0447,50
대가야읍사무소,경상북도 고령군 대가야읍 쾌빈리,054-950-7502,1729
대가야고등학교,경상북도 고령군 대가야읍 쾌빈리,054-954-3518,912
의용소방대,경상북도 고령군 대가야읍 고아리,054-954-3023,
대가야읍사무소,경상북도 고령군 대가야읍 쾌빈리,054-950-7502,1729
대가야고등학교,경상북도 고령군 대가야읍 쾌빈리,054-954-3518,912
대가야읍사무소,경상북도 고령군 대가야읍 쾌빈리,,1729
연조1리마을회관,경상북도 고령군 대가야읍 연조리,,23
고령군청,경상북도 고령군 대가야읍 지산리,054-950-6443,
경북도청,경상북도 안동시 풍천면 갈전리,054-880-2358,
고령보건소,경상북도 고령군 대가야읍 지산리,054-954-1300,
연조1리마을회관,경상북도 고령군 대가야읍 연조리,,30
경상북도청,경상북도 안동시 풍천면,054-880-2358,
용문면주민센타,경상북도 예천군 용문면 상금곡리,054-650-6622,
한국농어촌공사 경북지역본부,대구광역시 북구 구암동,053-320-0748,
한국농어촌공사 경천지사,경상북도 예천군,054-650-7132,
예천중교,경상북도 예천군 예천읍 남본리,054-654-4477,223
예천군청소년수련원,경상북도 예천군 예천읍 동본리,054-650-6425,250
예천군문화회관,경상북도 예천군 예천읍 서본리,054-650-6422,785
대창고교,경상북도 예천군 예천읍 노상리,054-654-3341,480
예천동부초교,경상북도 예천군 예천읍 백전리,054-652-2047,450
예천여자고등학교,경상북도 예천군 예천읍 백전리,054-652-0962,417
예천사,경상북도 예천군 예천읍 생천리,054-654-4745,31
용화사,경상북도 예천군 용문면 하금곡리,054-655-8977,29
능천리노인회관,경상북도 예천군 용문면 능천리,054-655-4888,54
예천군청소년수련원 ,경상북도 예천군 예천읍,054-650-6425,250
예천중교 ,경상북도 예천군 예천읍,054-654-4477,223
용화사 ,경상북도 예천군 용문면,054-655-8977,29
능천리노인회관 ,경상북도 예천군 용문면,054-655-4888,54
예천군문화회관 ,경상북도 예천군 예천읍,054-650-6422,785
예천사 ,경상북도 예천군 예천읍,054-654-4745,31
예천여자고등학교 ,경상북도 예천군 예천읍,054-652-0962,417
예천동부초교 ,경상북도 예천군 예천읍,054-652-2047,450
영2리 마을회관,경상북도 영덕군 병곡면 영리,,50
병곡면사무소,경상북도 영덕군 병곡면 병곡리,054-730-7833,
병곡초등학교,경상북도 영덕군 병곡면 병곡리,054-732-2006,100
내지2리경로당,경상북도 예천군 용문면 내지리,,21
한국농어촌공사 문경예천,경상북도 예천군 예천읍 우계리,054-650-7132,
예천경찰서,경상북도 예천군 예천읍,054-650-2329,
경상북도,경상북도 안동시,054-880-2358,
한국농어촌공사 경북지역본부,대구광역시 북구 구암동,053-320-0748,
예천읍주민센터,경상북도 예천군 예천읍,054-650-8382,
한국농어촌공사 경천지사,경상북도 예천군 예천읍 우계리,054-650-7132,
예천학생야영장,경상북도 예천군 용문면 원류리,054-655-6576,300
하금1리경노당 ,경상북도 예천군 용문면,054-655-6129,20
제곡리경로당 ,경상북도 예천군 용문면,054-654-0008,20
용문초등학교 ,경상북도 예천군 용문면,054-655-8603,50
용문노인회관 ,경상북도 예천군 용문면,054-654-1318,20
예천군청소년수련원 ,경상북도 예천군 용문면,054-650-6425,250
맛질노인회 ,경상북도 예천군 용문면,054-655-1117,20
능천리경로당 ,경상북도 예천군 용문면,054-655-4888,20
구계경로당 ,경상북도 예천군 용문면,054-655-7959,20
용문중학교 ,경상북도 예천군 용문면,054-655-9382,50
예천학생양영장 ,경상북도 예천군 용문면,054-655-6576,300
생천노인회관 ,경상북도 예천군 용문면,054-654-5080,20
방송노인회관 ,경상북도 예천군 용문면,054-655-0036,20
예천여자고등학교 ,경상북도 예천군 예천읍,054-700-5502,400
예천중학교 ,경상북도 예천군 예천읍,054-654-4477,200
대창중학교 ,경상북도 예천군 예천읍,054-654-7300,200
대창고등학교 ,경상북도 예천군 예천읍,054-654-3341,400
예천학생야영장 ,경상북도 예천군 용문면,054-655-6576,300
용문노인회관,경상북도 예천군 용문면,054-654-1318,20
하금1리경노당,경상북도 예천군 용문면,054-655-6129,20
맛질노인회,경상북도 예천군 용문면,054-655-1117,20
제곡리경로당,경상북도 예천군 용문면,054-654-0008,20
능천리경로당,경상북도 예천군 용문면,054-655-4888,20
구계경로당,경상북도 예천군 용문면,054-655-7959,20
예천군청소년수련원,경상북도 예천군 용문면,054-650-6425,250
예천여자고등학교,경상북도 예천군 예천읍,054-700-5502,400
용문초등학교,경상북도 예천군 용문면,054-655-8603,50
한국전기안전공사,경상북도 안동시 남선면 이천리,054-601-4250,
서선초등학교,경상북도 안동시 풍산읍 수곡리,054-843-4105,440
풍북초등학교,경상북도 안동시 풍산읍 괴정리,054-858-5318,483
풍산초등학교,경상북도 안동시 풍산읍 하리리,054-858-4013,908
풍산동신교회,경상북도 안동시 풍산읍 매곡리,054-858-4948,30
중대사,경상북도 안동시 풍산읍 안교리,054-858-4147,30
신양교회,경상북도 안동시 풍산읍 신양리,054-854-4804,60
신양초등학교,경상북도 안동시 풍산읍 신양리,054-855-4603,303
풍서초등학교,경상북도 안동시 풍천면 가곡리,054-853-2122,180
풍천중학교,경상북도 안동시 풍천면 도양리,054-853-2048,90
소산교회,경상북도 안동시 풍산읍 소산리,054-858-4075,30
오천리마을회관,경상북도 영덕군 지품면 오천리,,25
지품면사무소,경상북도 영덕군 지품면 신안리,054-730-7503,400
눌곡리경로당,경상북도 영덕군 지품면 눌곡리,054-730-7503,100
달산면사무소,경상북도 영덕군 달산면 대지리,054-730-7442,400
용전보건소,경상북도 영덕군 달산면 용전리,054-730-7035,38
덕산2리마을회관,경상북도 영덕군 달산면 덕산리,,63
장사리마을회관,경상북도 영덕군 남정면 장사리,,47
남정면사무소,경상북도 영덕군 남정면 장사리,054-730-7332,
도천마을회관,경상북도 영덕군 남정면 도천리,,38
봉전2리 마을회관,경상북도 영덕군 남정면 봉전리,054-733-5509,36
봉전1리 마을회관,경상북도 영덕군 남정면 봉전리,054-734-1272,33
장사마을회관,경상북도 영덕군 남정면 장사리,,47
남정초등학교,경상북도 영덕군 남정면 장사리,054-732-5213,478
애월읍사무소,제주특별자치도 제주시 애월읍 애월리,064-728-8892,
제주도청,제주특별자치도 제주시 연동,064-710-3671,
번대동회관,제주특별자치도 제주시 애월읍 하귀2리,,30
구엄리민회관,제주특별자치도 제주시 애월읍 구엄리,064-713-3130,100
영암군청,전라남도 영암군 영암읍 동무리,061-470-2619,
