구분,시설명,주소,수용인원,경도,위도
경로당,삼천리3차아파트경로당,강원도 원주시 학성길 38,30,37.3543085116,127.9377134585
경로당,태일경로당,강원도 원주시 가매기길 17-2,50,37.3574589088,127.9577434016
경로당,평장2리경로당,강원도 원주시 소초면 평장두둑2길 13-6,40,37.4105981852,128.0083608248
경로당,황골경로당,강원도 원주시 소초면 대왕고개길 10,50,37.3653007449,128.0085400610
경로당,수암리경로당,강원도 원주시 소초면 바우실길 31,50,37.3967445965,127.9918365042
경로당,작실경로당,강원도 원주시 부론면 섬뜰작실길 121,60,37.1643468776,127.7911488867
경로당,운남리경로당,강원도 원주시 귀래면 법동길 51-4,100,37.1641730503,127.8896406518
경로당,금대리경로당,강원도 원주시 판부면 치악로 1048,40,37.2864949199,127.9963799380
공공기관,단계동행정복지센터,강원도 원주시 북원로 2321,80,37.3526377745,127.9344597933
마을회관,운남2리마을회관,강원도 원주시 귀래면 녹재길 13,20,37.1784909490,127.9075973926
마을회관,운계2리마을회관,강원도 원주시 귀래면 분토골길 9,20,37.1845715178,127.8845686570
마을회관,금창리마을회관,강원도 원주시 신림면 둔창예찬길 15-1,20,37.2415675705,128.0612000227
체육관,드림체육관,강원도 원주시 현충로 53-1,300,37.3605762007,127.9537030059
학교,학성중학교,강원도 원주시 동진골2길 24,1000,37.3501824780,127.9397356070
학교,대성고등학교,강원도 원주시 북원로 2001,284,37.3273097139,127.9208654494
학교,흥양초등학교,강원도 원주시 소초면 하초구길 6,100,37.3812640767,127.9965121632
학교,강원과학고등학교,강원도 원주시 치악로 2242,200,37.3754276525,127.9731977282
학교,흥양초등학교,강원도 원주시 소초면 하초구길 6,100,37.3812640767,127.9965121632
학교,관설초등학교,강원도 원주시 치악로 1355,200,37.3087467546,127.9760112823
