연번,대피시설 명칭,분류,대피시설 주소,동,건물 용도,건물층수,대피시설 위치,대피시설 평시용도,대피시설 면적(제곱미터),대피시설 수용인원(명),대피시설 지정년도,데이터기준일
1,문막현진아파트,민간,강원도 원주시 문막읍 왕건로 77,문막읍,아파트,18층,지하1층,주차장,3239,3926,2006-06-30,2022-05-20
2,문막극동스타클래스,민간,강원도 원주시 문막읍 건등로  67,문막읍,아파트,15층,지하1층,주차장,8068,9779,2015-09-10,2022-05-20
3,원주문막신원아침도시,민간,강원도 원주시 문막읍 왕건로 20,문막읍,아파트,15층,지하1층,주차장,5858,7100,2016-01-26,2022-05-20
4,유보라아이비파크 2단지 아파트,민간,강원도 원주시 지정면 조엄로 397,지정면,아파트,30층,"지하1,2층",주차장,31559,38253,2021-02-04,2022-05-20
5,원주롯데캐슬더퍼스트 2차 아파트,민간,강원도 원주시 지정면 가곡로 70,지정면,아파트,30층,"지하2,3층",주차장,36907,44735,2021-02-04,2022-05-20
6,현진아파트,민간,강원도 원주시 무실로 47-34 (원동),원동,아파트,22층,지하1층,주차장,3686,4467,2013-01-23,2022-05-20
7,한주아파트,민간,강원도 원주시 무실로 93 (원동),원동,아파트,15층,지하1층,주차장,1471,1783,2013-01-23,2022-05-20
8,진로아파트,민간,강원도 원주시 남산로48번길 26 (원동),원동,아파트,18층,지하1층,주차장,3432,4160,2015-09-09,2022-05-20
9,개운주공1차아파트,민간,강원도 원주시 개운로 30 (개운동),개운동,아파트,20층,지하1층,주차장,12352,14972,2012-07-13,2022-05-20
10,개운주공2~3차아파트,민간,강원도 원주시 개운로 20 (개운동),개운동,아파트,20층,지하1층,주차장,6150,7454,2012-07-13,2022-05-20
11,개운1차한신휴플러스,민간,강원도 원주시 서원대로 389 (개운동),개운동,아파트,20층,지하1층,주차장,24337,29499,2015-10-05,2022-05-20
12,힐스테이트아파트,민간,강원도 원주시 행구로 54 (개운동),개운동,아파트,23층,지하1층,주차장,11494,13932,2015-10-05,2022-05-20
13,개운현대아파트,민간,강원도 원주시 남원로 606번길 2 (개운동),개운동,아파트,,지하2층,주차장,5364,6501,2017-11-27,2022-05-20
14,남부상가,민간,강원도 원주시 치악로 1803 (명륜1동),명륜1동,상가,7층,지하1층,주차장,5309,6435,2003-04-28,2022-05-20
15,성원아파트,민간,강원도 원주시 무실로  157 (명륜1동),명륜1동,아파트,22층,지하1층,주차장,19283,23373,2015-09-18,2022-05-20
16,한솔솔파크,민간,강원도 원주시 한지공원길 102 (명륜2동),명륜2동,아파트,15층,지하1층,주차장,10582,12826,2007-12-05,2022-05-20
17,구곡청구2단지아파트,민간,강원도 원주시 남원로 441 (명륜2동),명륜2동,아파트,15층,지하1층,주차장,6134,7435,2015-10-30,2022-05-20
18,동보노빌리티1차아파트,민간,강원도 원주시 시청로 255 (명륜2동),명륜2동,아파트,15층,지하1층,주차장,2790,3381,2015-10-30,2022-05-20
19,동보노빌리티2차아파트,민간,강원도 원주시 시청로 267 (명륜2동),명륜2동,아파트,15층,지하1층,주차장,6216,7534,2015-10-30,2022-05-20
20,동보렉스9차아파트,민간,강원도 원주시 남원로469번길 82 (명륜2동),명륜2동,아파트,15층,지하1층,주차장,4643,5627,2015-10-30,2022-05-20
21,현진에버빌3차아파트,민간,강원도 원주시 남원로 443 (명륜2동),명륜2동,아파트,15층,지하1층,주차장,2500,3030,2015-10-30,2022-05-20
22,대흥아파트,민간,강원도 원주시 단구초교길 11 (단구동),단구동,아파트,10~15층,지하1층,주차장,1256,1522,2003-04-28,2022-05-20
23,한일아파트,민간,강원도 원주시 남원로 526 (단구동),단구동,아파트,15층,지하1층,주차장,4299,5210,2003-04-28,2022-05-20
24,원흥4차아파트,민간,강원도 원주시 치악로 1634 (단구동),단구동,아파트,8~19층,지하1층,주차장,3699,4483,2003-04-28,2022-05-20
25,현대1차아파트,민간,강원도 원주시 남원로 492 (단구동),단구동,아파트,14~15층,지하2층,주차장,2407,2917,2003-04-28,2022-05-20
26,성일아파트,민간,강원도 원주시 단구로 418 (단구동),단구동,아파트,15층,지하1층,주차장,8129,9853,2003-05-12,2022-05-20
27,현진에버빌1차아파트,민간,강원도 원주시 나비허리길 22 (단구동),단구동,아파트,14~15층,지하1층,주차장,3293,3991,2003-04-28,2022-05-20
28,현진에버빌2차아파트,민간,강원도 원주시 늘품로 38 (단구동),단구동,아파트,14~15층,지하1층,주차장,2022,2450,2003-04-28,2022-05-20
29,현진에버빌5차아파트,민간,강원도 원주시 단구로 413 (단구동),단구동,아파트,15층,지하1층,주차장,14034,17010,2011-02-08,2022-05-20
30,현진에버빌6차아파트,민간,강원도 원주시 단구로 411 (단구동),단구동,아파트,8~15층,지하1층,주차장,17711,21467,2011-02-08,2022-05-20
31,원주우체국,공공단체,강원도 원주시 서원대로 412 (단구동),단구동,우체국,13~21층,지하2층,주차장,4178,5064,2011-02-08,2022-05-20
32,신성미소지움아파트,민간,강원도 원주시 나비허리길 57 (단구동),단구동,아파트,13~21층,지하1층,주차장,9785,11860,2015-09-11,2022-05-20
33,두산아파트,민간,강원도 원주시 남원로 496 (단구동),단구동,아파트,12~15층,지하2층,주차장,6734,8162,2015-09-11,2022-05-20
34,한신2차아파트,민간,강원도 원주시 서원대로 427 (단구동),단구동,아파트,9~22층,지하2층,주차장,19059,23101,2015-09-11,2022-05-20
