연번,읍면,시설구분,시설명,시설위치,시설규모
1,정선읍,민간시설,KT정선지사,강원도 정선군 정선읍 비봉로 28(KT정선지사 지하 1층),154
2,정선읍,공공기관,정선읍행정복지센터,강원도 정선군 정선읍 정선로 1331,83
3,정선읍,공공기관,정선교육지원청,강원도 정선군 정선읍 비봉로 41,77
4,정선읍,민간시설,미소빌아파트,강원도 정선군 정선읍 정선로 1245-6(미소빌아파트 건물 우측 지하주차장),145
5,정선읍,공공기관,정선군청,강원도 정선군 정선읍 봉양3길 21,111
6,정선읍,민간시설,현대아파트,강원도 정선군 정선읍 정선로 1245-11(현대아파트 101동 지하주차장),3374
7,정선읍,공공기관,정선종합경기장실내체육관,강원도 정선군 정선읍 애산로 60,754
8,정선읍,공공기관,정선군종합사회복지관,강원도 정선군 정선읍 봉양7길 16사회복지관,520
9,고한읍,민간시설,하이원 CC,강원도 정선군 고한읍 고한7길 399하이원CC,5400
10,고한읍,민간시설,강원랜드 사원아파트 D동,강원도 정선군 고한읍 고한3길 6-11(강원랜드 사원아파트 D동 지하 1층),729
11,고한읍,공공기관,고한읍행정복지센터,강원도 정선군 고한읍 고한2길 1,373
12,고한읍,민간시설,강원랜드 복지관,강원도 정선군 고한읍 고한3길 6-9 (강원랜드카지노리조트복지관),812
13,사북읍,공공기관,사북읍행정복지센터,강원도 정선군 사북읍 사북중앙로 65 ,92
14,사북읍,민간시설,사북 KT사음지사,강원도 정선군 사북읍 사북7길 6(KT사음지사 지하주차장),66
15,사북읍,민간시설,강원랜드 메인카지노,강원도 정선군 사북읍 하이원길 265(강원랜드 건물 맞은편 지하 주차장),42540
16,신동읍,공공기관,신동읍행정복지센터,강원도 정선군 신동읍 예미1길 1 ,71
17,신동읍,공공기관,신동읍 함백출장소,강원도 정선군 신동읍 새골길 30,84
18,화암면,공공기관,화암면행정복지센터,강원도 정선군 화암면 그림바위길 40,64
19,남면,공공기관,남면행정복지센터,강원도 정선군 남면 칠현로 80,94
20,여량면,공공기관,여량면행정복지센터,강원도 정선군 여량면 서동로 2885 ,98
21,북평면,공공기관,북평면행정복지센터,강원도 정선군 북평면 북평6길 36 ,69
22,임계면,공공기관,임계면행정복지센터,강원도 정선군 임계면 서동로 4575 ,66
