제목,설명,전화번호,도로명주소,분류
그랑시티자이2차아파트,민방위 대피소 : 그랑시티자이2차아파트,1666-1234,경기도 안산시 상록구 해양5로 17 (사동),민방위대피소
초지역메이저타운푸르지오파크아파트 지하주차장(지하1~3층),민방위 대피소 : 초지역메이저타운푸르지오파크아파트 지하주차장(지하1~3층),1666-1234,경기도 안산시 단원구 원초로 90 (초지동),민방위대피소
힐스테이트중앙아파트 지하주차장 전체(지하 1층~2층),민방위 대피소 : 힐스테이트중앙아파트 지하주차장 전체(지하 1층~2층),1666-1234,경기도 안산시 단원구 고잔로 81 (고잔동),민방위대피소
센트럴푸르지오 아파트(안산),민방위 대피소 : 센트럴푸르지오 아파트(안산),1666-1234,경기도 안산시 단원구 고잔로 115 (고잔동),민방위대피소
민방위교육장,민방위 대피소 : 민방위교육장,1666-1234,경기도 안산시 상록구 예술광장1로 32(월피동),민방위대피소
안산공업고등학교,민방위 대피소 : 안산공업고등학교,1666-1234,경기도 안산시 상록구 안산공고로 51(부곡동),민방위대피소
천년가리더스카이아파트,민방위 대피소 : 천년가리더스카이아파트,1666-1234,경기도 안산시 단원구 와동로 125 (와동),민방위대피소
안산강서고등학교(본관 지하 1층),민방위 대피소 : 안산강서고등학교(본관 지하 1층),1666-1234,경기도 안산시 단원구 삼일로 367 (와동),민방위대피소
e편한세상 선부 파크플레이스,민방위 대피소 : e편한세상 선부 파크플레이스,1666-1234,경기도 안산시 경기도 안산시 단원구 선부광장남로 63,민방위대피소
e편한세상 선부 어반스퀘어,민방위 대피소 : e편한세상 선부 어반스퀘어,1666-1234,경기도 안산시 경기도 안산시 단원구 선부광장서로 42,민방위대피소
더헤븐CC,민방위 대피소 : 더헤븐CC,1666-1234,경기도 안산시 단원구 대선로 466 (대부남동),민방위대피소
행복한마을아파트,민방위 대피소 : 행복한마을아파트,1666-1234,경기도 안산시 단원구 초지1로 78(초지동),민방위대피소
초지역메이저타운푸르지오에코,민방위 대피소 : 초지역메이저타운푸르지오에코,1666-1234,경기도 안산시 단원구 원선1로 10 (원곡동),민방위대피소
초지역메이저타운푸르지오메트로,민방위 대피소 : 초지역메이저타운푸르지오메트로,1666-1234,경기도 안산시 단원구 화랑로 170(초지동),민방위대피소
안산파크푸르지오,민방위 대피소 : 안산파크푸르지오,1666-1234,경기도 안산시 상록구 화랑로 534 (성포동),민방위대피소
안산초지두산위브,민방위 대피소 : 안산초지두산위브,1666-1234,경기도 안산시 단원구 원선1로 38(초지동),민방위대피소
안산메트로타운 힐스테이트 아파트,민방위 대피소 : 안산메트로타운 힐스테이트 아파트,1666-1234,경기도 안산시 단원구 석수로 138 (선부동),민방위대피소
안산 롯데캐슬 더 퍼스트,민방위 대피소 : 안산 롯데캐슬 더 퍼스트,1666-1234,경기도 안산시 단원구 원초로 61(초지동),민방위대피소
산호한양아파트,민방위 대피소 : 산호한양아파트,1666-1234,경기도 안산시 단원구 달미로 10 (선부동),민방위대피소
롯데캐슬아파트,민방위 대피소 : 롯데캐슬아파트,1666-1234,경기도 안산시 단원구 적금로 164 (고잔동),민방위대피소
단원구청,민방위 대피소 : 단원구청,1666-1234,경기도 안산시 단원구 화랑로 250(초지동),민방위대피소
그린빌13단지,민방위 대피소 : 그린빌13단지,1666-1234,경기도 안산시 단원구 광덕2로 17(초지동),민방위대피소
그린빌14단지,민방위 대피소 : 그린빌14단지,1666-1234,경기도 안산시 단원구 광덕2로 32(초지동),민방위대피소
그린빌12단지,민방위 대피소 : 그린빌12단지,1666-1234,경기도 안산시 단원구 광덕2로 74(초지동),민방위대피소
그린빌11단지,민방위 대피소 : 그린빌11단지,1666-1234,경기도 안산시 단원구 화정천서로 161(초지동),민방위대피소
그랑시티자이1차아파트,민방위 대피소 : 그랑시티자이1차아파트,1666-1234,경기도 안산시 상록구 해양4로 31 (사동),민방위대피소
월드아파트,민방위 대피소 : 월드아파트,1666-1234,경기도 안산시 상록구 감골로 59 (사동),민방위대피소
현대1차아파트,민방위 대피소 : 현대1차아파트,1666-1234,경기도 안산시 상록구 감골1로 43 (사동),민방위대피소
요진아파트,민방위 대피소 : 요진아파트,1666-1234,경기도 안산시 상록구 본오로 133 (본오동),민방위대피소
선경아파트,민방위 대피소 : 선경아파트,1666-1234,경기도 안산시 상록구 감골2로 58 (사동),민방위대피소
신우아파트,민방위 대피소 : 신우아파트,1666-1234,경기도 안산시 상록구 감골로 83 (사동),민방위대피소
예누림아파트,민방위 대피소 : 예누림아파트,1666-1234,경기도 안산시 상록구 감골2로 11 (사동),민방위대피소
현대2차아파트,민방위 대피소 : 현대2차아파트,1666-1234,경기도 안산시 상록구 감골2로 12 (사동),민방위대피소
엘리지움2차아파트(지하주차장),민방위 대피소 : 엘리지움2차아파트(지하주차장),1666-1234,경기도 안산시 상록구 네고지2길 47 (사동),민방위대피소
엘리지움아파트(지하1층~4층 주차장),민방위 대피소 : 엘리지움아파트(지하1층~4층 주차장),1666-1234,경기도 안산시 상록구 석호로 204 (사동),민방위대피소
명휘원,민방위 대피소 : 명휘원,1666-1234,경기도 안산시 상록구 해안로 865 (사동),민방위대피소
한양대학교(본관 지하1층),민방위 대피소 : 한양대학교(본관 지하1층),1666-1234,경기도 안산시 상록구 한양대학로 55 (사동),민방위대피소
부곡교회,민방위 대피소 : 부곡교회,1666-1234,경기도 안산시 상록구 성호로 352 (부곡동),민방위대피소
부암교회,민방위 대피소 : 부암교회,1666-1234,경기도 안산시 상록구 태마당로 48 (부곡동),민방위대피소
상록수명륜교회,민방위 대피소 : 상록수명륜교회,1666-1234,경기도 안산시 상록구 세류로 16 (본오동),민방위대피소
동산고등학교,민방위 대피소 : 동산고등학교,1666-1234,경기도 안산시 상록구 충장로 56 (본오동),민방위대피소
이호초등학교,민방위 대피소 : 이호초등학교,1666-1234,경기도 안산시 상록구 고목로3길 44 (본오동),민방위대피소
본원초등학교,민방위 대피소 : 본원초등학교,1666-1234,경기도 안산시 상록구 샘골로 83 (본오동),민방위대피소
롯데마트 상록점 비상대피시설,민방위 대피소 : 롯데마트 상록점 비상대피시설,1666-1234,경기도 안산시 상록구 반석로 20(본오동),민방위대피소
한양아파트비상대피시설,민방위 대피소 : 한양아파트비상대피시설,1666-1234,경기도 안산시 상록구 반석로 8 (본오동),민방위대피소
본오주공아파트,민방위 대피소 : 본오주공아파트,1666-1234,경기도 안산시 상록구 본삼로 8 (본오동),민방위대피소
웰플렉스(안산상록수우체국),민방위 대피소 : 웰플렉스(안산상록수우체국),1666-1234,경기도 안산시 상록구 용신로 364 (본오동),민방위대피소
올림포스보노피아,민방위 대피소 : 올림포스보노피아,1666-1234,경기도 안산시 상록구 감골2로 47 (사동),민방위대피소
뉴라성관관호텔,민방위 대피소 : 뉴라성관관호텔,1666-1234,경기도 안산시 상록구 상록수로 34 (본오동),민방위대피소
우성아파트,민방위 대피소 : 우성아파트,1666-1234,경기도 안산시 상록구 본오로 133 (본오동),민방위대피소
신안 1차아파트,민방위 대피소 : 신안 1차아파트,1666-1234,경기도 안산시 상록구 반석로 44 (본오동),민방위대피소
본오중학교,민방위 대피소 : 본오중학교,1666-1234,경기도 안산시 상록구 본오로 90 (본오동),민방위대피소
상록수 성당 별관,민방위 대피소 : 상록수 성당 별관,1666-1234,경기도 안산시 상록구 이호로 130 (본오동),민방위대피소
한국선진학교,민방위 대피소 : 한국선진학교,1666-1234,경기도 안산시 상록구 이호로 113 (본오동),민방위대피소
본오교회,민방위 대피소 : 본오교회,1666-1234,경기도 안산시 상록구 본오로 6 (본오동),민방위대피소
본오종합사회복지관,민방위 대피소 : 본오종합사회복지관,1666-1234,경기도 안산시 상록구 이호로 39 (본오동),민방위대피소
건건동 대림아파트 주차장,민방위 대피소 : 건건동 대림아파트 주차장,1666-1234,경기도 안산시 상록구 건건8길 2 (건건동),민방위대피소
서해아파트 지하주차장,민방위 대피소 : 서해아파트 지하주차장,1666-1234,경기도 안산시 상록구 건건5길 6 (건건동),민방위대피소
그린빌16단지 지하주차장(전체)(초지동),민방위 대피소 : 그린빌16단지 지하주차장(전체)(초지동),1666-1234,경기도 안산시 단원구 초지2로 42 (초지동),민방위대피소
그린빌18단지 지하주차장(전체)(초지동),민방위 대피소 : 그린빌18단지 지하주차장(전체)(초지동),1666-1234,경기도 안산시 단원구 초지2로 14 (초지동),민방위대피소
호수마을아파트 지하주차장(전체)(초지동),민방위 대피소 : 호수마을아파트 지하주차장(전체)(초지동),1666-1234,경기도 안산시 단원구 광덕1로 80 (초지동),민방위대피소
경남아너스빌아파트 지하주차장,민방위 대피소 : 경남아너스빌아파트 지하주차장,1666-1234,경기도 안산시 단원구 원선1로 61(원곡동),민방위대피소
안산8차푸르지오아파트 지하주차장,민방위 대피소 : 안산8차푸르지오아파트 지하주차장,1666-1234,경기도 안산시 단원구 원초로 9(원곡동),민방위대피소
한화꿈에그린 아파트 지하주차장,민방위 대피소 : 한화꿈에그린 아파트 지하주차장,1666-1234,경기도 안산시 단원구 원선1로 37(원곡동),민방위대피소
보성프라자,민방위 대피소 : 보성프라자,1666-1234,경기도 안산시 단원구 원초로 30 (원곡동),민방위대피소
