구분,시설명,주소,위도,경도,면적(제곱미터),수용(명),기준일자
"공공시설(관공서,국·국립도서관,시·도(시군구)민 회관 등)",팽성읍행정복지센터,경기도 평택시 팽성읍 동서촌로 89,36.965176 ,127.062354 ,586 ,225 ,2025-02-21
학교,부용초등학교,경기도 평택시 팽성읍 동서촌로 65,36.965593 ,127.059305 ,1310 ,503 ,2025-02-21
학교,청담중학교,경기도 평택시 팽성읍 부용로56번길 20,36.962498 ,127.063077 ,4406 ,1694 ,2025-02-21
"공공시설(관공서,국·국립도서관,시·도(시군구)민 회관 등)",서부복지타운,경기도 평택시 안중읍 서동대로 1557,36.987745 ,126.932602 ,8761 ,3369 ,2025-02-21
"공공시설(관공서,국·국립도서관,시·도(시군구)민 회관 등)",안중읍행정복지센터,경기도 평택시 안중읍 안현로 400,36.986126 ,126.931175 ,238 ,91 ,2025-02-21
학교,경기물류고등학교,경기도 평택시 안중읍 안현로 403,36.986980 ,126.930621 ,2048 ,787 ,2025-02-21
학교,안중고등학교,경기도 평택시 안중읍 안중믿음길 32,36.987020 ,126.923329 ,591 ,227 ,2025-02-21
"공공시설(관공서,국·국립도서관,시·도(시군구)민 회관 등)",포승읍행정복지센터,경기도 평택시 포승읍 716-0,36.982775 ,126.885395 ,579 ,222 ,2025-02-21
학교,도곡중학교,경기도 평택시 포승읍 여술로 58,36.989282 ,126.848792 ,846 ,325 ,2025-02-21
학교,원정초등학교,경기도 평택시 포승읍 평택항로 469,36.993753 ,126.841409 ,582 ,223 ,2025-02-21
학교,포승중학교,경기도 평택시 포승읍 서동대로 1138,36.981324 ,126.882332 ,978 ,376 ,2025-02-21
학교,홍원초등학교,경기도 평택시 포승읍 외원길 26,37.014377 ,126.889496 ,721 ,277 ,2025-02-21
"공공시설(관공서,국·국립도서관,시·도(시군구)민 회관 등)",청북읍행정복지센터,경기도 평택시 청북읍 청원로 2,37.039736 ,126.934179 ,181 ,69 ,2025-02-21
학교,청북초등학교,경기도 평택시 청북읍 청북새싹길 25,37.043276 ,126.935306 ,774 ,297 ,2025-02-21
"공공시설(관공서,국·국립도서관,시·도(시군구)민 회관 등)",진위면행정복지센터,경기도 평택시 진위면 봉남길 61,37.100081 ,127.090884 ,221 ,85 ,2025-02-21
