연번,시설명,구분,도로명주소,위도,경도,면적(제곱미터),수용인원(명),데이터기준일자
1,금곡마을회관,마을회관,경상남도 사천시 사천읍 거무실안길 3,35.0906626,128.1554676,166,64,2023-05-19
2,장전1리마을회관,마을회관,경상남도 사천시 사천읍 구암두문로 585,35.09818773,128.1425612,99,39,2023-05-19
3,사천중학교 강당,학교,경상남도 사천시 사천읍 동문로 20,35.08089742,128.098085,1102,424,2023-05-19
4,사천초등학교 강당,학교,경상남도 사천시 사천읍 읍내로 59,35.08366918,128.0927148,1075,414,2023-05-19
5,수양초등학교 강당,학교,경상남도 사천시 사천읍 옥산로 60,35.07899317,128.0893648,709,273,2023-05-19
6,고읍마을회관,마을회관,경상남도 사천시 정동면 고읍길 223,35.06757411,128.0978057,132,51,2023-05-19
7,복상마을회관,마을회관,경상남도 사천시 정동면 감곡길 59,35.05189646,128.1437954,66,26,2023-05-19
8,경남자영고등학교 본관,학교,경상남도 사천시 정동면 옥산로 143,35.07844352,128.1004177,4758,1830,2023-05-19
9,동성초등학교 강당,학교,경상남도 사천시 정동면 동계길 45,35.07623623,128.0873112,2500,962,2023-05-19
10,사천여자중학교 본관동,학교,경상남도 사천시 정동면 서당길 32,35.08123658,128.1021319,9882,3801,2023-05-19
11,정동초등학교 강당,학교,경상남도 사천시 정동면 대곡1길 25,35.05778699,128.1240504,976,376,2023-05-19
12,사촌마을회관,마을회관,경상남도 사천시 사남면 사촌길 161,34.99710668,128.1501729,89,35,2023-05-19
13,송암마을회관,마을회관,경상남도 사천시 사남면 사남로 37-1,34.99287034,128.1422998,96,37,2023-05-19
14,사남초등학교 본관동,학교,경상남도 사천시 사남면 조동길 49-30,35.05953667,128.0664519,8774,3375,2023-05-19
15,"삼성초등학교 강당, 교사D동",학교,경상남도 사천시 사남면 사남로 1074,35.05443808,128.0753931,1082,417,2023-05-19
16,금문마을회관,마을회관,경상남도 사천시 용현면 금문길 66,35.0059791,128.0515839,297,114,2023-05-19
17,선진마을회관,마을회관,경상남도 사천시 용현면 선진공원길 458,35.04089697,128.041106,132,50,2023-05-19
18,신송마을회관,마을회관,경상남도 사천시 용현면 신송1길 29,35.01144678,128.0605063,109,41,2023-05-19
19,용남고등학교 강당,학교,경상남도 사천시 용현면 선진길 24,35.04419494,128.0643785,2731,1051,2023-05-19
