마을명,대피소,시설명,수용능력인원
평거동1,3,진주시 능력개발관+박덕규미술관+양옥새마을회관,440
판문동,4,진양호 물홍보관+진주시전통예술회관+샛터마을회관+한국도로공사,1100
평거동2,2,진주임마뉴엘교회+대아중학교+대아고등학교,2120
신안동,1,대아중학교+대아고등학교,2000
이현동,3,각한마을회관+명석중학교+용우초등학교,220
상봉동,2,진주보건대학교+봉원초등학교,3200
중앙동,4,봉래초등학교+수정초등학교+의곡사+봉원중학교,1390
명석면 독산리,2,산기마을회관+산강마을회관,80
"천전동(구 강남동, 망경동)",1,망경초등학교,720
가호동(구 칠암동),1,연암공과대학교,10000
가호동(구 가좌동),5,경상국립대학교사범대학부설중학교+경상국립대학교사범대학부설고등학교+경상국립대학교+주개경로당,7160
"내동면(신율리), 정촌면(화개리)",4,율곡경로당+화원경로복지관+모심마을회관+화동마을회관,170
상대동,1,진주시립연암도서관,870
상평동,1,연암공과대학교,10000
상대동,2,순복음중앙+진주제일여자고등학교,1200
하대동,2,진주교회+진주제일여자고등학교,1250
가호동,2,정동경로회관,140
"문산읍(소문리), 금산면(갈전리, 속사리, 송백리)",3,갈전마을회관+송백마을회관+문산초등학교,660
"문산읍(옥산리, 삼곡리, 두산리, 상문리)",4,문산중학교+진양고등학교+진주혜광학교+대호마을회관,990
"금곡면(정자리, 인담리, 검암리)",10,이곡마을회관+두산마을경로회관+정자마을회관+신담경로회관+차현마을회관+운문경로회관+인담경로회관+검당경로회관+엄정경로회관+동례마을회관,530
초장동1,2,열방교회+진주제일여자고등학교,1250
초장동2,1,사촌마을회관,30
집현면 장흥리,1,덕오초등학교(폐교),60
"집현면(봉강리, 냉정리, 지내리)",5,추동마을회관+혈암노인회관+대암초록마을+집현대암보건진료소+대암경로당,300
집현면 신당리,1,덕오초등학교(폐교),60
"대곡면(덕오리, 월아리, 단목리), 미천면 (벌당리, 반지리)",5,신흥경로당+불동암+정호마을회관+삭성경로당+반지경로당,250
금산면(중천리+송백리),3,금산초등학교+금산노인회관+금산면,1100
금산면 장사리,3,진주새금산+진주우편집중국+진주동중학교,2100
금산면 가방리,2,진주평강순복음+사동마을회관,200
대곡면 단목리,1,지내마을회관,40
"대곡면(와룡리, 유곡리)",1,유곡노인회관,40
명석면 덕곡리,2,비룡사+대곡중고교,350
"대곡면(가정리, 와룡리, 유곡리, 광석리)",3,대곡중고교+유동경로당+유동회관,360
대곡면 마진리,1,경남과학고,1000
진성면 가진리,2,경남과학고+월정마을회관,1060
사봉면 마성리,2,한국도로공사+경남과학고등학교,1200
"진성면 동산리, 대평면 상촌리",2,예음경로회관+진선초등학교,250
사봉면 방촌리,1,한국국제대학교,5000
진성면 천곡리,1,한국국제대학교,5000
수곡면 사곡리,2,우곡경로회관+반성초등학교,540
사봉면 무촌리,1,진주외국어고등학교,400
"일반성면 운천리, 진성면(온수리, 대사리)",2,개암마을경로당+경남산림박물관,1060
"수곡면 창촌리, 일반성면(답천리, 개암리)",5,"원당마을회관+장곡경로당,포실경로당+남산마을경로회관+대사웃골노인회관",160
대곡면 대곡리,1,산방마을회관,20
금곡면 금곡리,1,지수중학교,100
지수면 압사리,1,지수중학교,100
지수면 용봉리,1,지수중학교,100
지수면 청담리1,1,지수중학교,100
"지수면(청담리2, 승산리)",1,지수중학교,100
