번호,시설명,상세 시설명,소재지(도로명주소),수용가능 면적(제곱미터),수용가능 인원(명),데이터기준일자
1,구룡포읍행정복지센터,회의실,경상북도 포항시 남구 호미로 133,315,95,2024-07-15
2,구룡포초등학교,강당,경상북도 포항시 남구 구룡포길 61,863,262,2024-07-15
3,포항과학기술고등학교,강당,경상북도 포항시 남구 호미로 341,1909,578,2024-07-15
4,구룡포읍민복지회관,회관,경상북도 포항시 남구 구룡포길65번길 7,285,86,2024-07-15
5,구룡포석병청소년수련관,청소년수련관,경상북도 포항시 남구 명월길 51,1039,315,2024-07-15
6,경북대수련원,수련원,경상북도 포항시 남구 하정로 153,1812,549,2024-07-15
7,구룡포과메기문화관,문화관,경상북도 포항시 남구 구룡포길 117번길 28-8,1659,502,2024-07-15
8,연일초등학교,강당,경상북도 포항시 남구 철강로25번길 40,660,254,2024-07-15
9,영일고등학교,강당,경상북도 포항시 남구 동문로 56,2071,797,2024-07-15
10,유강1리 마을회관,마을회관,경상북도 포항시 남구 자명로 43-2,155,60,2024-07-15
11,연일읍민 복지회관,복지회관,경상북도 포항시 남구 동문로 67,330,127,2024-07-15
12,유강다목적 복지회관,복지회관,경상북도 포항시 남구 유강길 50,238,92,2024-07-15
13,택전2리 마을회관,마을회관,경상북도 포항시 남구 원서길137번길 23,166,64,2024-07-15
14,오천읍사무소,회의실,경상북도 포항시 남구 세계길 5,100,40,2024-07-15
15,오천읍민복지회관,강당,경상북도 포항시 남구 냉천로320번길 4-11,1108,335,2024-07-15
16,구정초등학교,강당,경상북도 포항시 남구 구정길 11　,165,80,2024-07-15
17,문충초등학교,강당,경상북도 포항시 남구 정몽주로 49　,445,150,2024-07-15
18,신흥중학교,강당,경상북도 포항시 남구 장기로 1639　,700,230,2024-07-15
19,오천초등학교,강당,경상북도 포항시 남구 정몽주로 572 ,1171,395,2024-07-15
20,오천고등학교,강당,경상북도 포항시 남구 해병로 293,1003,305,2024-07-15
21,대송중학교,강당,경상북도 포항시 남구 남성길 100,661,200,2024-07-15
22,대송초등학교,다목적강당,경상북도 포항시 남구 제내길 24,661,200,2024-07-15
23,송동교회,회의실,경상북도 포항시 남구 홍계길 6,99,30,2024-07-15
24,다목적 복지회관,회의실,경상북도 포항시 남구 운제로 111,661,200,2024-07-15
25,대송면사무소,회의실,경상북도 포항시 남구 홍계길 19,165,50,2024-07-15
26,동해초등학교,강당,경상북도 포항시 남구 일월로 78,499,150,2024-07-15
27,포항동해중학교,강당,경상북도 포항시 남구 일월로41번길 26,825,200,2024-07-15
28,동해면민복지회관,강당 다목적실,경상북도 포항시 남구 일월로 123번길 17-45  ,366,100,2024-07-15
29,장기중학교,강당,경상북도 포항시 남구 임중리 331-2,1239,375,2024-07-15
30,장기초등학교,다목적강당,경상북도 포항시 남구 마현리 331-8,826,250,2024-07-15
31,장기초등모포분교,다목적강당,경상북도 포항시 남구 모포리 95,264,80,2024-07-15
32,양포초등학교,강당,경상북도 포항시 남구 양포리 487,413,125,2024-07-15
33,호미곶 면사무소,회의실,경상북도 포항시 남구 해맞이로 242,638,193,2024-07-15
34,대도초등학교,다목적강당,경상북도 포항시 남구 상공로92번길 25-10,331,100,2024-07-15
35,상대초등학교,다목적강당,경상북도 포항시 남구 대해로82,331,100,2024-07-15
36,대해초등학교,다목적강당,경상북도 포항시 남구 양학천로 150번길 58,825,50,2024-07-15
37,상대동 행정복지센터,다목적강당,경상북도 포항시 남구 상대로 98,198,60,2024-07-15
38,해도동 행정복지센터,회의실,경상북도 포항시 남구 상공로 235,99,30,2024-07-15
39,분회경로당,경로당,경상북도 포항시 남구 중앙로 134 35-5,116,35,2024-07-15
40,부녀경로당,경로당,경상북도 포항시 남구 중앙로 146 15,132,40,2024-07-15
41,장수경로당,경로당,경상북도 포항시 남구 희망대로 1003 ,132,40,2024-07-15
42,해도2 새마을금고,회의실,경상북도 포항시 남구 중앙로 66-1,132,40,2024-07-15
43,해도동 평생학습관,학습관,경상북도 포항시 남구 해동로 72 13-3,132,40,2024-07-15
44,송도중학교,체육관,경상북도 포항시 남구 축항로72번길 11,661,200,2024-07-15
45,송림초등학교,강당,경상북도 포항시 남구 축항로 55,661,200,2024-07-15
46,송도초등학교,강당,경상북도 포항시 남구 송도로 80,661,200,2024-07-15
47,송도동 행정복지센터,회의실,경상북도 포항시 남구 송림로 25,132,40,2024-07-15
48,청림초등학교,강당,경상북도 포항시 남구 정몽주로 890번길 950,825,250,2024-07-15
