순번,시설명,위도,경도
1,중앙초등학교  운동장,35.1509288055,126.9186410183
2,전남여자고등학교 운동장,35.1505483499,126.9208313498
3,두암제2근린공원,35.1615894598,126.9379881209
4,산수초등학교  운동장,35.1558483337,126.9283370724
5,율곡초등학교 운동장,35.1605384025,126.9356033285
6,장원초등학교  운동장,35.1577893059,126.9377690817
7,충장중학교  운동장,35.1567357837,126.9285933354
8,동산초등학교  운동장,35.1485560541,126.9355552648
9,살레시오여고 운동장,35.1469757668,126.9298380804
10,서석초등학교  운동장,35.1475525191,126.9255600084
11,남초등학교  운동장,35.1255430012,126.9330660616
12,무등중학교  운동장,35.1242077223,126.9342235990
13,운림중학교,35.1332317750,126.9418972754
14,학운초등학교  운동장,35.1332709562,126.9471527927
15,지한초등학교 운동장,35.0940876748,126.9402054479
16,용산생활체육공원,35.1174236183,126.9327844110
17,용산초등학교  운동장,35.1187678230,126.9316526091
18,광주양동초등학교  운동장,35.1544287154,126.8989107821
19,광천초등학교  운동장,35.1596595133,126.8888573956
20,효광초등학교  운동장,35.1668180955,126.8794246520
21,극락초등학교  운동장,35.1656220635,126.8581823280
22,유덕초등학교  운동장,35.1650810068,126.8628255166
23,광주동명중학교 운동장,35.1598017535,126.8566005164
24,금호초등학교  운동장,35.1427241527,126.8592279880
25,상무고등학교  운동장,35.1547928455,126.8596319359
26,상무중학교  운동장,35.1449205773,126.8579815451
27,상일여자고등학교 운동장,35.1587830713,126.8644595943
28,서광초등학교  운동장,35.1548189619,126.8645209344
29,유촌초등학교 운동장,35.1591400407,126.8579562866
30,치평중학교  운동장,35.1446880880,126.8591931121
31,효광중학교  운동장,35.1471256218,126.8634315679
32,광주서초등학교  운동장,35.1560400258,126.8770208568
33,광주여자고등학교  운동장,35.1481877481,126.8731839324
34,성진초등학교  운동장,35.1437646267,126.8662597960
35,염주초등학교  운동장,35.1410755246,126.8787885427
36,주월초등학교  운동장,35.1447029507,126.8837427139
37,화정남초등학교  운동장,35.1378563249,126.8716252572
38,화정중학교  운동장,35.1441252947,126.8823690931
