대피소명,도로명 주소,위도,경도,유형
한강근린  공원,대구광역시 북구 내곡로 38-19,35.89843225,128.5135026,공원
교동중학교,대구광역시 북구 관음중앙로32길 15,35.94383485,128.5494005,운동장
함지초등학교,대구광역시 북구 동천로 33,35.93457225,128.5579467,운동장
북부초등학교,대구광역시 북구 동천로 20,35.93321987,128.559108,운동장
학남초등학교,대구광역시 북구 학정동로 23,35.94592541,128.5663437,운동장
학정초등학교,대구광역시 북구 학남로 32,35.94818909,128.5691014,운동장
학남중학교,대구광역시 북구 학남로 83,35.94533914,128.5703837,운동장
대구체육고등학교,대구광역시 북구 칠곡중앙대로136길 29,35.95824942,128.5583097,운동장
북구구민운동장,대구광역시 북구 구암로 391,35.94505154,128.5739021,운동장
침산공원 야외공연장,대구광역시 북구 침산남로9길 118,35.89550354,128.5845737,공원
매천공원,대구광역시 북구 매전로 17,35.90927649,128.5448937,공원
새터공원,대구광역시 북구 한강로 96,35.89526132,128.5232132,공원
내곡공원,대구광역시 북구 내곡로 63,35.90089363,128.5103623,공원
금호공원,대구광역시 북구 내곡로 140,35.89963667,128.5157146,공원
칠성고 다목적강당동,대구광역시 북구 칠성로 13,35.88086482,128.5908881,학교
달산초 강당동,대구광역시 북구 옥산로17길 37,35.88806321,128.5851585,학교
북대구초 다목적교실동,대구광역시 북구 동북로37길 68,35.90391217,128.6098332,학교
복현중 다목적교실동,대구광역시 북구 동북로65길 46,35.89423009,128.6264354,학교
문성초 다목적강당동,대구광역시 북구 복현로 180,35.90530322,128.6200384,학교
복현초 다목적교실동,대구광역시 북구 공항로 58,35.89795562,128.6214879,학교
조야초 강당,대구광역시 북구 조야로8길 16,35.90946904,128.5773486,학교
팔달초 다목적강당동,대구광역시 북구 매천로2길 19-22,35.89872243,128.5447417,학교
매천초 강당동,대구광역시 북구 매천로 179,35.91260044,128.542189,학교
태전초 다목적강당동,대구광역시 북구 칠곡중앙대로75길 16,35.92994713,128.5459961,학교
관천중 3동 다목적강당동,대구광역시 북구 구암로22길 7,35.93098488,128.5524471,학교
구암초 다목적강당동,대구광역시 북구 학정로 245,35.9279201,128.5582195,학교
운암중 다목적강당동,대구광역시 북구 구암로49길 9,35.93237536,128.5648664,학교
운암초 다목적강당동,대구광역시 북구 대천로 148,35.93548627,128.5655438,학교
칠곡중 다목적교실동,대구광역시 북구 칠곡중앙대로 583,35.94784895,128.5511812,학교
대천초 강당동,대구광역시 북구 구암로21길 54,35.93684836,128.5542062,학교
교동중 강당동,대구광역시 북구 관음중앙로32길 15,35.94383485,128.5494005,학교
북부초 강당동,대구광역시 북구 동천로 20,35.93321987,128.559108,학교
동평초 강당동,대구광역시 북구 동천로 84,35.93887648,128.5606907,학교
경명여자고등학교,대구광역시 북구 칠성로17길 18,35.88033509,128.5987481,운동장
칠성고,대구광역시 북구 칠성로 13,35.88086482,128.5908881,운동장
경상여자고등학교,대구광역시 북구 침산남로9길 164,35.89936656,128.5876566,운동장
칠성초등학교,대구광역시 북구 침산남로32길 17,35.88645335,128.5937683,운동장
대구일중학교,대구광역시 북구 옥산로17길 21,35.88642162,128.5847271,운동장
달산초등학교,대구광역시 북구 옥산로17길 37,35.88806321,128.5851585,운동장
침산중학교,대구광역시 북구 침산남로 121,35.88951031,128.5888507,운동장
침산초등학교,대구광역시 북구 성북로 25,35.89126754,128.5857141,운동장
대산초등학교,대구광역시 북구 신천동로 900,35.89686183,128.5936093,운동장
산격중학교,대구광역시 북구 동북로31길 29,35.9025115,128.6089144,운동장
북대구초등학교,대구광역시 북구 동북로37길 68,35.90391217,128.6098332,운동장
산격초등학교,대구광역시 북구 산격로10길 14,35.89441673,128.606952,운동장
경진초등학교,대구광역시 북구 경진로12길 5,35.89190519,128.6178959,운동장
영진전문대학,대구광역시 북구 복현로 35,35.89613749,128.6221286,운동장
영진고등학교,대구광역시 북구 동북로57길 9,35.89430917,128.6221887,운동장
대구북중학교,대구광역시 북구 공항로 50,35.89772589,128.6203491,운동장
복현초등학교,대구광역시 북구 공항로 58,35.89795562,128.6214879,운동장
성화중학교,대구광역시 북구 복현로 140,35.90283529,128.6194165,운동장
성화여자고등학교,대구광역시 북구 복현로 140,35.90283529,128.6194165,운동장
문성초등학교,대구광역시 북구 복현로 180,35.90530322,128.6200384,운동장
경상고등학교,대구광역시 북구 공항로15길 24,35.90191404,128.6225078,운동장
신암초등학교   ,대구광역시 북구 경대로 21,35.883649,128.6123995,운동장
서변초등학교,대구광역시 북구 호국로43길 35,35.9205478,128.5949308,운동장
서변중학교,대구광역시 북구 서변로21길 14,35.92616534,128.5956198,운동장
동변초등학교,대구광역시 북구 동변로 60,35.91901335,128.6043165,운동장
조야초등학교,대구광역시 북구 조야로8길 16,35.90946904,128.5773486,운동장
사수초등학교,대구광역시 북구 내곡로 124,35.90067488,128.5157078,운동장
팔달초등학교,대구광역시 북구 매천로2길 19-6,35.89793209,128.5448149,운동장
관문초등학교,대구광역시 북구 매전로 32,35.90826519,128.5460304,운동장
팔달중학교,대구광역시 북구 매천로2길 19-22,35.89872243,128.5447417,운동장
태전초등학교,대구광역시 북구 칠곡중앙대로75길 16,35.92994713,128.5459961,운동장
강북고등학교,대구광역시 북구 태전로 100,35.93056176,128.5405257,운동장
대구과학대학교,대구광역시 북구 영송로 47,35.92901378,128.5431769,운동장
매천중학교,대구광역시 북구 매전로 56,35.91053515,128.5475014,운동장
매천고등학교,대구광역시 북구 매전로 70,35.91149812,128.5474581,운동장
태암초등학교,대구광역시 북구 칠곡중앙대로52길 56,35.92307809,128.5503692,운동장
구암초등학교,대구광역시 북구 학정로 245,35.92797546,128.5579812,운동장
강북초등학교,대구광역시 북구 구암서로 50,35.94053606,128.5666629,운동장
