"지진해일대피소명","지진해일대피소구분","지진해일대피소유형","지진해일대피소유형구분","소재지도로명주소","소재지지번주소","위도","경도","수용가능면적","최대수용인원수","지진해일대피소운영상태","지진해일대피소전화번호","부대편의시설","주민대피지구명","주민대피지구내가구수","주민대피지구내거주인수","주민대피지구내재해약자수","내진적용여부","내진설계등급","해안선이격거리","해발높이","지진대피안내표지판수","긴급대피장소안내표지판수","지진대피로안내표지판수","관리기관명","관리기관전화번호","데이터기준일자"
"개원초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 선릉로 29","","37.480985","127.058601","12032","3646","Y","02-3423-7653","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"구룡중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 선릉로 103","","37.486153","127.056121","7038","2133","Y","02-3423-7653","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"개일초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 개포로 401","","37.486213","127.057740","6600","2000","Y","02-3423-7755","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"개포초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 영동대로3길 45","","37.486501","127.071616","6580","1994","Y","02-3423-7755","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"양전초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 개포로 513","","37.490284","127.069425","7515","2277","Y","02-3423-7755","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"개원중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 영동대로 101","","37.491639","127.071415","10260","3109","Y","02-3423-7755","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"개포고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 개포로 402","","37.484916","127.059867","8882","2692","Y","02-3423-7755","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"경기여자고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 삼성로 29","","37.487669","127.065742","8292","2513","Y","02-3423-7755","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"수도전기공업고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 개포로 410","","37.486035","127.064771","20800","6303","Y","02-3423-7755","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"개포서근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 개포동 180 외 2필지","","37.473865","127.056821","11219","3400","Y","02-3423-7755","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"개포동근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 개포동 182-1 외 2필지","","37.489853","127.068428","9706","2941","Y","02-3423-7755","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"배밭근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 개포동 181 외 1필지","","37.488750","127.062143","11627","3523","Y","02-3423-7755","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"학여울근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 개포동 183-1 외 1필지","","37.491035","127.070000","12506","3790","Y","02-3423-7755","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"구룡초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 개포로 263","","37.480304","127.052009","12874","3901","Y","02-3423-7856","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"포이초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 개포로22길 87","","37.475916","127.052511","12279","3721","Y","02-3423-7856","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"국립국악고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 개포로22길 65","","37.476232","127.051474","1392","422","Y","02-3423-7856","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"개포은행나무공원","지진대피소","옥외대피소","공원","서울특별시 강남구 개포동 1220","","37.476023","127.049040","1642","498","Y","02-3423-7856","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"논현초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 강남대로120길 33","","37.507945","127.025809","4640","1406","Y","02-3423-7425","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"학동근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 논현동 26","","37.515563","127.025197","29947","9075","Y","02-3423-7425","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"논현개나리공원","지진대피소","옥외대피소","공원","서울특별시 강남구 논현동 150-5","","37.511295","127.029875","1653","501","Y","02-3423-7425","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"학동초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 선릉로115길 42","","37.512261","127.039598","6136","1859","Y","02-3423-7505","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"언북중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 도산대로38길 27","","37.519429","127.033127","6444","1953","Y","02-3423-7505","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"논현소나무공원","지진대피소","옥외대피소","공원","서울특별시 강남구 논현동 239","","37.515430","127.037449","1820","552","Y","02-3423-7505","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대치초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 양재천로 363","","37.491277","127.062196","13435","4071","Y","02-3423-8304","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"단대부속고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 도곡로64길 21","","37.495618","127.057769","7800","2364","Y","02-3423-8304","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대청중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 양재천로 321","","37.490430","127.058351","8336","2526","Y","02-3423-8304","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"늘벗근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 대치동 501","","37.489635","127.057082","19812","6004","Y","02-3423-8304","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대곡초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 남부순환로 3022","","37.494233","127.064442","7805","2365","Y","02-3423-8405","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대현초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 역삼로98길 16","","37.503721","127.063566","8585","2602","Y","02-3423-8405","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대명중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 역삼로87길 26","","37.506338","127.060986","5400","1636","Y","02-3423-8405","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"휘문중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 역삼로 541","","37.505244","127.061385","32455","9835","Y","02-3423-8405","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"휘문고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 역삼로 541","","37.505244","127.061385","32455","9835","Y","02-3423-8405","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대치근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 대치동 512","","37.495138","127.069867","10409","3154","Y","02-3423-8405","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"도곡초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 선릉로64길 33","","37.499163","127.055205","8080","2448","Y","02-3423-8505","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"언주초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 남부순환로363길 19","","37.486322","127.036794","9078","2751","Y","02-3423-7456","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"도곡중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 언주로57길 31","","37.492307","127.045218","3200","970","Y","02-3423-7456","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"은성중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 남부순환로359길 36","","37.488380","127.035234","16544","5013","Y","02-3423-7456","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"은광여자고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 남부순환로359길 36","","37.488380","127.035234","16544","5013","Y","02-3423-7456","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대도초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 선릉로 209","","37.492742","127.052871","5587","1693","Y","02-3423-7555","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대치중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 남부순환로378길 39","","37.484571","127.047061","6852","2076","Y","02-3423-7555","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"숙명여자고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 남부순환로 2807","","37.490655","127.053873","13170","3991","Y","02-3423-7555","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"중대부속고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 선릉로 207","","37.491907","127.052113","9107","2760","Y","02-3423-7555","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"독골근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 도곡동 461","","37.485097","127.047033","10023","3037","Y","02-3423-7555","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"도곡목련공원","지진대피소","옥외대피소","공원","서울특별시 강남구 도곡동 415-3","","37.484928","127.044297","1709","518","Y","02-3423-7555","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"봉은초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 학동로 610","","37.520083","127.060933","12805","3880","Y","02-3423-7809","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
