순번,시군구,사물명,사물주소,데이터기준일자
1,서울특별시 동작구,사당중학교 운동장,서울특별시 동작구 사당로9가길 58 지진옥외대피장소,2024-07-03
2,서울특별시 동작구,동양중학교 운동장,서울특별시 동작구 흑석로9길 94 지진옥외대피장소,2024-07-03
3,서울특별시 동작구,영등포고등학교 운동장,서울특별시 동작구 등용로8길 5-14 지진옥외대피장소,2024-07-03
4,서울특별시 동작구,영등포중학교 운동장,서울특별시 동작구 등용로8길 5-8 지진옥외대피장소,2024-07-03
5,서울특별시 동작구,숭의여자고등학교운동장,서울특별시 동작구 여의대방로36길 79 지진옥외대피장소,2024-07-03
6,서울특별시 동작구,노들나루공원,서울특별시 동작구 노량진로 247 지진옥외대피장소,2024-07-03
7,서울특별시 동작구,노량진근린공원(송학대공원),서울특별시 동작구 만양로3길 42 지진옥외대피장소,2024-07-03
8,서울특별시 동작구,대방공원,서울특별시 동작구 여의대방로44길 39 지진옥외대피장소,2024-07-03
9,서울특별시 동작구,보라매공원,서울특별시 동작구 여의대방로20길 33 지진옥외대피장소,2024-07-03
10,서울특별시 동작구,농심잔디마당,서울특별시 동작구 여의대방로 112 지진옥외대피장소,2024-07-03
11,서울특별시 동작구,중앙대학교사범대학부속중학교 운동,서울특별시 동작구 서달로 124 지진옥외대피장소,2024-07-03
12,서울특별시 동작구,보라매초등학교 운동장,서울특별시 동작구 여의대방로16길 30 지진옥외대피장소,2024-07-03
13,서울특별시 동작구,대방중학교 운동장,서울특별시 동작구 여의대방로10길 24 지진옥외대피장소,2024-07-03
14,서울특별시 동작구,강남중학교 운동장,서울특별시 동작구 대방동15길 29 지진옥외대피장소,2024-07-03
15,서울특별시 동작구,영화초등학교 운동장,서울특별시 동작구 등용로8길 3 지진옥외대피장소,2024-07-03
16,서울특별시 동작구,서울공업고등학교 운동장,서울특별시 동작구 대방동1길 46 지진옥외대피장소,2024-07-03
17,서울특별시 동작구,신길초등학교운동장,서울특별시 동작구 알마타길 16 지진옥외대피장소,2024-07-03
18,서울특별시 동작구,상도중학교 운동장,서울특별시 동작구 사당로2가길 72 지진옥외대피장소,2024-07-03
19,서울특별시 동작구,삼일초등학교 운동장,서울특별시 동작구 사당로23나길 27 지진옥외대피장소,2024-07-03
20,서울특별시 동작구,동작중학교운동장,서울특별시 동작구 동작대로39가길 83 지진옥외대피장소,2024-07-03
21,서울특별시 동작구,동작초등학교 운동장,서울특별시 동작구 동작대로29길 214 지진옥외대피장소,2024-07-03
22,서울특별시 동작구,장승중학교 운동장,서울특별시 동작구 장승배기로10가길 25 지진옥외대피장소,2024-07-03
23,서울특별시 동작구,숭실대학교 운동장,서울특별시 동작구 상도로 369 지진옥외대피장소,2024-07-03
24,서울특별시 동작구,상현중학교 운동장,서울특별시 동작구 사당로2길 2-19 지진옥외대피장소,2024-07-03
25,서울특별시 동작구,영본초등학교 운동장,서울특별시 동작구 만양로12가길 69 지진옥외대피장소,2024-07-03
26,서울특별시 동작구,수도여자고등학교 운동장,서울특별시 동작구 여의대방로10길 73 지진옥외대피장소,2024-07-03
27,서울특별시 동작구,문창중학교 운동장,서울특별시 동작구 여의대방로22나길 40 지진옥외대피장소,2024-07-03
28,서울특별시 동작구,문창초등학교 운동장,서울특별시 동작구 신대방2길 14 지진옥외대피장소,2024-07-03
29,서울특별시 동작구,대림초등학교운동장,서울특별시 동작구 대방동1길 22 지진옥외대피장소,2024-07-03
30,서울특별시 동작구,동작고등학교 운동장,서울특별시 동작구 솔밭로 51 지진옥외대피장소,2024-07-03
31,서울특별시 동작구,신남성초등학교 운동장,서울특별시 동작구 사당로 146 지진옥외대피장소,2024-07-03
32,서울특별시 동작구,남성중학교 운동장,서울특별시 동작구 남부순환로269길 166 지진옥외대피장소,2024-07-03
33,서울특별시 동작구,남성초등학교 운동장,서울특별시 동작구 사당로23길 57-14 지진옥외대피장소,2024-07-03
34,서울특별시 동작구,경문고등학교운동장,서울특별시 동작구 동작대로 171 지진옥외대피장소,2024-07-03
35,서울특별시 동작구,남사초등학교 운동장,서울특별시 동작구 동작대로13길 22 지진옥외대피장소,2024-07-03
36,서울특별시 동작구,흑석초등학교 운동장,서울특별시 동작구 현충로 87 지진옥외대피장소,2024-07-03
37,서울특별시 동작구,은로초등학교 운동장,서울특별시 동작구 서달로 115 지진옥외대피장소,2024-07-03
38,서울특별시 동작구,상도초등학교 운동장,서울특별시 동작구 성대로21길 62 지진옥외대피장소,2024-07-03
39,서울특별시 동작구,국사봉중학교운동장,서울특별시 동작구 양녕로20길 20 지진옥외대피장소,2024-07-03
40,서울특별시 동작구,강현중학교운동장,서울특별시 동작구 상도로13라길 22 지진옥외대피장소,2024-07-03
41,서울특별시 동작구,신상도초등학교 운동장,서울특별시 동작구 장승배기로 14 지진옥외대피장소,2024-07-03
42,서울특별시 동작구,강남초등학교 운동장,서울특별시 동작구 강남초등길 15 지진옥외대피장소,2024-07-03
43,서울특별시 동작구,본동초등학교 운동장,서울특별시 동작구 노량진로26길 16-40 지진옥외대피장소,2024-07-03
44,서울특별시 동작구,노량진초등학교 운동장,서울특별시 동작구 장승배기로 160 지진옥외대피장소,2024-07-03
