보유기관지역코드,담당부서명,담당자전화번호,대피장소내용,대피가능인원수,대피장소응급시설내용,최초등록일시,최초등록자아이디,최종수정일시,최종수정자아이디,비고,연번,대피소주소,대피장소순번
3000000,도시녹지과,02-2148-2855,청운초등학교,291,임시 구호 세트,2023-06-14,master,2023-06-14,master,"북악산, 인왕산",1,종로구 자하문로 105,1
3000000,도시녹지과,02-2148-2855,경기상업고등학교,333,임시 구호 세트,2023-06-14,master,2023-06-14,master,"북악산, 인왕산",2,종로구 자하문로 136,2
3000000,도시녹지과,02-2148-2855,청운중학교,297,임시 구호 세트,2023-06-14,master,2023-06-14,master,"북악산, 인왕산",3,종로구 창의문로 51,3
3000000,도시녹지과,02-2148-2855,경복고등학교,110,임시 구호 세트,2023-06-14,master,2023-06-14,master,"북악산, 인왕산",4,종로구 자하문로28가길 9,4
3000000,도시녹지과,02-2148-2855,매동초등학교,110,임시 구호 세트,2023-06-14,master,2023-06-14,master,인왕산,5,종로구 사직로9길 19,5
3000000,도시녹지과,02-2148-2855,종로문화체육센터,657,임시 구호 세트,2023-06-14,master,2023-06-14,master,인왕산,6,종로구 인왕산로1길 21,6
3000000,도시녹지과,02-2148-2855,평창동주민센터,33,임시 구호 세트,2023-06-14,master,2023-06-14,master,북한산,7,종로구 평창문화로 65,7
3000000,도시녹지과,02-2148-2855,무악동주민센터,364,임시 구호 세트,2023-06-14,master,2023-06-14,master,"인왕산, 안산",8,종로구 통일로14길 36,8
3000000,도시녹지과,02-2148-2855,독립문초등학교,160,임시 구호 세트,2023-06-14,master,2023-06-14,master,"인왕산, 안산",9,종로구 통일로12길 23,9
3000000,도시녹지과,02-2148-2855,종로노인복지관 무악센터,120,임시 구호 세트,2023-06-14,master,2023-06-14,master,"인왕산, 안산",10,종로구 통일로14길 30,10
3000000,도시녹지과,02-2148-2855,교남동주민센터,94,임시 구호 세트,2023-06-14,master,2023-06-14,master,"인왕산, 안산",11,종로구 송월길 154,11
3000000,도시녹지과,02-2148-2855,재동초등학교,61,임시 구호 세트,2023-06-14,master,2023-06-14,master,북악산,12,종로구 북촌로4길 7,12
3000000,도시녹지과,02-2148-2855,종로1234가동주민센터,120,임시 구호 세트,2023-06-14,master,2023-06-14,master,북악산,13,종로구 삼일대로30길 47,13
3000000,도시녹지과,02-2148-2855,종로56가동주민센터,50,임시 구호 세트,2023-06-14,master,2023-06-14,master,낙산,14,종로구 종로35가길 19,14
