지진옥외대피소명,유형 구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,운영상태,전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
반곡고등학교 운동장,학교운동장,세종특별자치시 세종시 시청대로 598,,36.49646283,127.3173058,2617,3172,Y,044-902-7700,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
반곡중학교 운동장,학교운동장,세종특별자치시 세종시 시청대로 480,,36.49994719,127.3119307,3818,4627,Y,044-410-3600,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
반곡초등학교 운동장,학교운동장,세종특별자치시 세종시 시청대로 464,,36.49964102,127.3106003,3323,4027,Y,044-410-6000,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
솔빛초등학교 운동장,학교운동장,세종특별자치시 세종시 반곡2길 21,,36.49549684,127.3121828,1715,2078,Y,044-410-2500,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
숲바람 수변공원,공원,세종특별자치시 세종시 소담동 547,,36.486033,127.295344,5000,6060,Y,044-860-7927,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
글벗중학교 운동장,학교운동장,세종특별자치시 세종시 소담4로 33,,36.48796258,127.2989595,3333,4040,Y,044-999-6903,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
글벗초등학교 운동장,학교운동장,세종특별자치시 세종시 소담로 121,,36.48714,127.29786,2275,2757,Y,044-999-5303,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
소담고등학교 운동장,학교운동장,세종특별자치시 세종시 남세종로 326,,36.48195,127.30305,3750,4545,Y,044-902-2200,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
소담중학교 운동장,학교운동장,세종특별자치시 세종시 남세종로 340,,36.48173451,127.3019153,3150,3818,Y,044-905-0221,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
소담초등학교 운동장,학교운동장,세종특별자치시 세종시 소담1로 25,,36.48320963,127.3021352,2706,3280,Y,044-861-7303,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
금강수변공원,공원,세종특별자치시 세종시 보람동 623-3,,36.48238461,127.2916459,12000,14545,Y,044-860-7927,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
