연번,이름,도로명주소,위도,경도
1,지진옥외대피장소 인천기계공업고등학교,인천광역시 미추홀구 한나루로 545,37.45685643,126.6683566
2,지진옥외대피장소 인화여자고등학교,인천광역시 미추홀구 석정로 165,37.47395988,126.6519987
3,지진옥외대피장소 용일초등학교,인천광역시 미추홀구 인주대로 244,37.45245007,126.6633622
4,지진옥외대피장소 수봉근린공원,인천광역시 미추홀구 수봉안길 84,37.45982986,126.6632947
5,지진옥외대피장소 관교여자중학교,인천광역시 미추홀구 경원대로 691,37.44513573,126.6889705
6,지진옥외대피장소 용현여자중학교,인천광역시 미추홀구 낙섬동로 28,37.44840638,126.6406704
7,지진옥외대피장소 인천주안남초등학교,인천광역시 미추홀구 인주대로434번길 11,37.44955342,126.6850024
8,지진옥외대피장소 인천주안북초등학교,인천광역시 미추홀구 석정로375번길 14,37.46816063,126.6780582
9,지진옥외대피장소 인천남중학교,인천광역시 미추홀구 수봉로 16-23,37.46379213,126.6539999
10,지진옥외대피장소 석암초등학교,인천광역시 미추홀구 주안동로 46,37.46235,126.6867275
11,지진옥외대피장소 주안체육공원,인천광역시 미추홀구 주안서로43번길 20,37.46286497,126.676809
12,지진옥외대피장소 제물포여자중학교,인천광역시 미추홀구 인주대로470번길 20,37.44914564,126.6882045
13,지진옥외대피장소 정석항공과학고등학교,인천광역시 미추홀구 인하로 100,37.45144803,126.6515423
14,지진옥외대피장소 인하사대부속중고등학교,인천광역시 미추홀구 재넘이길123번길 29,37.44596571,126.6628662
15,지진옥외대피장소 문학정보고등학교,인천광역시 미추홀구 소성로350번길 29,37.43549148,126.6866821
16,지진옥외대피장소 관교초등학교,인천광역시 미추홀구 인하로 414,37.44625655,126.69278
17,지진옥외대피장소 인천남부초등학교,인천광역시 미추홀구 인주대로366번길 22,37.45032964,126.6758729
18,지진옥외대피장소 인주초등학교,인천광역시 미추홀구 매소홀로475번길 53,37.44238998,126.6737257
19,지진옥외대피장소 용현초등학교,인천광역시 미추홀구 낙섬동로 83,37.45317935,126.6408079
20,지진옥외대피장소 인항고등학교,인천광역시 미추홀구 매소홀로 135,37.44681429,126.6407581
21,지진옥외대피장소 인천고등학교,인천광역시 미추홀구 경원대로 804,37.45295893,126.6913054
22,지진옥외대피장소 관교중학교,인천광역시 미추홀구 경원대로670번길 19,37.44425703,126.6917774
23,지진옥외대피장소 승학초등학교,인천광역시 미추홀구 주승로 259,37.44040271,126.6965588
24,지진옥외대피장소 남인천여자중학교,인천광역시 미추홀구 인하로 426,37.44511845,126.6940513
25,지진옥외대피장소 인천도화초등학교,인천광역시 미추홀구 경인로 242,37.46314321,126.667845
26,지진옥외대피장소 인화여자중학교,인천광역시 미추홀구 석정로 165,37.47395988,126.6519987
27,지진옥외대피장소 선인고등학교,인천광역시 미추홀구 석정로 165,37.47395988,126.6519987
28,지진옥외대피장소 인천전자마이스터고등학교,인천광역시 미추홀구 석정로 165,37.47395988,126.6519987
29,지진옥외대피장소 용학초등학교,인천광역시 미추홀구 용정공원로83번길 9,37.44676348,126.6434992
30,지진옥외대피장소 인천서화초등학교,인천광역시 미추홀구 도화동 1003,37.4739669,126.660798
31,지진옥외대피장소 경원초등학교,인천광역시 미추홀구 경인로 511,37.46136602,126.6957692
32,지진옥외대피장소 인천비즈니스고등학교,인천광역시 미추홀구 도화동 1010,37.4722704,126.666198
33,지진옥외대피장소 인천백학초등학교,인천광역시 미추홀구 매소홀로446번길 25,37.43892166,126.671948
34,지진옥외대피장소 인천문학초등학교,인천광역시 미추홀구 매소홀로 553,37.4398904,126.6828332
35,지진옥외대피장소 숭의초등학교,인천광역시 미추홀구 수봉로 28-2,37.46365587,126.6560588
36,지진옥외대피장소 연학초등학교,인천광역시 미추홀구 주승로 20,37.44356467,126.6719174
37,지진옥외대피장소 인천대화초등학교,인천광역시 미추홀구 석정로301번길 13,37.46901872,126.6685307
38,지진옥외대피장소 학익고등학교,인천광역시 미추홀구 한나루로358번길 23-22,37.43903057,126.6633844
39,지진옥외대피장소 산성어린이공원,인천광역시 미추홀구 문학동 403-15,37.4347727,126.686625
40,지진옥외대피장소 주안초등학교,인천광역시 미추홀구 남주길69번길 16,37.45465257,126.6738992
41,지진옥외대피장소 용정초등학교,인천광역시 미추홀구 독정안길 26,37.45943698,126.657235
42,지진옥외대피장소 선인중학교,인천광역시 미추홀구 석정로 165,37.47395988,126.6519987
43,지진옥외대피장소 석바위근린공원,인천광역시 미추홀구 구월남로 38,37.45424402,126.69365
44,지진옥외대피장소 쑥골어린이공원,인천광역시 미추홀구 도화동 699-14,37.4712529,126.669605
45,지진옥외대피장소 학산초등학교,인천광역시 미추홀구 한나루로357번길 66,37.43982892,126.65816
46,지진옥외대피장소 인천대제물포캠퍼스대운동장,인천광역시 미추홀구 석정로 165,37.47395988,126.6519987
47,지진옥외대피장소 학익초등학교,인천광역시 미추홀구 한나루로403번길 122,37.44706316,126.6586364
48,지진옥외대피장소 다솔어린이공원,인천광역시 미추홀구 주안동 1619,37.4609598,126.69497
49,지진옥외대피장소 인하대학교대운동장,인천광역시 미추홀구 인하로 100,37.45144803,126.6515423
50,지진옥외대피장소 용현중학교,인천광역시 미추홀구 낙섬동로 16,37.44785505,126.6395478
