연번,지역명,시설구분,시설명,상세시설명,상세주소,수용가능면적_제곱미터,수용가능인원,내진설계,사용여부,지정일자
1,인천광역시 서구 가정동,경로당,가정1동경로당,본관,인천광역시 서구 가경주로20번길 1(가정동),150,57,미적용,Y,2015-09-16
2,인천광역시 서구 가정동,경로당,가정공원경로당,본관,인천광역시 서구 가정로406번길 10(가정동),91,35,미적용,Y,2015-09-16
3,인천광역시 서구 가정동,학교,인천가원초등학교,강당(본관 2층),인천광역시 서구 청중로478번길 6(가정동),651,250,적용,Y,2023-05-09
4,인천광역시 서구 가정동,경로당,가정3동경로당,본관,인천광역시 서구 서달로207번길 8(가정동),129,49,미적용,Y,2015-09-16
5,인천광역시 서구 가좌동,경로당,가좌1동경로당,본관,인천광역시 서구 건지로284번길 31(가좌동),150,57,미적용,Y,2015-09-16
6,인천광역시 서구 가좌동,경로당,할머니경로당,본관,인천광역시 서구 가정로 106-2 (가좌동),66,25,미적용,Y,2015-09-16
7,인천광역시 서구 가좌동,학교,인천봉화초등학교,체육관 강당겸용(교사시설 4층)),인천광역시 서구 건지로250번길 43(가좌동),486,186,적용,Y,2015-09-16
8,인천광역시 서구 가좌동,경로당,가좌2동경로당,본관,인천광역시 서구 장고개로287번길 25(가좌동),142,54,미적용,Y,2015-09-16
9,인천광역시 서구 가좌동,학교,가림고등학교,강당(교사시설 3층),인천광역시 서구 원적로 58(가좌동),848,326,적용,Y,2015-09-16
10,인천광역시 서구 가좌동,학교,인천가좌초등학교,강당,인천광역시 서구 장고개로309번길 5(가좌동),753,289,적용,Y,2023-05-09
11,인천광역시 서구 가좌동,경로당,가좌3동경로당,본관,인천광역시 서구 원적로57번길 4(가좌동),75,28,미적용,Y,2015-09-16
12,인천광역시 서구 가좌동,학교,가좌중학교,강당,인천광역시 서구 건지로334번길 31(가좌동),222,85,적용,Y,2015-09-16
13,인천광역시 서구 가좌동,학교,인천건지초등학교,체육관(늘봄관 2층),인천광역시 서구 건지로318번길 39(가좌동),545,209,적용,Y,2023-05-09
14,인천광역시 서구 가좌동,경로당,가좌4동 분회경로당,본관,인천광역시 서구 고래울로 12(가좌동),68,26,미적용,Y,2015-09-16
15,인천광역시 서구 가좌동,학교,가정여자중학교,강당,인천광역시 서구 고래울로28번길 13(가좌동),494,190,적용,Y,2015-09-16
16,인천광역시 서구 가좌동,학교,동인천여자중학교,체육관,인천광역시 서구 여우재로112번길 13(가좌동),1447,556,적용,Y,2015-09-16
17,인천광역시 서구 가좌동,학교,제물포중학교,강당(급식소 및 강당동 2층),인천광역시 서구 여우재로112번길 7(가좌동),791,304,적용,Y,2023-05-09
18,인천광역시 서구 검암경서동,경로당,검암경로당,본관,인천광역시 서구 승학로 551(검암동),126,48,미적용,Y,2015-09-16
19,인천광역시 서구 검암경서동,경로당,공촌경로당,본관,인천광역시 서구 승학로402번길 15(검암동),91,35,미적용,Y,2015-09-16
20,인천광역시 서구 검암경서동,학교,간재울중학교,다목적실(교사시설 5층),인천광역시 서구 승학로512번길 34(검암동),494,190,적용,Y,2015-09-16
21,인천광역시 서구 검암경서동,학교,검암중학교,다목적실(교사시설 2층),인천광역시 서구 검암로29번길 12(검암동),563,216,적용,Y,2023-05-09
22,인천광역시 서구 검암경서동,학교,인천간재울초등학교,강당(교사시설 4층),인천광역시 서구 승학로 433(검암동),486,186,미적용,Y,2015-09-16
