지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,수용가능면적,최대수용인원수,지진해일대피소전화번호,관리기관명,관리기관전화번호
솔밭공원,지진대피소,옥외대피소,공원,인천광역시 연수구 함박뫼로250,인천광역시 연수구 연수동 582-1,28507,8638,032-749-8699,연수구청 공원녹지과,032-749-8712
능허대공원,지진대피소,옥외대피소,공원,인천광역시 연수구 독배로29,인천광역시 연수구 옥련1동 194-54,1642,498,032-749-8699,연수구청 공원녹지과,032-749-8713
선학공원,지진대피소,옥외대피소,공원,인천광역시 연수구 선학로67,인천광역시 연수구 선학동 359,3235,980,032-749-8699,연수구청 공원녹지과,032-749-8714
문남공원,지진대피소,옥외대피소,공원,인천광역시 연수구 청능대로205,인천광역시 연수구 연수동 636,21559,6533,032-749-8699,연수구청 공원녹지과,032-749-8715
솔안공원,지진대피소,옥외대피소,공원,인천광역시 연수구 원인재로180,인천광역시 연수구 연수2동 634-2,13505,4092,032-749-8699,연수구청 공원녹지과,032-749-8716
양지공원,지진대피소,옥외대피소,공원,인천광역시 연수구 먼우금로222번길46,인천광역시 연수구 연수2동 594-1,10217,3096,032-749-8699,연수구청 공원녹지과,032-749-8717
체육공원,지진대피소,옥외대피소,공원,인천광역시 연수구 청능대로205,인천광역시 연수구 연수동 636,19665,5959,032-749-8699,연수구청 공원녹지과,032-749-8718
대학공원,지진대피소,옥외대피소,공원,인천광역시 연수구 함박뫼로194,인천광역시 연수구 연수동 580,102225,30977,032-749-8699,연수구청 공원녹지과,032-749-8719
문화공원,지진대피소,옥외대피소,공원,인천광역시 연수구 새말로111,인천광역시 연수구 연수3동 578,41230,12494,032-749-8699,연수구청 공원녹지과,032-749-8720
용담공원,지진대피소,옥외대피소,공원,인천광역시 연수구 용담로61,인천광역시 연수구 청학동 467,29854,9047,032-749-8699,연수구청 공원녹지과,032-749-8721
동춘공원,지진대피소,옥외대피소,공원,인천광역시 연수구 앵고개로224,인천광역시 연수구 동춘1동 938-2,9941,3012,032-749-8699,연수구청 공원녹지과,032-749-8722
동막공원,지진대피소,옥외대피소,공원,인천광역시 연수구 원인재로47,인천광역시 연수구 동춘2동 932-2,9908,3002,032-749-8699,연수구청 공원녹지과,032-749-8723
부수지공원,지진대피소,옥외대피소,공원,인천광역시 연수구 원인재로110,인천광역시 연수구 동춘3동 925-4,18905,5729,032-749-8699,연수구청 공원녹지과,032-749-8724
해돋이공원,지진대피소,옥외대피소,공원,인천광역시 연수구 해돋이로51,인천광역시 연수구 송도동 5-1,180000,54545,032-453-7913,인천광역시경제자유구역청,032-453-7913
센트럴 파크,지진대피소,옥외대피소,공원,인천광역시 연수구 컨벤시아대로160,인천광역시 연수구 송도동 24-5,200000,60606,032-453-7913,인천광역시경제자유구역청,032-453-7914
동막초교,지진대피소,실내대피소,학교,인천광역시 연수구 먼우금로149,인천광역시 연수구  동춘1동 928-1,632,192,032-814-2149,동막초교,032-814-2149
동춘초교,지진대피소,실내대피소,학교,인천광역시 연수구 먼우금로83번길12,인천광역시 연수구  동춘1동 938-1,698,212,032-812-5561,동춘초교,032-812-5561
신송초교,지진대피소,실내대피소,학교,인천광역시 연수구 해돋이로56번길28,인천광역시 연수구  송도동 3-42,662,200,032-858-0940,신송초교,032-858-0940
신정초교,지진대피소,실내대피소,학교,인천광역시 연수구 아트센터대로97번길72,인천광역시 연수구  송도동 18-8,886,268,032-851-9050,신정초교,032-851-9050
함박중학교,지진대피소,실내대피소,학교,인천광역시 연수구 솔샘로143,인천광역시 연수구   청학동 109-1,405,123,032-831-1463,함박중학교,032-831-1463
옥련2동주민센터,지진대피소,실내대피소,기타,인천광역시 연수구 옥련로82,인천광역시 연수구   옥련동 238,144,44,032-749-6050,옥련2동행정복지센터,032-749-6050
동춘1동주민센터,지진대피소,실내대피소,기타,인천광역시 연수구 먼우금로117,인천광역시 연수구   동춘동 921-2,290,88,032-749-6350,동춘1동행정복지센터,032-749-6350
청학골 경로당,지진대피소,실내대피소,기타,인천광역시 연수구 솔샘로101,인천광역시 연수구  청학동 114-5,100,30,032-749-7712,청학골 경로당,032-749-7712
선학체육관,지진대피소,실내대피소,기타,인천광역시 연수구 경원대로526,인천광역시 연수구  선학동 426,64,19,032-749-6941,선학체육관,032-749-6941
