연번,군구명,시설구분,시설명,상세주소,수용가능면적,수용가능인원
1,중구,다목적 광장,연안부두 해양광장,인천광역시 중구 연안부두로 36(항동7가),12506,14795
2,중구,학교운동장,인천연안초등학교 운동장,인천광역시 중구 연안부두로33번길 53(항동7가),3143,3810
3,중구,공원,자유공원,인천광역시 중구 자유공원남로 25(송학동1가),48097,58299
4,중구,학교운동장,인성여자중학교 운동장,인천광역시 중구 홍예문로 39(송학동2가),2100,2545
5,중구,학교운동장,인성초등학교 운동장,인천광역시 중구 신포로39번길 42(송학동2가),2100,2545
6,중구,공원,답동소공원,인천광역시 중구 답동 18-5,2550,2727
7,중구,학교운동장,송도중학교 운동장,인천광역시 중구 제물량로 123(답동),2250,2727
8,중구,학교운동장,인천신흥초등학교 운동장,인천광역시 중구 제물량로 134(답동),3115,3776
9,중구,학교운동장,신흥여자중학교 운동장,인천광역시 중구 인항로24번길 37(신흥동3가),3186,3862
10,중구,학교운동장,신흥중학교 운동장,인천광역시 중구 인항로24번길 38(신흥동3가),3567,4324
11,중구,학교운동장,인천신광초등학교 운동장,인천광역시 중구 인중로 63(신흥동3가),2730,3309
12,중구,학교운동장,인천신선초등학교 운동장,인천광역시 중구 축항대로291번길 33(신흥동3가),2589,3139
13,중구,공원,율목공원,인천광역시 중구 율목로 36(율목동),9785,11500
14,중구,학교운동장,인천정보산업고등학교,인천광역시 중구 참외전로 192(율목동),2940,3564
15,중구,학교운동장,광성중학교 운동장,인천광역시 중구 참외전로244번길 47(도원동),3178,3852
16,중구,학교운동장,송월초등학교 운동장,인천광역시 중구 자유공원로 106-8 (전동),2786,3014
17,중구,학교운동장,인일여자고등학교 운동장,인천광역시 중구 참외전로72번길 10(전동),2800,3394
18,중구,학교운동장,제물포고등학교 운동장,인천광역시 중구 자유공원로 58-9 (전동),7280,8824
19,중구,공원,월미공원,인천광역시 중구 월미로 131-9 (북성동1가),2908,3525
20,중구,공원,영종하늘체육공원,인천광역시 중구 하늘달빛로 108(중산동),60631,73128
21,중구,학교운동장,영종초등학교 운동장,인천광역시 중구 하늘달빛로 133(중산동),2100,2545
22,중구,학교운동장,운남초등학교 운동장,인천광역시 중구 운남서로 38(운남동),2100,2545
23,중구,공원,영마루공원,인천광역시 중구 영종대로 77(운서동),42081,51008
24,중구,공원,유수지공원,인천광역시 중구 신도시북로 31-35 (운서동),41273,50028
25,중구,다목적 광장,공항합동청사 잔디광장,인천광역시 중구 공항로424번길 43(운서동),92000,111515
26,중구,다목적 광장,인천국제공항 제2여객터미널 썬큰가든,인천광역시 중구 제2터미널대로 444(운서동),14000,16970
27,중구,주차장(옥외),인천국제공항 제1국제여객터미널 서측귀빈주차장,인천광역시 중구 공항로 272(운서동),4200,5091
28,중구,주차장(옥외),인천국제공항 제1국제여객터미널 장기주차장,인천광역시 중구 공항로 272(운서동),426400,516848
29,중구,주차장(옥외),인천국제공항 제1여객터미널 동측귀빈주차장,인천광역시 중구 공항로 271(운서동),3696,4480
30,중구,주차장(옥외),인천국제공항 제2여객터미널 장기주차장,인천광역시 중구 제2터미널대로 332(운서동),127500,154545
31,중구,주차장(옥외),인천국제공항 제2여객터미널 제2합동청사주차장,인천광역시 중구 공항로 272(운서동),12000,14545
32,중구,주차장(옥외),인천국제공항 화물터미널 남측2번주차장,인천광역시 중구 공항동로193번길 116(운서동),10800,13091
33,중구,주차장(옥외),인천국제공항 화물터미널 남측4번주차장,인천광역시 중구 공항동로193번길 116(운서동),6300,7636
34,중구,주차장(옥외),인천국제공항 화물터미널 남측5번주차장,인천광역시 중구 운서동 2842-17,13050,15818
35,중구,주차장(옥외),인천국제공항 화물터미널 북측2번주차장,인천광역시 중구 공항동로295번길 77-11 (운서동),12150,14727
36,중구,주차장(옥외),인천국제공항 화물터미널 북측4번주차장,인천광역시 중구 공항동로295번길 77-11 (운서동),15300,18545
37,중구,체육시설(옥외),공항합동청사 축구장,인천광역시 중구 공항로424번길 47(운서동),19000,23030
38,중구,학교운동장,삼목초등학교 운동장,인천광역시 중구 신도시북로 42(운서동),2621,3177
39,중구,학교운동장,운서초등학교 운동장,인천광역시 중구 운서2로 57(운서동),2100,2545
40,중구,학교운동장,인천공항중학교 운동장,인천광역시 중구 영종대로27번길 49(운서동),3108,3767
41,중구,학교운동장,인천공항초등학교 운동장,인천광역시 중구 신도시남로 43(운서동),2566,3111
42,중구,공원,을왕공원,인천광역시 중구 을왕동 산78,40573,49179
43,중구,학교운동장,용유중학교 운동장,인천광역시 중구 남북로87번길 4(남북동),2100,2545
44,중구,학교운동장,용유초등학교 운동장,인천광역시 중구 남북로87번길 4(남북동),2100,2545
45,중구,학교운동장,용유초등학교 무의분교장 운동장,인천광역시 중구 대무의로 302-17 (무의동),840,1018
46,동구,학교운동장,만석초등학교 운동장,인천광역시 동구 제물량로 412(화수동),2902,3517
47,동구,학교운동장,화도진중학교 운동장,인천광역시 동구 화수로 64(화수동),2025,2454
48,동구,학교운동장,송현초등학교 운동장,인천광역시 동구 송화로 45(송현동),413,500
49,동구,학교운동장,영화관광경영고등학교 운동장,인천광역시 동구 우각로 39(창영동),2000,2424
50,동구,학교운동장,창영초등학교 운동장,인천광역시 동구 우각로 19(창영동),1417,1717
51,동구,학교운동장,인천산업정보학교 운동장,인천광역시 동구 금창로 31(금곡동),3602,4366
52,동구,학교운동장,동명초등학교 운동장,인천광역시 동구 송림로70번길 10(송림동),2352,2850
53,동구,학교운동장,동산고등학교 운동장,인천광역시 동구 동산로 58(송림동),5000,6060
