번호,종류,구분,주소,시설 명,면적(제곱미터),수용(명)
1,임시주거시설,학교,전라남도 강진군 강진읍 금릉2길 24,강진고등학교 체육관,1050,403
2,임시주거시설,학교,전라남도 강진군 강진읍 중앙로 180,강진동초등학교 다목적강당,963,370
3,임시주거시설,학교,전라남도 강진군 강진읍 고성길 15-6,강진여자중학교 체육관,1141,438
4,임시주거시설,학교,전라남도 강진군 강진읍 중앙로 74,강진중앙초등학교 다목적강당,2146,825
5,임시주거시설,학교,전라남도 강진군 강진읍 중앙로 205,강진중학교 체육관,978,376
6,임시주거시설,학교,전라남도 강진군 강진읍 교촌길 23,전남생명과학고등학교 다목적강당,1050,403
7,임시주거시설,관공서,전라남도 강진군 군동면 종합운동장길 60,국민체육센터,1600,615
8,임시주거시설,기타시설,전라남도 강진군 군동면 진흥로 324-9,군동복지회관,246,94
9,임시주거시설,학교,전라남도 강진군 군동면 군동계산길 22,계산초등학교 다목적교실,132,50
10,임시주거시설,학교,전라남도 강진군 군동면 석교로 365,군동초등학교 다목적강당,857,329
11,임시주거시설,학교,전라남도 강진군 군동면 석교로 395,청람중학교 체육관,646,248
12,임시주거시설,기타시설,전라남도 강진군 칠량면 칠량로 72,칠량복지회관,198,76
13,임시주거시설,학교,전라남도 강진군 칠량면 영동1길 5,칠량초등학교 체육관칠량초등학교,708,272
14,임시주거시설,기타시설,전라남도 강진군 대구면 수동길 6,대구복지회관,220,84
15,임시주거시설,학교,전라남도 강진군 대구면 청자로 1887,강진대구중학교 다목적강당,721,277
16,임시주거시설,학교,전라남도 강진군 대구면 청자로 1888,대구초등학교 다목적실,180,69
17,임시주거시설,기타시설,전라남도 강진군 도암면 도암중앙로 57-7,도암복지회관,197,75
18,임시주거시설,학교,전라남도 강진군 도암면 도암신리길 20,도암중학교 다목적강당,278,106
19,임시주거시설,학교,전라남도 강진군 도암면 봉황로 10,도암초등학교 체육관,1716,660
20,임시주거시설,기타시설,전라남도 강진군 신전면 신전중앙길 15-5,신전복지회관,317,121
21,임시주거시설,학교,전라남도 강진군 신전면 백도로 1341,신전초등학교 체육관,764,293
22,임시주거시설,기타시설,전라남도 강진군 성전면 예향로 11-4,성전복지회관,210,80
23,임시주거시설,학교,전라남도 강진군 성전면 별뫼로 367-9,성전중고등학교 다목적강당,132,50
24,임시주거시설,학교,전라남도 강진군 성전면 예향로 17,성전초등학교 다목적강당,810,311
25,임시주거시설,기타시설,전라남도 강진군 작천면 평리길 37-2,작천복지회관,189,72
26,임시주거시설,학교,전라남도 강진군 작천면 평리3길 1,작천초등학교 다목적강당,753,289
27,임시주거시설,기타시설,전라남도 강진군 병영면 동삼인길 7,병영복지회관,123,47
28,임시주거시설,학교,전라남도 강진군 병영면 하멜로 372,병영상업고등학교 다목적교실,132,50
29,임시주거시설,학교,전라남도 강진군 병영면 병영성로 175,병영초등학교 다목적강당,264,101
30,임시주거시설,기타시설,전라남도 강진군 옴천면 개산중앙길 15-2,옴천복지회관,197,75
31,임시주거시설,학교,전라남도 강진군 옴천면 개산중앙길 12-7,옴천초등학교 다목적교실,83,31
32,임시주거시설,기타시설,전라남도 강진군 마량면 마량8길 20,마량복지회관,300,115
33,임시주거시설,학교,전라남도 강진군 마량면 서중길 42,마량초등학교 체육관,856,329
