연번,구분,읍면동,시설명,설치일,연면적(제곱미터),소재지 도로명주소,소유 구분,데이터기준일자
1,마을회관,장수읍,교촌회관,2005-11-01,192.8,전북특별자치도 장수군 장수읍 교촌로 55,장수교촌마을회,2024-05-23
2,마을회관,장수읍,준비회관,2006-12-29,132.62,전북특별자치도 장수군 장수읍 호비로 22-9,준비마을회,2024-05-23
3,마을회관,장수읍,중동회관,1999-10-29,113.9,전북특별자치도 장수군 장수읍 충혼탑길 9-8,중동아건너회,2024-05-23
4,마을회관,장수읍,하비회관,2021-01-18,81.8,전북특별자치도 장수군 장수읍 하비길 6-1,하비경로당,2024-05-23
5,마을회관,장수읍,부경회관,2018-07-13,미상,"전북특별자치도 장수군 장수읍 하비길 32, 701호",부경마을회,2024-05-23
6,마을회관,장수읍,남동회관,2003-12-30,149.23,전북특별자치도 장수군 장수읍 논개사당길 3,강용술외 3명,2024-05-23
7,마을회관,장수읍,북동회관,1986,63.12,전북특별자치도 장수군 장수읍 구시장길 16-3,북동영농회,2024-05-23
8,마을회관,장수읍,관두회관,2008-02-19,248.06,"전북특별자치도 장수군 장수읍 관두길 18,102동 307호",LH공사,2024-05-23
9,마을회관,장수읍,노하회관,1995-10-17,153.3,전북특별자치도 장수군 장수읍 노하2길 7,노하마을협의회,2024-05-23
10,마을회관,장수읍,서동회관,2014-03-04,71.5277,"전북특별자치도 장수군 장수읍 시장로27-14, 702호",서동마을협의회,2024-05-23
11,마을회관,장수읍,신기회관,2004-12-02,96.34,전북특별자치도 장수군 장수읍 노하신기안길 4-1,신기영농회,2024-05-23
12,마을회관,장수읍,왕대회관,1993-03-24,128.2,전북특별자치도 장수군 장수읍 왕대길 18,왕대새마을회,2024-05-23
13,마을회관,장수읍,판둔회관,2002-12-26,145.49,전북특별자치도 장수군 장수읍 판둔안길 12-2,판둔친목회,2024-05-23
14,마을회관,장수읍,음선회관,2008-09-05,126.62,전북특별자치도 장수군 장수읍 음선길 85,음선마을회,2024-05-23
15,마을회관,장수읍,남선회관,1996-05-28,44.81,"전북특별자치도 장수군 장수읍 장천로 260, 나동 407호",선창아파트개발위원회,2024-05-23
16,마을회관,장수읍,양선회관,2011-01-25,77.66,전북특별자치도 장수군 장수읍 양선길 13,양선마을회,2024-05-23
17,마을회관,장수읍,신리회관,2000-10-05,79.19,전북특별자치도 장수군 장수읍 신리길 27,신리마을회,2024-05-23
18,마을회관,장수읍,대리회관,2001-08-09,112.25,전북특별자치도 장수군 장수읍 개실길 203-4,대리마을회,2024-05-23
19,마을회관,장수읍,상중회관,2013-01-18,103.12,전북특별자치도 장수군 장수읍 개실길 167-1,상중마을회,2024-05-23
20,마을회관,장수읍,하중회관,미상,95,전북특별자치도 장수군 장수읍 개실길 161-9,하중마을회,2024-05-23
21,마을회관,장수읍,신촌회관,1996-09-20,65.34,전북특별자치도 장수군 장수읍 노곡 신촌길 14-3,신촌마을회,2024-05-23
22,마을회관,장수읍,하리회관,1998-12-24,164.85,전북특별자치도 장수군 장수읍 개실길 111-1,하리마을,2024-05-23
23,마을회관,장수읍,동가야회관,1979,270,전북특별자치도 장수군 장수읍 동촌2길 1,동화회,2024-05-23
24,마을회관,장수읍,덕산회관,2003-11-28,218.34,전북특별자치도 장수군 장수읍 신덕산길 2-7,신덕산마을회,2024-05-23
25,마을회관,장수읍,범연회관,2010-10-28,105.57,전북특별자치도 장수군 장수읍 덕산로 828,범연마을회,2024-05-23
26,마을회관,장수읍,두산회관,2001-12-12,109.25,전북특별자치도 장수군 장수읍 두산길 41,두산마을회,2024-05-23
27,마을회관,장수읍,농원회관,2001-09-10,169.8,전북특별자치도 장수군 장수읍 개정농원길 50-3,농원마을회,2024-05-23
28,마을회관,장수읍,상평회관,2003-12-29,86.55,전북특별자치도 장수군 장수읍 상하평길 75-3,상평마을영농회,2024-05-23
29,마을회관,장수읍,하평회관,1994-06-07,183.31,전북특별자치도 장수군 장수읍 상하평길 17,하평마을회,2024-05-23
30,마을회관,장수읍,와동회관,1997-11-17,197.28,전북특별자치도 장수군 장수읍 와동길 87,와동마을회,2024-05-23
31,마을회관,장수읍,개정회관,2001-12-21,88.42,전북특별자치도 장수군 장수읍 원개정길 22,원개정,2024-05-23
32,마을회관,장수읍,수분회관,2002-12-26,85.5,전북특별자치도 장수군 장수읍 뜬봉샘길 50,수분영농회,2024-05-23
33,마을회관,장수읍,송계회관,2002-12-12,76.3,전북특별자치도 장수군 장수읍 송계길 32,송계영농작목반,2024-05-23
34,마을회관,장수읍,송천회관,1990,147.83,전북특별자치도 장수군 장수읍 원송천길 26,원송천영농회,2024-05-23
35,마을회관,장수읍,이교회관,미상,69.33,전북특별자치도 장수군 장수읍 이교길 10,김용표외 6인,2024-05-23
36,마을회관,장수읍,구락회관,미상,190.1,전북특별자치도 장수군 장수읍 구락길 59,장수군,2024-05-23
37,마을회관,장수읍,용추회관,2000-07-20,83.22,전북특별자치도 장수군 장수읍 용추길 19,용추마을회,2024-05-23
38,마을회관,장수읍,송학골회관,2013-11-07,905.87,전북특별자치도 장수군 장수읍 송학로 93,장수군수,2024-05-23
39,마을회관,장수읍,용계회관,2014-07-31,268.06,전북특별자치도 장수군 장수읍 용계길 5-2,장수군,2024-05-23
40,마을회관,장수읍,안양회관,1999-01-25,196.52,전북특별자치도 장수군 장수읍 팔공로 10,안양마을회,2024-05-23
41,마을회관,장수읍,대성회관,2001-12-08,77.77,전북특별자치도 장수군 장수읍 원대성길 57-3,원대성마을회,2024-05-23
42,마을회관,장수읍,대덕회관,2002-11-18,102.46,전북특별자치도 장수군 장수읍 대덕길 77,대덕동회,2024-05-23
43,마을회관,장수읍,구평회관,1998-12-14,81,전북특별자치도 장수군 장수읍 구평길 78,구암흑평마을회,2024-05-23
44,마을회관,장수읍,금평회관,미상,117.72,전북특별자치도 장수군 장수읍 비행로 566-61,장수군수,2024-05-23
45,마을회관,장수읍,필덕회관,미상,119.35,전북특별자치도 장수군 장수읍 필덕길 42,필덕마을,2024-05-23
46,마을회관,장수읍,식천회관,2001-10-31,110.94,전북특별자치도 장수군 장수읍 식천길 201,식천마을영농회,2024-05-23
47,마을회관,산서면,방화회관,2004-09-18,86.08,전북특별자치도 장수군 산서면 방화길 26,방화영농회,2024-05-23
48,마을회관,산서면,성재회관,2004-01-19,66.2,전북특별자치도 장수군 산서면 성재길 18,성재마을회,2024-05-23
49,마을회관,산서면,강치회관,2001-07-31,83.99,전북특별자치도 장수군 산서면 개치길 39,강치마을회,2024-05-23
50,마을회관,산서면,양신회관,1998-09-14,91.05,전북특별자치도 장수군 산서면 쌍계양신2길 4,양신마을회,2024-05-23
51,마을회관,산서면,마평회관(신평),2001-09-28,95.8,전북특별자치도 장수군 산서면 장남로 1078-16,마평마을회,2024-05-23
52,마을회관,산서면,마평회관(마평),2016-09-26,90.51,전북특별자치도 장수군 산서면 마평1길 10,마평마을회,2024-05-23
53,마을회관,산서면,서원회관,1998-08-05,96.84,전북특별자치도 장수군 산서면 계월로 418,서원마을회,2024-05-23
54,마을회관,산서면,왕곡회관(왕곡),2001-08-25,78,전북특별자치도 장수군 산서면 사계로 788,왕곡마을회,2024-05-23
