구분,시설명,주소,위도,경도,면적(제곱미터),내진설계,데이터기준일자
경로당,천지동 경로당,제주특별자치도 서귀포시 서문로 37,33.24959899,126.558407,198,적용,2024-10-24
경로당,하효경로당,제주특별자치도 서귀포시 칠십리로 740,33.25798107,126.6177655,264,미적용,2024-10-24
경로당,신효경로당,제주특별자치도 서귀포시 신효중앙로4번길 1,33.26459688,126.6143344,165,미적용,2024-10-24
관공서,올림픽기념국민생활관,제주특별자치도 서귀포시 중산간서로 97,33.26118273,126.4995028,1617,적용,2024-10-24
관공서,대정문화체육센터,제주특별자치도 서귀포시 대정읍 암반수마농로 419,33.26210276,126.2343506,1320,적용,2024-10-24
관공서,안덕생활체육관,제주특별자치도 서귀포시 안덕면 화순서서로 59,33.2549383,126.3285698,1962,적용,2024-10-24
관공서,표선생활체육관,제주특별자치도 서귀포시 표선면 한마음초등로 399,33.35456811,126.8138616,1320,적용,2024-10-24
기타시설,서귀포시장애인회관,제주특별자치도 서귀포시 칠십리로72번길 9,33.23977031,126.5645552,529,적용,2024-10-24
기타시설,서귀포시노인복지관,제주특별자치도 서귀포시 서호남로 19-42,33.25406647,126.5173412,340,적용,2024-10-24
기타시설,서귀포시서부종합사회복지관,제주특별자치도 서귀포시 대정읍 신영로 23,33.22390567,126.2478826,883,적용,2024-10-24
기타시설,동부종합사회복지관,제주특별자치도 서귀포시 성산읍 일출로 14-11,33.44668616,126.9132048,373,적용,2024-10-24
마을회관,법환마을회관,제주특별자치도 서귀포시 이어도로 968,33.24046147,126.516605,380,미적용,2024-10-24
마을회관,하모1리사무소,제주특별자치도 서귀포시 대정읍 최남단해안로125번길 47,33.21562901,126.2574969,198,미적용,2024-10-24
마을회관,남원1리마을회관,제주특별자치도 서귀포시 남원읍 남원회관로 27,33.2778157,126.7161541,297,미적용,2024-10-24
마을회관,신례2리마을회관,제주특별자치도 서귀포시 남원읍 공천포로 69-1,33.26508687,126.6407824,165,미적용,2024-10-24
마을회관,시흥리사무소,제주특별자치도 서귀포시 성산읍 시흥상동로 54,33.47406784,126.8987804,137,미적용,2024-10-24
마을회관,고성리사무소,제주특별자치도 서귀포시 성산읍 서성일로1222번길 36,33.44483648,126.9120232,278,미적용,2024-10-24
마을회관,사계리마을회관,제주특별자치도 서귀포시 안덕면 산방로 322,33.23353417,126.301867,894,미적용,2024-10-24
마을회관,하천리사무소,제주특별자치도 서귀포시 표선면 하천로 59,33.34651956,126.8409567,132,미적용,2024-10-24
마을회관,성읍1리사무소,제주특별자치도 서귀포시 표선면 중산간동로 4658,33.38995599,126.7977862,165,미적용,2024-10-24
마을회관,가시리사무소,제주특별자치도 서귀포시 표선면 가시로565번길 20,33.3535726,126.7707821,132,미적용,2024-10-24
학교,서귀포초등학교체육관,제주특별자치도 서귀포시 솔동산로11번길 17,33.24449958,126.5665381,891,적용,2024-10-24
