연번,재해위험지구명,구분,시설명,도로명 주소,위도,경도,수용인원
1,소동2(소)지구,마을회관,소동1마을회관,충청남도 아산시 음봉면 연암율금로203번길 6-6,36.86704057,127.0485937,50
2,소동3(소)지구,마을회관,소동2마을회관,충청남도 아산시 음봉면 연암율금로173번길 14,36.86679431,127.0441849,50
3,소동4(소)지구,마을회관,소동3마을회관,충청남도 아산시 음봉면 연암율금로295번길 115,36.8755356,127.0488716,50
4,군계1지구+둔석(소)지구,학교,아산전자기계고등학교,충청남도 아산시 둔포면 둔포중앙로133번길 42,36.929433,127.043519,200
5,군계1지구,마을회관,운용2리마을회관,충청남도 아산시 둔포면 운용길 68,36.93169133,127.0589878,50
6,군계1지구,마을회관,운용1리마을회관,충청남도 아산시 둔포면 이화길27번길 14,36.92840076,127.0779861,50
7,상성(소)지구,마을회관,상성리마을회관,충청남도 아산시 영인면 상성길 14번길 2,36.86144124,126.9431487,50
8,도수(소)지구,마을회관,월선2리마을회관,충청남도 아산시 영인면 월선서길 28,36.87852186,126.9204609,50
9,도수(소)지구,마을회관,공세1리마을회관,충청남도 아산시 인주면 공세길72번길 3,36.88099048,126.9153308,50
10,공세2길,마을회관,공세3리마을회관,충청남도 아산시 인주면 아산호로20번길 37-2,36.885877,126.917531,50
11,공세3길,마을회관,모원리마을회관,충청남도 아산시 인주면 아산로 1312번길 112,36.8879187,126.9319148,50
12,공세4길,마을회관,월선3리마을회관,충청남도 아산시 영인면 월선서길 28,36.87852186,126.9204609,50
13,도흥1(소)지구,마을회관,도흥1리마을회관,충청남도 아산시 인주면 도흥길 58-1,36.83375123,126.900478,50
14,신엄(소)지구,마을회관,군덕3리마을회관,충청남도 아산시 선장면 아산만로 357,36.77484381,126.8625418,50
15,신엄(소)지구,학교,아산성심학교,충청남도 아산시 선장면 아산만로368,36.77689032,126.8631494,100
16,숲골(소)지구,마을회관,농은리마을회관,충청남도 아산시 도고면 도고산로 93-10,36.71018484,126.9197494,50
17,덕암(소)지구,마을회관,덕암리마을회관,충청남도 아산시 도고면 덕암안길 53,36.73879721,126.9345863,50
18,덕암(소)지구,마을회관,도산2리마을회관,충청남도 아산시 도고면 도고산로 333,36.73101926,126.917081,50
19,석당(소)지구,마을회관,석당리마을회관,충청남도 아산시 도고면 도고저수지길 268-11,36.74741569,126.9211537,50
20,염성(소)지구,마을회관,쌍죽리마을회관,충청남도 아산시 염치읍 쌍죽길 76,36.82258782,126.9775605,50
21,염성(소)지구+곡교1지구,학교,염티초등학교,충청남도 아산시 염치읍 염치로 49,36.81663447,126.9781331,200
22,염성(소)지구,관공서,염치읍주민자치센터,충청남도 아산시 염치읍 염치로 37,36.81659492,126.9767257,50
23,대동(소)지구,마을회관,대동리마을회관,충청남도 아산시 염치읍 만전당길97번길 2,36.8123901,127.0421626,50
24,대동(소)지구,마을회관,백암2리마을회관,충청남도 아산시 염치읍 백암길 130-12,36.80430447,127.0341605,50
25,강청(소)지구,마을회관,산양1리마을회관,충청남도 아산시 염치읍 산양길 51,36.83105657,126.9229552,50
26,강청(소)지구,마을회관,산양3리마을회관,충청남도 아산시 염치읍 산양길 30번길 26,36.82766394,126.9239922,50
27,세출(소)지구,마을회관,회룡2리마을회관,충청남도 아산시 배방읍 호서로 231번길 10,36.75304458,127.0731304,50
28,세출(소)지구,마을회관,세출리마을회관,충청남도 아산시 배방읍 호서로 124,36.74350822,127.0735441,50
29,강장2(소)지구,마을회관,강장리마을회관,충청남도 아산시 송악면 송악로 112,36.71006315,126.9566663,50
30,강장2(소)지구,마을회관,수곡2리마을회관,충청남도 아산시 송악면 송악로225번길 40,36.71963895,126.9549286,50
31,동산(소)지구+매곡1지구,학교,동덕초등학교,충청남도 아산시 탕정면 탕정면로 381,36.82086735,127.0842567,200
