연번,시도명,시군구명,읍면동명,시설명,상세주소,시설면적,경도,위도
1,충청남도,예산군,오가면,임성중학교,충청남도 예산군 오가면 역탑리 463-18,5547,126.785569,36.6896
2,충청남도,예산군,오가면,양신초등학교,충청남도 예산군 오가면 분천리 11-3,6370,126.784607,36.705964
3,충청남도,태안군,태안읍,종합운동장,충청남도 태안군 태안읍   217,16000,126.291653,36.765753
4,충청남도,태안군,태안읍,백화초,충청남도 태안군 태안읍 동문리 45-0,3902,126.307738,36.752404
5,충청남도,태안군,태안읍,태안여중 운동장,충청남도 태안군 태안읍 동문리 350-3,4768,126.306344,36.751627
6,충청남도,태안군,태안읍,태안중 운동장,충청남도 태안군 태안읍 동문리 300-0,9328,126.301005,36.753064
7,충청남도,태안군,태안읍,태안여고 운동장,충청남도 태안군 태안읍 남문리 416-0,5280,126.289126,36.759508
8,충청남도,태안군,태안읍,태안초 운동장,충청남도 태안군 태안읍 남문리 315-0,6325,126.295442,36.759004
9,충청남도,태안군,태안읍,송암초 운동장,충청남도 태안군 태안읍 송암리 765-1,6132,126.3004,36.735304
10,충청남도,태안군,태안읍,태안고 운동장,충청남도 태안군 태안읍 평천리 710-0,6574,126.317481,36.753902
11,충청남도,태안군,태안읍,화동초 운동장,충청남도 태안군 태안읍 평천리 679-8,3823,126.320375,36.753673
12,충청남도,태안군,안면읍,안면중 운동장,충청남도 태안군 안면읍 승언리 60-1,5319,126.354234,36.508891
13,충청남도,태안군,안면읍,안면고 운동장,충청남도 태안군 안면읍 승언리 60-27,7803,126.356038,36.509115
14,충청남도,태안군,안면읍,안면초 운동장,충청남도 태안군 안면읍 승언리 846-4,5949,126.347048,36.52768
15,충청남도,태안군,안면읍,창기중 운동장,충청남도 태안군 안면읍 창기리 1115-15,6207,126.333903,36.577229
16,충청남도,태안군,안면읍,안중초 운동장,충청남도 태안군 안면읍 중장리 653-0,4336,126.372249,36.473796
17,충청남도,태안군,고남면,고남초 운동장,충청남도 태안군 고남면 고남리 1609-0,3050,126.404075,36.42625
18,충청남도,태안군,남면,남면초 운동장,충청남도 태안군 남면 달산리 1174-2,3109,126.299798,36.673229
19,충청남도,태안군,남면,삼성초 운동장,충청남도 태안군 남면 신온리 374-0,4107,126.311535,36.621898
20,충청남도,태안군,근흥면,안흥초 운동장,충청남도 태안군 근흥면   823-2,5792,126.174829,36.69979
21,충청남도,태안군,근흥면,근흥중 운동장,충청남도 태안군 근흥면 용신리 409-6,7178,126.229064,36.716288
22,충청남도,태안군,근흥면,근흥초 운동장,충청남도 태안군 근흥면 용신리 447-0,3127,126.228053,36.714479
23,충청남도,태안군,근흥면,안흥초 신진도분교,충청남도 태안군 근흥면 신진도리 85-0,1191,126.139291,36.682804
24,충청남도,태안군,소원면,시목초 운동장,충청남도 태안군 소원면 시목리 288-0,3300,126.24501,36.768543
25,충청남도,태안군,소원면,만리포중 운동장,충청남도 태안군 소원면 신덕리 631-2,5554,126.194075,36.765564
26,충청남도,태안군,소원면,만리포고 운동장,충청남도 태안군 소원면 신덕리 180-0,6894,126.19106,36.759923
27,충청남도,태안군,소원면,소원초 운동장,충청남도 태안군 소원면 신덕리 223-0,5271,126.193482,36.763627
28,충청남도,태안군,소원면,소원초 의향분교,충청남도 태안군 소원면 의항리 337-0,3003,126.16069,36.829721
29,충청남도,태안군,소원면,모항초 운동장,충청남도 태안군 소원면 모항리 344-0,2883,126.13988,36.772974
30,충청남도,태안군,원북면,원북초 운동장,충청남도 태안군 원북면 반계리 222-0,4468,126.258571,36.825555
31,충청남도,태안군,원북면,원북초 방갈분교,충청남도 태안군 원북면 방갈리 202-0,3593,126.212362,36.873562
32,충청남도,태안군,원북면,대기초 운동장,충청남도 태안군 원북면 대기리 15-1,3400,126.256997,36.80005
33,충청남도,태안군,이원면,이원초 관동분교,충청남도 태안군 이원면 관리 572-3,2679,126.299665,36.900794
34,충청남도,태안군,이원면,이원초 운동장,충청남도 태안군 이원면 포지리 44-0,3786,126.281324,36.868642
