연번,구분,도로명주소,지번주소,위도,경도,면적(m2)
1,경로당+마을회관+무더위심터,충청북도 옥천군 옥천읍 향수2길 46-11,충청북도 옥천군 옥천읍 죽향리 52-2,36.31683409,127.5812922,92.82
2,경로당+마을회관,"충청북도 옥천군 옥천읍 성왕로 1274, 옥향@",충청북도 옥천군 옥천읍 죽향리 153-2번지 옥향@,36.31669323,127.5788049,70
3,경로당,"충청북도 옥천군 옥천읍 성왕로 1262, 향수마을@ 101",충청북도 옥천군 옥천읍 죽향 196-2 향수마을@ 101,36.31616404,127.5773579,72.81
4,경로당+마을회관+무더위심터,충청북도 옥천군 옥천읍 향수2길 9,충청북도 옥천군 옥천읍 문정리 53,36.31378827,127.5792783,109.16
5,경로당+마을회관+무더위심터,충청북도 옥천군 옥천읍 문정2길13-15,충청북도 옥천군 옥천읍 문정리 446-23,36.3051643,127.5732787,83.45
6,경로당+마을회관,"충청북도 옥천군 옥천읍 동부로 16, 하늘빛@ 105",충청북도 옥천군 옥천읍 문정리 430-1 하늘빛@105,36.30608229,127.5736803,95.94
7,경로당+마을회관+무더위심터,"충청북도 옥천군 옥천읍 관성로1길 18, 진달래@",충청북도 옥천군 옥천읍 문정리 467-5 진달래@,36.30334731,127.5730254,60
8,경로당+마을회관+무더위심터,"충청북도 옥천군 옥천읍 문장로2길 9, 문정@2단지",충청북도 옥천군 옥천읍 문정리 374 주공2단지,36.30329811,127.5766977,65
9,경로당+무더위심터,"충청북도 옥천군 옥천읍 문장로2길 10, 문정@3단지",충청북도 옥천군 옥천읍 문정리 376 주공3단지,36.30182951,127.577229,65
10,경로당+무더위심터,충청북도 옥천군 옥천읍 향수3길 30 ,충청북도 옥천군 옥천읍 상계리 96-3,36.31523062,127.5807219,82.5
11,경로당,충청북도 옥천군 옥천읍 향수4길 19 ,충청북도 옥천군 옥천읍 상계리97,36.3153772,127.5810812,195.3
12,경로당,충청북도 옥천군 옥천읍 향수4길 7-23,충청북도 옥천군 옥천읍 하계리17-4,36.31392928,127.5810641,86.1
13,경로당,충청북도 옥천군 옥천읍 향수길 111,충청북도 옥천군 옥천읍 교동리314,36.31750235,127.5869473,69.12
14,경로당,충청북도 옥천군 옥천읍 동안2길11-1 ,충청북도 옥천군 옥천읍 동안리 75-23,36.31141262,127.5905822,77
15,경로당,충청북도 옥천군 옥천읍 수북길 11-2,충청북도 옥천군 옥천읍 수북리 118-1,36.31778076,127.6075903,99
16,경로당+무더위심터,충청북도 옥천군 옥천읍 수북1길 9-1,충청북도 옥천군 옥천읍 수북리 64-8,36.31618964,127.6082836,55.6
17,경로당,충청북도 옥천군 옥천읍 오대1길 39-1,충청북도 옥천군 옥천읍 오대리 704-5,36.33147522,127.6141107,49.92
18,경로당,충청북도 옥천군 옥천읍 매화길 26,충청북도 옥천군 옥천읍 매화리 141-23,36.30411147,127.5958001,135.45
19,경로당,충청북도 옥천군 옥천읍 서대구일로5길 34-6,충청북도 옥천군 옥천읍 구일리 639-1,36.29116567,127.5957416,85.23
20,경로당,충청북도 옥천군 옥천읍 서대구일로5길 27-7,충청북도 옥천군 옥천읍 구일리 630-1,36.2901219,127.5958009,42
21,경로당,충청북도 옥천군 옥천읍 서대구일로4길 37,충청북도 옥천군 옥천읍 구일리 201,36.28663228,127.598887,49.6
22,경로당,충청북도 옥천군 옥천읍 서대구일로3길 37,충청북도 옥천군 옥천읍 구일리 318-4,36.28212071,127.5965629,87.53
23,경로당,충청북도 옥천군 옥천읍 송신길 90,충청북도 옥천군 옥천읍 서대리 194,36.28545882,127.5821607,82.45
24,경로당,충청북도 옥천군 옥천읍 송신1길 6,충청북도 옥천군 옥천읍 서대리 178-1,36.2822554,127.5814206,86.68
25,경로당,충청북도 옥천군 옥천읍 서대구일로 65,충청북도 옥천군 옥천읍 서대리 377-2,36.27997939,127.5866243,76.16
26,경로당,충청북도 옥천군 옥천읍 청풍로 172 ,충청북도 옥천군 옥천읍 가풍리 855-4,36.2591546,127.5845778,244
27,경로당+무더위심터,충청북도 옥천군 옥천읍 원각1길 5-2 ,충청북도 옥천군 옥천읍 가풍리 223-2,36.26957404,127.5910679,79
28,경로당,충청북도 옥천군 옥천읍 삼청2길 283-1,충청북도 옥천군 옥천읍 삼청리 595,36.26377431,127.5733351,76
29,경로당,충청북도 옥천군 옥천읍 삼청2길 240 ,충청북도 옥천군 옥천읍 삼청리 409-5,36.26609835,127.5759087,34
30,경로당,충청북도 옥천군 옥천읍 삼청2길 246-4,충청북도 옥천군 옥천읍 삼청리 412-4,36.26571341,127.5758986,392.37
31,경로당,충청북도 옥천군 옥천읍 청풍로 367-64,충청북도 옥천군 옥천읍 삼청리 392,36.26828596,127.574747,49
32,경로당,충청북도 옥천군 옥천읍 삼청2길 173,충청북도 옥천군 옥천읍 삼청리 304-4,36.27153924,127.5772122,49
