"본부명","지사명","표준시설코드","시설명","대피소명","소재지","전화번호","수용가능인원"
"경북","영덕.울진","4777010127","기사","황장리경로당","경상북도 영덕군 지품면 원전리","054-732-9834","42"
"경북","영덕.울진","4777010127","기사","신안출포경로당","경상북도 영덕군 지품면 신안리","054-733-5967","21"
"경북","영덕.울진","4777010127","기사","눌곡리마을회관","경상북도 영덕군 지품면 눌곡리","054-734-2214","26"
"경북","영덕.울진","4777010127","기사","지품중학교","경상북도 영덕군 지품면 신안리","054-732-3013","723"
"경북","영덕.울진","4777010127","기사","송천1리마을회관","경상북도 영덕군 지품면 송천리","054-732-0787","32"
"경북","영덕.울진","4777010127","기사","복곡리경로회관","경상북도 영덕군 지품면 복곡리","054-732-7013","30"
"경북","영덕.울진","4777010127","기사","원전학구노인복지회관","경상북도 영덕군 지품면 원전리","054-733-9854","44"
"경북","고령","4783010035","옥계","덕곡초등학교","경상북도 고령군 덕곡면 예리","054-955-5707",""
"경북","고령","4783010035","옥계","덕곡면사무소","경상북도 고령군 덕곡면 예리","054-950-7555","98"
"경북","고령","4783010035","옥계","덕곡초등학교","경상북도 고령군 덕곡면 예리","054-955-5707","345"
"경북","고령","4783010035","옥계","덕곡면 보건진료소","경상북도 고령군 덕곡면 예리","054-955-2270",""
"경북","고령","4783010029","덕곡","운수초등학교","경상북도 고령군 운수면 봉평리","054-955-5070","368"
"경북","고령","4783010029","덕곡","운수초등학교","경상북도 고령군 운수면 봉평리","054-955-5070","368"
"경북","고령","4783010029","덕곡","고령고등학교","경상북도 고령군 대가야읍 연조리","054-956-3042","1274"
"경북","고령","4783010029","덕곡","고령중학교","경상북도 고령군 대가야읍 쾌빈리","054-956-5715","1729"
"경북","고령","4783010029","덕곡","금성리경로당","경상북도 고령군 운수면 봉평리","054-955-9989","12"
"경북","고령","4783010029","덕곡","덕곡보건소","경상북도 고령군 덕곡면","054-955-2270","20"
"경북","고령","4783010029","덕곡","대가야고등학교","경상북도 고령군 대가야읍 쾌빈리","054-954-3516","920"
"경북","영덕.울진","4793010020","온정","온정리 852-1","경상북도 울진군 온정면 온정리","","282"
"경북","영덕.울진","4793010020","온정","온정2리 마을회관","경상북도 울진군 온정면 온정리","","23"
"경북","영덕.울진","4793010020","온정","백암온천마을","경상북도 울진군 온정면 온정리","054-787-7620","276"
"경북","영덕.울진","4793010020","온정","광품리 573","경상북도 울진군 온정면 광품리","","25"
"경북","영덕.울진","4793010020","온정","온정초등학교","경상북도 울진군 온정면 온정리","054-787-3011","647"
"경북","영덕.울진","4793010020","온정","항암미술관","경상북도 울진군 온정면 온정리","054-787-0001","107"
"경북","영덕.울진","4777010126","보림","어업기술센터 영덕지소","경상북도 영덕군 영덕읍 우곡리","054-734-5450",""
"경북","영덕.울진","4777010126","보림","대구기상대","대구광역시 동구 효목동","053-952-0365",""
"경북","영덕.울진","4777010124","수동","창수초등학교 인천분교장","경상북도 영덕군 창수면 인천리","054-732-6079","550"
"경북","영덕.울진","4793010008","부구","북면장로교회","경상북도 울진군 북면 덕구리","054-782-0829","100"
"경북","영덕.울진","4793010008","부구","성조사","경상북도 울진군 북면 덕구리","054-782-5598","200"
"경북","영덕.울진","4793010008","부구","궁전식당","경상북도 울진군 북면 덕구리","054-783-2220","20"
"경북","영덕.울진","4793010008","부구","덕구1리마을회관","경상북도 울진군 북면 덕구리","054-782-6713","50"
"경북","영덕.울진","4793010008","부구","부구초등학교","경상북도 울진군 북면 덕구리","054-782-0255","1599"
"경북","영덕.울진","4793010008","부구","휴모텔","경상북도 울진군 북면 덕구리","054-781-0447","50"
"경북","고령","4783010020","신동","대가야읍사무소","경상북도 고령군 대가야읍 쾌빈리","054-950-7502","1729"
"경북","고령","4783010020","신동","대가야고등학교","경상북도 고령군 대가야읍 쾌빈리","054-954-3518","912"
"경북","고령","4783010020","신동","의용소방대","경상북도 고령군 대가야읍 고아리","054-954-3023",""
"경북","고령","4783010005","중화","대가야읍사무소","경상북도 고령군 대가야읍 쾌빈리","054-950-7502","1729"
"경북","고령","4783010005","중화","대가야고등학교","경상북도 고령군 대가야읍 쾌빈리","054-954-3518","912"
"경북","고령","4783010005","중화","대가야읍사무소","경상북도 고령군 대가야읍 쾌빈리","","1729"
"경북","고령","4783010005","중화","연조1리마을회관","경상북도 고령군 대가야읍 연조리","","23"
"경북","고령","4783010005","중화","고령군청","경상북도 고령군 대가야읍 지산리","054-950-6443",""
"경북","고령","4783010005","중화","경북도청","경상북도 안동시 풍천면 갈전리","054-880-2358",""
"경북","고령","4783010005","중화","고령보건소","경상북도 고령군 대가야읍 지산리","054-954-1300",""
"경북","고령","4783010005","중화","연조1리마을회관","경상북도 고령군 대가야읍 연조리","","30"
"경북","예천","4790010022","운암","경상북도청","경상북도 안동시 풍천면","054-880-2358",""
"경북","예천","4790010022","운암","용문면주민센타","경상북도 예천군 용문면 상금곡리","054-650-6622",""
"경북","예천","4790010022","운암","한국농어촌공사 경북지역본부","대구광역시 북구 구암동","053-320-0748",""
"경북","예천","4790010022","운암","한국농어촌공사 경천지사","경상북도 예천군","054-650-7132",""
"경북","예천","4790010022","운암","예천중교","경상북도 예천군 예천읍 남본리","054-654-4477","223"
"경북","예천","4790010022","운암","예천군청소년수련원","경상북도 예천군 예천읍 동본리","054-650-6425","250"
"경북","예천","4790010022","운암","예천군문화회관","경상북도 예천군 예천읍 서본리","054-650-6422","785"
"경북","예천","4790010022","운암","대창고교","경상북도 예천군 예천읍 노상리","054-654-3341","480"
"경북","예천","4790010022","운암","예천동부초교","경상북도 예천군 예천읍 백전리","054-652-2047","450"
"경북","예천","4790010022","운암","예천여자고등학교","경상북도 예천군 예천읍 백전리","054-652-0962","417"
"경북","예천","4790010022","운암","예천사","경상북도 예천군 예천읍 생천리","054-654-4745","31"
"경북","예천","4790010022","운암","용화사","경상북도 예천군 용문면 하금곡리","054-655-8977","29"
"경북","예천","4790010022","운암","능천리노인회관","경상북도 예천군 용문면 능천리","054-655-4888","54"
"경북","예천","4790010022","운암","예천군청소년수련원 ","경상북도 예천군 예천읍","054-650-6425","250"
"경북","예천","4790010022","운암","예천중교 ","경상북도 예천군 예천읍","054-654-4477","223"
"경북","예천","4790010022","운암","용화사 ","경상북도 예천군 용문면","054-655-8977","29"
"경북","예천","4790010022","운암","능천리노인회관 ","경상북도 예천군 용문면","054-655-4888","54"
"경북","예천","4790010022","운암","예천군문화회관 ","경상북도 예천군 예천읍","054-650-6422","785"
"경북","예천","4790010022","운암","예천사 ","경상북도 예천군 예천읍","054-654-4745","31"
"경북","예천","4790010022","운암","예천여자고등학교 ","경상북도 예천군 예천읍","054-652-0962","417"
"경북","예천","4790010022","운암","예천동부초교 ","경상북도 예천군 예천읍","054-652-2047","450"
"경북","영덕.울진","4777010108","백록","영2리 마을회관","경상북도 영덕군 병곡면 영리","","50"
"경북","영덕.울진","4777010108","백록","병곡면사무소","경상북도 영덕군 병곡면 병곡리","054-730-7833",""
"경북","영덕.울진","4777010108","백록","병곡초등학교","경상북도 영덕군 병곡면 병곡리","054-732-2006","100"
"경북","예천","4790010126","내지(금당)","내지2리경로당","경상북도 예천군 용문면 내지리","","21"
"경북","예천","4790010126","내지(금당)","한국농어촌공사 문경예천","경상북도 예천군 예천읍 우계리","054-650-7132",""
"경북","예천","4790010126","내지(금당)","예천경찰서","경상북도 예천군 예천읍","054-650-2329",""
"경북","예천","4790010126","내지(금당)","경상북도","경상북도 안동시","054-880-2358",""
"경북","예천","4790010126","내지(금당)","한국농어촌공사 경북지역본부","대구광역시 북구 구암동","053-320-0748",""
"경북","예천","4790010126","내지(금당)","예천읍주민센터","경상북도 예천군 예천읍","054-650-8382",""
"경북","예천","4790010126","내지(금당)","한국농어촌공사 경천지사","경상북도 예천군 예천읍 우계리","054-650-7132",""
"경북","예천","4790010126","내지(금당)","예천학생야영장","경상북도 예천군 용문면 원류리","054-655-6576","300"
"경북","예천","4790010126","내지(금당)","하금1리경노당 ","경상북도 예천군 용문면","054-655-6129","20"
"경북","예천","4790010126","내지(금당)","제곡리경로당 ","경상북도 예천군 용문면","054-654-0008","20"
"경북","예천","4790010126","내지(금당)","용문초등학교 ","경상북도 예천군 용문면","054-655-8603","50"
"경북","예천","4790010126","내지(금당)","용문노인회관 ","경상북도 예천군 용문면","054-654-1318","20"
"경북","예천","4790010126","내지(금당)","예천군청소년수련원 ","경상북도 예천군 용문면","054-650-6425","250"
"경북","예천","4790010126","내지(금당)","맛질노인회 ","경상북도 예천군 용문면","054-655-1117","20"
"경북","예천","4790010126","내지(금당)","능천리경로당 ","경상북도 예천군 용문면","054-655-4888","20"
"경북","예천","4790010126","내지(금당)","구계경로당 ","경상북도 예천군 용문면","054-655-7959","20"
"경북","예천","4790010126","내지(금당)","용문중학교 ","경상북도 예천군 용문면","054-655-9382","50"
"경북","예천","4790010126","내지(금당)","예천학생양영장 ","경상북도 예천군 용문면","054-655-6576","300"
"경북","예천","4790010126","내지(금당)","생천노인회관 ","경상북도 예천군 용문면","054-654-5080","20"
"경북","예천","4790010126","내지(금당)","방송노인회관 ","경상북도 예천군 용문면","054-655-0036","20"
"경북","예천","4790010126","내지(금당)","예천여자고등학교 ","경상북도 예천군 예천읍","054-700-5502","400"
"경북","예천","4790010126","내지(금당)","예천중학교 ","경상북도 예천군 예천읍","054-654-4477","200"
"경북","예천","4790010126","내지(금당)","대창중학교 ","경상북도 예천군 예천읍","054-654-7300","200"
"경북","예천","4790010126","내지(금당)","대창고등학교 ","경상북도 예천군 예천읍","054-654-3341","400"
"경북","예천","4790010126","내지(금당)","예천학생야영장 ","경상북도 예천군 용문면","054-655-6576","300"
"경북","예천","4790050012","내지","용문노인회관","경상북도 예천군 용문면","054-654-1318","20"
"경북","예천","4790050012","내지","하금1리경노당","경상북도 예천군 용문면","054-655-6129","20"
"경북","예천","4790050012","내지","맛질노인회","경상북도 예천군 용문면","054-655-1117","20"
"경북","예천","4790050012","내지","제곡리경로당","경상북도 예천군 용문면","054-654-0008","20"
"경북","예천","4790050012","내지","능천리경로당","경상북도 예천군 용문면","054-655-4888","20"
"경북","예천","4790050012","내지","구계경로당","경상북도 예천군 용문면","054-655-7959","20"
"경북","예천","4790050012","내지","예천군청소년수련원","경상북도 예천군 용문면","054-650-6425","250"
"경북","예천","4790050012","내지","예천여자고등학교","경상북도 예천군 예천읍","054-700-5502","400"
"경북","예천","4790050012","내지","용문초등학교","경상북도 예천군 용문면","054-655-8603","50"
"경북","안동","4717010014","신양","한국전기안전공사","경상북도 안동시 남선면 이천리","054-601-4250",""
"경북","안동","4717010014","신양","서선초등학교","경상북도 안동시 풍산읍 수곡리","054-843-4105","440"
"경북","안동","4717010014","신양","풍북초등학교","경상북도 안동시 풍산읍 괴정리","054-858-5318","483"
"경북","안동","4717010014","신양","풍산초등학교","경상북도 안동시 풍산읍 하리리","054-858-4013","908"
"경북","안동","4717010014","신양","풍산동신교회","경상북도 안동시 풍산읍 매곡리","054-858-4948","30"
"경북","안동","4717010014","신양","중대사","경상북도 안동시 풍산읍 안교리","054-858-4147","30"
"경북","안동","4717010014","신양","신양교회","경상북도 안동시 풍산읍 신양리","054-854-4804","60"
"경북","안동","4717010014","신양","신양초등학교","경상북도 안동시 풍산읍 신양리","054-855-4603","303"
"경북","안동","4717010014","신양","풍서초등학교","경상북도 안동시 풍천면 가곡리","054-853-2122","180"
"경북","안동","4717010014","신양","풍천중학교","경상북도 안동시 풍천면 도양리","054-853-2048","90"
"경북","안동","4717010014","신양","소산교회","경상북도 안동시 풍산읍 소산리","054-858-4075","30"
"경북","영덕.울진","4777010074","봉산","오천리마을회관","경상북도 영덕군 지품면 오천리","","25"
"경북","영덕.울진","4777010074","봉산","지품면사무소","경상북도 영덕군 지품면 신안리","054-730-7503","400"
"경북","영덕.울진","4777010074","봉산","눌곡리경로당","경상북도 영덕군 지품면 눌곡리","054-730-7503","100"
"경북","영덕.울진","4777010074","봉산","달산면사무소","경상북도 영덕군 달산면 대지리","054-730-7442","400"
"경북","영덕.울진","4777010074","봉산","용전보건소","경상북도 영덕군 달산면 용전리","054-730-7035","38"
"경북","영덕.울진","4777010074","봉산","덕산2리마을회관","경상북도 영덕군 달산면 덕산리","","63"
"경북","영덕.울진","4777010054","도천","장사리마을회관","경상북도 영덕군 남정면 장사리","","47"
"경북","영덕.울진","4777010054","도천","남정면사무소","경상북도 영덕군 남정면 장사리","054-730-7332",""
"경북","영덕.울진","4777010054","도천","도천마을회관","경상북도 영덕군 남정면 도천리","","38"
"경북","영덕.울진","4777010054","도천","봉전2리 마을회관","경상북도 영덕군 남정면 봉전리","054-733-5509","36"
