번호,상세 위치,설치 위치,도로명주소,위도,경도,전화번호,latitude,longitude
1,계방산 오토캠핑장(관리소 내),강원 평창군 용평면 노동리 86,강원 평창군 용평면 이승복 생가길 160,,,033-339-9016,37.70319679,128.4831359
2,평창 자연휴양림 (관리소 내),강원 평창군 용평면 무이리 958-3,강원 평창군 봉평면 팔송로 285,,,033-339-9028,37.60953334,128.3034941
3,평창 국민여가캠핑장(관리소 내),강원 평창군 방림면 방림리 1619,강원 평창군 방림면 뇌운계곡로 829,,,033-339-9039,37.42742363,128.3856545
4,광선선굴 어드벤처 테마파크(로비 내),강원 평창군 대화면 대화리 산538,강원 평창군 대화면 대화리 산538,,,033-339-9038,37.51889378,128.4506054
5,대관령 휴게소(본건물),강원 평창군 대관령면 횡계리 14-111,강원 평창군 대관령면 경강로 5721 대관령휴게소,,,033-339-9018,37.68514722,128.7545144
6,대관령 휴게소(출입문),강원 평창군 대관령면 횡계리 14-111,강원 평창군 대관령면 경강로 5721 대관령휴게소,,,033-339-9018,37.68514722,128.7545144
7,진천군립치매전담요양원,,"충청북도 진천군 문백면 문진로 664, 진천군립치매전담요양원",,,043-753-8863,36.79896903,127.4359373
8,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
9,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
10,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
11,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
12,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
13,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
14,(주)면사랑,,"충청북도 진천군 이월면 궁동길 51-24, (주)면사랑",,,043-531-8251,36.90199233,127.4324901
15,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
16,동일하이빌파크테라스,,충청북도 진천군 덕산읍 대하로 194 (충북혁신도시동일하이빌 파크테라스아파트),,,043-537-9983,36.9056909,127.5407032
17,힐데스하임아파트,,충청북도 진천군 덕산읍 신척산단5로 14-14 (진천 힐데스하임),,,043-537-9335,36.91792366,127.490088
18,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
19,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
20,백곡보건지소(민원실),,"충청북도 진천군 백곡면 장터길 15-2, 백곡보건지소",,,043-539-7460,36.88370044,127.3778089
21,(주)현대에버다임,,"충청북도 진천군 진천읍 부영길 49, 에버다임",,,043-530-3372,36.8747572,127.4367473
22,진천군립치매전담요양원,,"충청북도 진천군 문백면 문진로 664, 진천군립치매전담요양원",,,043-753-8863,36.79896903,127.4359373
23,한솔테크닉스,,"충청북도 진천군 덕산읍 한삼로 55, 한솔테크닉스",,,043-530-8890,36.91707388,127.5030141
24,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
25,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
26,(주)선일다이파스,,"충청북도 진천군 광혜원면 광혜원산단2길 14, 선일다이파스 2공장",,,043-530-1700,36.97987914,127.4376119
27,진천군청소년수련원,,"충청북도 진천군 초평면 평화로 403-132, 청소년수련원",,,043-539-3813,36.82986553,127.5041329
28,한국교육개발원,,충청북도 진천군 덕산면 교학로 7,,,043-530-9114,36.89781365,127.5368373
29,사석보건진료소,,"충청북도 진천군 진천읍 금사로 395-1, 사석보건진료소",,,043-539-7491,36.82555656,127.4099415
30,광혜원보건지소(민원실),,"충청북도 진천군 광혜원면 화랑길 86, 광혜원면사무소",,,043-539-7484,36.99360115,127.4354919
31,초평보건지소(민원실),,"충청북도 진천군 초평면 초동로 45-6, 초평면행정복지센터",,,043-539-7440,36.84587639,127.5268297
32,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
33,(주)현대에버다임,,"충청북도 진천군 진천읍 부영길 49, 에버다임",,,043-530-3372,36.8747572,127.4367473
34,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
35,(주)풍림푸드,,충청북도 진천군 이월면 궁동길 51-21,,,043-530-4312,36.90242175,127.4343776
36,의료법인가은의료재단혁신성모병원,,"충청북도 진천군 덕산읍 자안로 9, 삼영프라자 2층",,,043-533-1000,36.90415877,127.5345921
37,생거진천노인복지센터,,"충청북도 진천군 문백면 문진로 664, 생거진천노인복지센터 1층",,,043-532-9969,36.79896903,127.4359373
38,이월보건지소(민원실),,충청북도 진천군 이월면 송림2길 36-9,,,043-539-7471,36.93249479,127.4265566
39,(주)현대에버다임,,"충청북도 진천군 진천읍 부영길 49, 에버다임",,,043-530-3372,36.8747572,127.4367473
40,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
41,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
42,(주)선일다이파스,,"충청북도 진천군 광혜원면 광혜원산단2길 14, 선일다이파스 2공장",,,043-530-1700,36.97987914,127.4376119
43,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
44,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
45,덕산보건지소(민원실),,"충청북도 진천군 덕산읍 덕금로 829, 덕산면행정복지센터",,,043-539-7431,36.91352482,127.509727
46,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
47,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
48,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
